# Relative energy hierarchy for Ac-His-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -609763.291096   0.000000
   2  -609763.290291   0.000805
   3  -609763.277369   0.013727
   4  -609763.199167   0.091929
   5  -609763.192258   0.098838
   6  -609762.682905   0.608191
   7  -609762.603615   0.687481
   8  -609762.563718   0.727378
   9  -609762.536662   0.754434
  10  -609762.529728   0.761368
  11  -609762.491243   0.799853
  12  -609762.450904   0.840192
  13  -609762.423494   0.867602
  14  -609762.382806   0.908290
  15  -609762.3334   0.957696
  16  -609762.322792   0.968304
  17  -609762.298617   0.992479
  18  -609762.285258   1.005838
  19  -609762.254219   1.036877
  20  -609762.209784   1.081312
  21  -609762.202143   1.088953
  22  -609762.199094   1.092002
  23  -609762.180323   1.110773
  24  -609762.177167   1.113929
  25  -609762.176246   1.114850
  26  -609762.148183   1.142913
  27  -609762.146878   1.144218
  28  -609762.138   1.153096
  29  -609762.119177   1.171919
  30  -609762.108194   1.182902
  31  -609762.106542   1.184554
  32  -609762.103187   1.187909
  33  -609762.085578   1.205518
  34  -609762.085471   1.205625
  35  -609762.078111   1.212985
  36  -609762.066006   1.225090
  37  -609762.055691   1.235405
  38  -609762.043725   1.247371
  39  -609762.035265   1.255831
  40  -609762.026403   1.264693
  41  -609762.025181   1.265915
  42  -609761.989681   1.301415
  43  -609761.964691   1.326405
  44  -609761.901305   1.389791
  45  -609761.896095   1.395001
  46  -609761.83894   1.452156
  47  -609761.814566   1.476530
  48  -609761.792199   1.498897
  49  -609761.714138   1.576958
