# Relative energy hierarchy for Ac-His-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -106810.571219   0.000000
   2  -106810.570926   0.000293
   3  -106810.517298   0.053921
   4  -106810.461918   0.109301
   5  -106810.444788   0.126431
   6  -106809.984398   0.586821
   7  -106809.960076   0.611143
   8  -106809.955103   0.616116
   9  -106809.90878   0.662439
  10  -106809.900497   0.670722
  11  -106809.892988   0.678231
  12  -106809.87794   0.693279
  13  -106809.826525   0.744694
  14  -106809.81226   0.758959
  15  -106809.748336   0.822883
  16  -106809.71852   0.852699
  17  -106809.641343   0.929876
  18  -106809.625215   0.946004
  19  -106809.623016   0.948203
  20  -106809.599229   0.971990
  21  -106809.580055   0.991164
  22  -106809.56581   1.005409
  23  -106809.551597   1.019622
  24  -106809.535242   1.035977
  25  -106809.516173   1.055046
  26  -106809.509064   1.062155
  27  -106809.477681   1.093538
  28  -106809.467476   1.103743
  29  -106809.463727   1.107492
  30  -106809.435703   1.135516
  31  -106809.412918   1.158301
  32  -106809.406685   1.164534
  33  -106809.390127   1.181092
  34  -106809.380593   1.190626
  35  -106809.379195   1.192024
  36  -106809.339429   1.231790
  37  -106809.317454   1.253765
  38  -106809.316092   1.255127
  39  -106809.315982   1.255237
  40  -106809.290469   1.280750
  41  -106809.272845   1.298374
  42  -106809.259952   1.311267
  43  -106809.249716   1.321503
  44  -106809.240414   1.330805
  45  -106809.231686   1.339533
  46  -106809.225466   1.345753
  47  -106809.21401   1.357209
  48  -106809.147174   1.424045
  49  -106809.134265   1.436954
  50  -106809.103736   1.467483
  51  -106809.058118   1.513101
