# Relative energy hierarchy for His conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -169055.033206   0.000000
   2  -169054.761005   0.272201
   3  -169054.649023   0.384183
   4  -169054.58584   0.447366
   5  -169054.476198   0.557008
   6  -169054.475773   0.557433
   7  -169054.449978   0.583228
   8  -169054.44583   0.587376
   9  -169054.441487   0.591719
  10  -169054.437319   0.595887
  11  -169054.413177   0.620029
  12  -169054.406142   0.627064
  13  -169054.342239   0.690967
  14  -169054.337666   0.695540
  15  -169054.291916   0.741290
  16  -169054.061553   0.971653
  17  -169053.776289   1.256917
  18  -169053.723003   1.310203
  19  -169053.524073   1.509133
  20  -169053.389071   1.644135
  21  -169053.204325   1.828881
  22  -169052.954928   2.078278
