# Relative energy hierarchy for His conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -568333.460406   0.000000
   2  -568333.192439   0.267967
   3  -568333.160106   0.300300
   4  -568333.09465   0.365756
   5  -568332.905008   0.555398
   6  -568332.896008   0.564398
   7  -568332.839444   0.620962
   8  -568332.390655   1.069751
   9  -568332.335614   1.124792
  10  -568332.31506   1.145346
  11  -568332.216099   1.244307
  12  -568332.196863   1.263543
  13  -568332.122906   1.337500
