# Relative energy hierarchy for His conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -102126.620119   0.000000
   2  -102126.594349   0.025770
   3  -102126.588335   0.031784
   4  -102126.513704   0.106415
   5  -102126.438878   0.181241
   6  -102126.408676   0.211443
   7  -102126.359996   0.260123
   8  -102126.339175   0.280944
   9  -102126.273887   0.346232
  10  -102126.209201   0.410918
  11  -102126.205389   0.414730
  12  -102126.1664   0.453719
  13  -102126.163476   0.456643
  14  -102126.159737   0.460382
  15  -102126.154695   0.465424
  16  -102126.146992   0.473127
  17  -102126.142076   0.478043
  18  -102126.142044   0.478075
  19  -102126.136321   0.483798
  20  -102126.114806   0.505313
  21  -102126.097357   0.522762
  22  -102126.061502   0.558617
  23  -102126.02831   0.591809
  24  -102125.741623   0.878496
  25  -102125.668679   0.951440
  26  -102125.559412   1.060707
  27  -102125.407621   1.212498
  28  -102125.373459   1.246660
  29  -102125.282747   1.337372
  30  -102124.924793   1.695326
  31  -102124.549481   2.070638
