# Relative energy hierarchy for protonated Ac-His-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -38168.6172672   0.000000
   2  -38168.6160686   0.001199
   3  -38168.6109794   0.006288
   4  -38168.5770535   0.040214
   5  -38168.5758866   0.041381
   6  -38168.5585943   0.058673
   7  -38168.5580403   0.059227
   8  -38168.5371857   0.080082
   9  -38168.5366496   0.080618
  10  -38168.5354713   0.081796
  11  -38168.5266619   0.090605
  12  -38168.5177903   0.099477
  13  -38168.464785   0.152482
  14  -38168.4629136   0.154354
  15  -38168.4612744   0.155993
  16  -38168.4300208   0.187246
  17  -38168.428831   0.188436
  18  -38168.4272868   0.189980
  19  -38168.4260264   0.191241
  20  -38168.4257131   0.191554
  21  -38168.4252521   0.192015
  22  -38168.4208667   0.196401
  23  -38168.420354   0.196913
  24  -38168.4198493   0.197418
  25  -38168.4193235   0.197944
  26  -38168.4081445   0.209123
  27  -38168.4070576   0.210210
  28  -38168.3831993   0.234068
  29  -38168.3820584   0.235209
  30  -38168.3546505   0.262617
  31  -38168.316881   0.300386
  32  -38168.3166487   0.300619
  33  -38168.2863571   0.330910
  34  -38168.1803096   0.436958
  35  -38168.1525092   0.464758
  36  -38168.1524135   0.464854
  37  -38168.1522924   0.464975
  38  -38168.0382742   0.578993
  39  -38168.037733   0.579534
  40  -38168.0236424   0.593625
  41  -38168.0191595   0.598108
  42  -38168.0190844   0.598183
  43  -38168.0189498   0.598317
  44  -38168.0188824   0.598385
  45  -38168.0188201   0.598447
  46  -38168.0186372   0.598630
  47  -38168.0185045   0.598763
  48  -38168.0183984   0.598869
  49  -38168.0183074   0.598960
  50  -38168.0178891   0.599378
  51  -38167.9734726   0.643795
  52  -38167.9429725   0.674295
  53  -38167.9416632   0.675604
  54  -38167.9171502   0.700117
  55  -38167.9146622   0.702605
  56  -38167.8804794   0.736788
  57  -38167.8201129   0.797154
  58  -38167.8189701   0.798297
  59  -38167.80978   0.807487
  60  -38167.7872418   0.830025
  61  -38167.7794264   0.837841
  62  -38167.7721198   0.845147
  63  -38167.7650575   0.852210
  64  -38167.7246885   0.892579
  65  -38167.7216921   0.895575
  66  -38167.6872382   0.930029
  67  -38167.5744795   1.042788
  68  -38167.5217471   1.095520
  69  -38167.5060465   1.111221
  70  -38167.4848412   1.132426
  71  -38167.4710997   1.146168
  72  -38167.4576558   1.159611
  73  -38167.4212531   1.196014
  74  -38167.4181792   1.199088
  75  -38167.4006636   1.216604
  76  -38167.3937873   1.223480
  77  -38167.3856229   1.231644
  78  -38167.3812158   1.236051
  79  -38167.3773353   1.239932
  80  -38167.3341499   1.283117
  81  -38167.3332831   1.283984
  82  -38167.325327   1.291940
  83  -38167.2889705   1.328297
  84  -38167.2002863   1.416981
  85  -38167.1990888   1.418178
  86  -38167.1911391   1.426128
  87  -38167.1756723   1.441595
  88  -38167.1717412   1.445526
  89  -38167.1050681   1.512199
  90  -38167.0672602   1.550007
  91  -38167.0624057   1.554862
  92  -38167.0439733   1.573294
  93  -38167.0437598   1.573507
  94  -38167.0285032   1.588764
  95  -38166.6996046   1.917663
