# Relative energy hierarchy for Ac-Hish-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -106814.491580   0.000000
   2  -106814.479575   0.012005
   3  -106814.441914   0.049666
   4  -106814.440980   0.050600
   5  -106814.429933   0.061647
   6  -106814.400656   0.090924
   7  -106814.386511   0.105069
   8  -106814.379898   0.111682
   9  -106814.342643   0.148937
  10  -106814.329839   0.161741
  11  -106814.329198   0.162382
  12  -106814.314000   0.177580
  13  -106814.298385   0.193195
  14  -106814.288771   0.202809
  15  -106814.288760   0.202820
  16  -106814.276757   0.214823
  17  -106814.266470   0.225110
  18  -106814.247108   0.244472
  19  -106814.202118   0.289462
  20  -106814.171578   0.320002
  21  -106814.057974   0.433606
  22  -106814.057207   0.434373
  23  -106814.055057   0.436523
  24  -106813.979013   0.512567
  25  -106813.960823   0.530757
  26  -106813.957012   0.534568
  27  -106813.956699   0.534881
  28  -106813.955914   0.535666
  29  -106813.955049   0.536531
  30  -106813.954811   0.536769
  31  -106813.954797   0.536783
  32  -106813.914805   0.576775
  33  -106813.887855   0.603725
  34  -106813.854266   0.637314
  35  -106813.853408   0.638172
  36  -106813.822653   0.668927
  37  -106813.754168   0.737412
  38  -106813.750629   0.740951
  39  -106813.729298   0.762282
  40  -106813.719015   0.772565
  41  -106813.714357   0.777223
  42  -106813.713244   0.778336
  43  -106813.677140   0.814440
  44  -106813.666643   0.824937
  45  -106813.656691   0.834889
  46  -106813.618768   0.872812
  47  -106813.616217   0.875363
  48  -106813.585377   0.906203
  49  -106813.581944   0.909636
  50  -106813.547128   0.944452
  51  -106813.546410   0.945170
  52  -106813.515224   0.976356
  53  -106813.513689   0.977891
  54  -106813.512432   0.979148
  55  -106813.481758   1.009822
  56  -106813.477847   1.013733
  57  -106813.461665   1.029915
  58  -106813.413142   1.078438
  59  -106813.404754   1.086826
  60  -106813.403496   1.088084
  61  -106813.380294   1.111286
  62  -106813.327151   1.164429
  63  -106813.307239   1.184341
  64  -106813.291588   1.199992
  65  -106813.291421   1.200159
  66  -106813.276878   1.214702
  67  -106813.230658   1.260922
  68  -106813.194946   1.296634
  69  -106813.168064   1.323516
  70  -106813.165435   1.326145
  71  -106813.149346   1.342234
  72  -106813.143736   1.347844
  73  -106813.120282   1.371298
  74  -106812.799115   1.692465
