# Relative energy hierarchy for protonated His conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -33484.3937773   0.000000
   2  -33484.3809007   0.012877
   3  -33484.2974499   0.096327
   4  -33484.2890222   0.104755
   5  -33484.1435048   0.250273
   6  -33484.1432161   0.250561
   7  -33483.8626415   0.531136
   8  -33483.8533509   0.540426
   9  -33483.8369388   0.556839
  10  -33483.8175867   0.576191
  11  -33483.6802483   0.713529
  12  -33483.6572204   0.736557
  13  -33483.5296631   0.864114
  14  -33483.5199019   0.873875
  15  -33483.4583325   0.935445
  16  -33483.4460758   0.947702
  17  -33483.3267527   1.067025
  18  -33483.2449293   1.148848
  19  -33483.1929087   1.200869
  20  -33483.1896953   1.204082
  21  -33483.1890643   1.204713
  22  -33483.1445645   1.249213
  23  -33483.138915   1.254862
  24  -33483.0252474   1.368530
  25  -33482.9770801   1.416697
  26  -33482.9483542   1.445423
  27  -33482.9326396   1.461138
