# Relative energy hierarchy for Hish conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -169057.592775   0.000000
   2  -169057.572743   0.020032
   3  -169057.519726   0.073049
   4  -169057.334803   0.257972
   5  -169057.320211   0.272564
   6  -169057.208671   0.384104
   7  -169057.184667   0.408108
   8  -169057.167432   0.425343
   9  -169057.146824   0.445951
  10  -169057.008406   0.584369
  11  -169056.992143   0.600632
  12  -169056.786657   0.806118
  13  -169056.769629   0.823146
  14  -169056.756981   0.835794
  15  -169056.755531   0.837244
  16  -169056.700229   0.892546
  17  -169056.695611   0.897164
  18  -169056.680719   0.912056
  19  -169056.658755   0.934020
  20  -169056.651047   0.941728
  21  -169056.643026   0.949749
  22  -169056.623504   0.969271
  23  -169056.566248   1.026527
  24  -169056.371030   1.221745
