# Relative energy hierarchy for Hish conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -568336.0729354   0.000000
   2  -568336.0725367   0.000399
   3  -568336.0530716   0.019864
   4  -568336.0478159   0.025120
   5  -568335.8242677   0.248668
   6  -568335.7777546   0.295181
   7  -568335.7777178   0.295218
   8  -568335.7563950   0.316540
   9  -568335.7562778   0.316658
  10  -568335.7435179   0.329417
  11  -568335.7068798   0.366056
  12  -568335.7068700   0.366065
  13  -568335.6079209   0.465014
  14  -568335.5823084   0.490627
  15  -568335.5817785   0.491157
  16  -568335.5655589   0.507376
  17  -568335.5524727   0.520463
  18  -568335.2283684   0.844567
  19  -568335.2256995   0.847236
  20  -568335.1598908   0.913045
  21  -568335.1383251   0.934610
  22  -568335.0549898   1.017946
