# Relative energy hierarchy for Hish conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -605082.629147   0.000000
   2  -605082.612479   0.016668
   3  -605082.527821   0.101326
   4  -605082.523110   0.106037
   5  -605082.376459   0.252688
   6  -605082.375927   0.253220
   7  -605082.166400   0.462747
   8  -605082.158197   0.470950
   9  -605082.146374   0.482773
  10  -605082.124977   0.504170
  11  -605081.984771   0.644376
  12  -605081.965063   0.664084
  13  -605081.807173   0.821974
  14  -605081.793974   0.835173
  15  -605081.731425   0.897722
  16  -605081.716463   0.912684
  17  -605081.600566   1.028581
  18  -605081.349347   1.279800
  19  -605081.328365   1.300782
  20  -605081.314710   1.314437
  21  -605081.300348   1.328799
  22  -605081.104805   1.524342
  23  -605081.075677   1.553470
  24  -605081.067299   1.561848
  25  -605081.045074   1.584073
