# Relative energy hierarchy for Hish conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -102130.451017   0.000000
   2  -102130.438863   0.012154
   3  -102130.366393   0.084624
   4  -102130.344896   0.106121
   5  -102130.201894   0.249123
   6  -102130.200330   0.250687
   7  -102129.942788   0.508229
   8  -102129.928584   0.522433
   9  -102129.910872   0.540145
  10  -102129.891273   0.559744
  11  -102129.769141   0.681876
  12  -102129.741371   0.709646
  13  -102129.606543   0.844474
  14  -102129.599173   0.851844
  15  -102129.536213   0.914804
  16  -102129.521543   0.929474
  17  -102129.482239   0.968778
  18  -102129.450798   1.000219
  19  -102129.435502   1.015515
  20  -102129.412894   1.038123
  21  -102129.411631   1.039386
  22  -102129.366464   1.084553
  23  -102129.353666   1.097351
  24  -102129.256909   1.194108
  25  -102129.201739   1.249278
  26  -102129.156493   1.294524
