# Relative energy hierarchy for protonated His conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -14946.4597847   0.000000
   2  -14946.415245   0.044540
   3  -14946.3931078   0.066677
   4  -14946.3922693   0.067515
   5  -14946.3826247   0.077160
   6  -14946.3624321   0.097353
   7  -14946.357995   0.101790
   8  -14946.3315829   0.128202
   9  -14946.3268726   0.132912
  10  -14946.318866   0.140919
  11  -14946.288459   0.171326
  12  -14946.2849414   0.174843
  13  -14946.2654925   0.194292
  14  -14946.2496198   0.210165
  15  -14946.2421657   0.217619
  16  -14946.1200746   0.339710
  17  -14946.1172857   0.342499
  18  -14946.1135893   0.346195
  19  -14946.0946727   0.365112
  20  -14946.0725562   0.387228
  21  -14946.0572352   0.402550
  22  -14946.0546501   0.405135
  23  -14946.0441523   0.415632
  24  -14946.0400267   0.419758
  25  -14946.0390617   0.420723
  26  -14946.0379811   0.421804
  27  -14946.0377922   0.421992
  28  -14946.0100311   0.449754
  29  -14946.0072044   0.452580
  30  -14946.0042486   0.455536
  31  -14945.9818946   0.477890
  32  -14945.9807873   0.478997
  33  -14945.9750885   0.484696
  34  -14945.9628637   0.496921
  35  -14945.9625729   0.497212
  36  -14945.841148   0.618637
