# Relative energy hierarchy for Ac-Ile-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -35247.9155967   0.000000
   2  -35247.907912   0.007685
   3  -35247.9053451   0.010252
   4  -35247.9033936   0.012203
   5  -35247.8929098   0.022687
   6  -35247.890585   0.025012
   7  -35247.8905014   0.025095
   8  -35247.869328   0.046269
   9  -35247.8632349   0.052362
  10  -35247.8527074   0.062889
  11  -35247.8495652   0.066031
  12  -35247.8494526   0.066144
  13  -35247.8491948   0.066402
  14  -35247.8484956   0.067101
  15  -35247.8367253   0.078871
  16  -35247.8310884   0.084508
  17  -35247.8282784   0.087318
  18  -35247.8243918   0.091205
  19  -35247.8232874   0.092309
  20  -35247.8137085   0.101888
  21  -35247.8088824   0.106714
  22  -35247.8070345   0.108562
  23  -35247.8009846   0.114612
  24  -35247.798046   0.117551
  25  -35247.790046   0.125551
  26  -35247.788472   0.127125
  27  -35247.7845429   0.131054
  28  -35247.7835209   0.132076
  29  -35247.7576461   0.157951
  30  -35247.7489722   0.166624
  31  -35247.7356363   0.179960
  32  -35247.6961633   0.219433
  33  -35247.6908201   0.224777
  34  -35247.6527601   0.262837
  35  -35247.5621452   0.353451
  36  -35247.5139774   0.401619
  37  -35247.5111324   0.404464
  38  -35247.4519282   0.463669
  39  -35247.4414109   0.474186
  40  -35247.4380501   0.477547
  41  -35247.2364261   0.679171
  42  -35247.2317643   0.683832
  43  -35247.2229908   0.692606
  44  -35247.2122479   0.703349
  45  -35247.199516   0.716081
  46  -35247.168987   0.746610
  47  -35247.165453   0.750144
  48  -35247.1626264   0.752970
  49  -35247.1568024   0.758794
  50  -35247.149662   0.765935
  51  -35247.1302929   0.785304
  52  -35247.0923911   0.823206
  53  -35247.0691282   0.846468
  54  -35247.0682731   0.847324
  55  -35247.064317   0.851280
  56  -35247.0588452   0.856751
  57  -35247.0574411   0.858156
  58  -35247.0099069   0.905690
  59  -35247.0039844   0.911612
  60  -35246.9979514   0.917645
  61  -35246.9619281   0.953669
  62  -35246.8916629   1.023934
  63  -35246.6310906   1.284506
  64  -35246.6025668   1.313030
  65  -35246.4503217   1.465275
  66  -35246.4325914   1.483005
  67  -35246.3739315   1.541665
  68  -35246.3037514   1.611845
  69  -35246.2946936   1.620903
  70  -35246.2144959   1.701101
  71  -35246.1988141   1.716783
  72  -35246.1169519   1.798645
  73  -35246.073536   1.842061
  74  -35246.0580478   1.857549
  75  -35246.0532388   1.862358
  76  -35246.0345649   1.881032
  77  -35245.9971361   1.918461
  78  -35245.935973   1.979624
