# Relative energy hierarchy for Ac-Ile-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -170821.228136   0.000000
   2  -170821.223581   0.004555
   3  -170821.223005   0.005131
   4  -170821.205394   0.022742
   5  -170821.184559   0.043577
   6  -170821.1751   0.053036
   7  -170821.173156   0.054980
   8  -170821.162121   0.066015
   9  -170821.160844   0.067292
  10  -170821.148919   0.079217
  11  -170821.133945   0.094191
  12  -170821.131991   0.096145
  13  -170821.121393   0.106743
  14  -170821.121381   0.106755
  15  -170821.120354   0.107782
  16  -170821.115042   0.113094
  17  -170821.114274   0.113862
  18  -170821.107786   0.120350
  19  -170821.107597   0.120539
  20  -170821.095462   0.132674
  21  -170821.081406   0.146730
  22  -170821.073105   0.155031
  23  -170821.072357   0.155779
  24  -170821.067336   0.160800
  25  -170821.058467   0.169669
  26  -170821.054063   0.174073
  27  -170821.013074   0.215062
  28  -170820.985107   0.243029
  29  -170820.977661   0.250475
  30  -170820.929516   0.298620
  31  -170820.86785   0.360286
  32  -170820.835091   0.393045
  33  -170820.813621   0.414515
  34  -170820.795534   0.432602
  35  -170820.775836   0.452300
  36  -170820.76065   0.467486
  37  -170820.741843   0.486293
  38  -170820.739419   0.488717
  39  -170820.733772   0.494364
  40  -170820.730083   0.498053
  41  -170820.717527   0.510609
  42  -170820.70326   0.524876
  43  -170820.587071   0.641065
  44  -170820.520395   0.707741
  45  -170820.490374   0.737762
  46  -170820.460861   0.767275
  47  -170820.45908   0.769056
  48  -170820.454473   0.773663
  49  -170820.410835   0.817301
  50  -170820.371111   0.857025
  51  -170820.357714   0.870422
  52  -170820.354314   0.873822
  53  -170820.340046   0.888090
  54  -170820.339667   0.888469
  55  -170820.256928   0.971208
  56  -170820.143965   1.084171
  57  -170820.002578   1.225558
  58  -170819.94865   1.279486
  59  -170819.878603   1.349533
  60  -170819.870435   1.357701
  61  -170819.844289   1.383847
  62  -170819.828832   1.399304
  63  -170819.827837   1.400299
  64  -170819.736114   1.492022
  65  -170819.657219   1.570917
  66  -170819.568965   1.659171
  67  -170819.554239   1.673897
  68  -170819.533857   1.694279
  69  -170819.522946   1.705190
