# Relative energy hierarchy for Ac-Ile-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -570099.65653   0.000000
   2  -570099.649481   0.007049
   3  -570099.645566   0.010964
   4  -570099.641577   0.014953
   5  -570099.627349   0.029181
   6  -570099.623036   0.033494
   7  -570099.608515   0.048015
   8  -570099.602562   0.053968
   9  -570099.600554   0.055976
  10  -570099.577299   0.079231
  11  -570099.56585   0.090680
  12  -570099.563439   0.093091
  13  -570099.538506   0.118024
  14  -570099.530068   0.126462
  15  -570099.526895   0.129635
  16  -570099.526268   0.130262
  17  -570099.499396   0.157134
  18  -570099.484759   0.171771
  19  -570099.480071   0.176459
  20  -570099.471169   0.185361
  21  -570099.463737   0.192793
  22  -570099.446351   0.210179
  23  -570099.443833   0.212697
  24  -570099.435663   0.220867
  25  -570099.43128   0.225250
  26  -570099.424108   0.232422
  27  -570099.415199   0.241331
  28  -570099.412097   0.244433
  29  -570099.389836   0.266694
  30  -570099.364973   0.291557
  31  -570099.362578   0.293952
  32  -570099.322461   0.334069
  33  -570099.30444   0.352090
  34  -570099.290342   0.366188
  35  -570099.282221   0.374309
  36  -570099.249196   0.407334
  37  -570099.226945   0.429585
  38  -570099.219503   0.437027
  39  -570099.215417   0.441113
  40  -570099.209463   0.447067
  41  -570099.208968   0.447562
  42  -570099.198592   0.457938
  43  -570099.192078   0.464452
  44  -570099.182892   0.473638
  45  -570099.163084   0.493446
  46  -570099.148919   0.507611
  47  -570099.118976   0.537554
  48  -570099.103573   0.552957
  49  -570099.074577   0.581953
  50  -570099.071418   0.585112
  51  -570099.067854   0.588676
  52  -570099.063998   0.592532
  53  -570099.059462   0.597068
  54  -570099.056839   0.599691
  55  -570098.995036   0.661494
  56  -570098.978262   0.678268
  57  -570098.932526   0.724004
  58  -570098.902474   0.754056
  59  -570098.876807   0.779723
  60  -570098.852127   0.804403
  61  -570098.839778   0.816752
  62  -570098.837551   0.818979
  63  -570098.830661   0.825869
  64  -570098.807812   0.848718
  65  -570098.806825   0.849705
  66  -570098.796526   0.860004
  67  -570098.779599   0.876931
  68  -570098.772732   0.883798
  69  -570098.734966   0.921564
  70  -570098.73184   0.924690
  71  -570098.719102   0.937428
  72  -570098.709425   0.947105
  73  -570098.690182   0.966348
  74  -570098.353752   1.302778
  75  -570098.337226   1.319304
