# Relative energy hierarchy for Ac-Ile-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -103893.63622   0.000000
   2  -103893.635317   0.000903
   3  -103893.632174   0.004046
   4  -103893.626925   0.009295
   5  -103893.621306   0.014914
   6  -103893.620521   0.015699
   7  -103893.612269   0.023951
   8  -103893.61188   0.024340
   9  -103893.600616   0.035604
  10  -103893.598675   0.037545
  11  -103893.596453   0.039767
  12  -103893.593472   0.042748
  13  -103893.585072   0.051148
  14  -103893.578435   0.057785
  15  -103893.572264   0.063956
  16  -103893.56874   0.067480
  17  -103893.566448   0.069772
  18  -103893.563942   0.072278
  19  -103893.5573   0.078920
  20  -103893.544976   0.091244
  21  -103893.543205   0.093015
  22  -103893.540166   0.096054
  23  -103893.539321   0.096899
  24  -103893.539208   0.097012
  25  -103893.526418   0.109802
  26  -103893.523865   0.112355
  27  -103893.521972   0.114248
  28  -103893.5006   0.135620
  29  -103893.479756   0.156464
  30  -103893.472654   0.163566
  31  -103893.466772   0.169448
  32  -103893.46176   0.174460
  33  -103893.461556   0.174664
  34  -103893.42265   0.213570
  35  -103893.316985   0.319235
  36  -103893.291385   0.344835
  37  -103893.283483   0.352737
  38  -103893.22757   0.408650
  39  -103893.226567   0.409653
  40  -103893.222639   0.413581
  41  -103893.051715   0.584505
  42  -103893.044895   0.591325
  43  -103893.039293   0.596927
  44  -103893.035885   0.600335
  45  -103893.015455   0.620765
  46  -103892.984189   0.652031
  47  -103892.983571   0.652649
  48  -103892.979001   0.657219
  49  -103892.973887   0.662333
  50  -103892.969351   0.666869
  51  -103892.942013   0.694207
  52  -103892.910881   0.725339
  53  -103892.886777   0.749443
  54  -103892.8866   0.749620
  55  -103892.882948   0.753272
  56  -103892.882398   0.753822
  57  -103892.879108   0.757112
  58  -103892.830424   0.805796
  59  -103892.809822   0.826398
  60  -103892.807738   0.828482
  61  -103892.784747   0.851473
  62  -103892.701318   0.934902
  63  -103892.445754   1.190466
  64  -103892.418042   1.218178
  65  -103892.307098   1.329122
  66  -103892.306955   1.329265
  67  -103892.247235   1.388985
  68  -103892.170602   1.465618
  69  -103892.157476   1.478744
  70  -103892.155563   1.480657
  71  -103892.140921   1.495299
  72  -103892.055517   1.580703
  73  -103892.017156   1.619064
  74  -103891.994632   1.641588
  75  -103891.977764   1.658456
  76  -103891.947801   1.688419
  77  -103891.94252   1.693700
  78  -103891.881391   1.754829
