# Relative energy hierarchy for Ac-Ile-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -16703.0637454   0.000000
   2  -16703.0546734   0.009072
   3  -16703.0475643   0.016181
   4  -16703.0467876   0.016958
   5  -16703.0465527   0.017193
   6  -16703.0449166   0.018829
   7  -16703.0400888   0.023657
   8  -16703.0337049   0.030040
   9  -16703.0231152   0.040630
  10  -16703.0216853   0.042060
  11  -16703.0117411   0.052004
  12  -16703.0108148   0.052931
  13  -16703.0105871   0.053158
  14  -16703.0048338   0.058912
  15  -16703.0028139   0.060932
  16  -16703.0008334   0.062912
  17  -16702.9967513   0.066994
  18  -16702.994949   0.068796
  19  -16702.9772308   0.086515
  20  -16702.9638043   0.099941
  21  -16702.962391   0.101354
  22  -16702.9594725   0.104273
  23  -16702.9585561   0.105189
  24  -16702.9522216   0.111524
  25  -16702.9494719   0.114273
  26  -16702.9467093   0.117036
  27  -16702.945317   0.118428
  28  -16702.9371422   0.126603
  29  -16702.9349084   0.128837
  30  -16702.9344533   0.129292
  31  -16702.9341913   0.129554
  32  -16702.9340769   0.129668
  33  -16702.9212641   0.142481
  34  -16702.9178565   0.145889
  35  -16702.9177085   0.146037
  36  -16702.9141952   0.149550
  37  -16702.9094797   0.154266
  38  -16702.9071261   0.156619
  39  -16702.9035718   0.160174
  40  -16702.8997703   0.163975
  41  -16702.8993885   0.164357
  42  -16702.8959396   0.167806
  43  -16702.8894187   0.174327
  44  -16702.8787494   0.184996
  45  -16702.877964   0.185781
  46  -16702.8701003   0.193645
  47  -16702.8672831   0.196462
  48  -16702.8667634   0.196982
  49  -16702.865921   0.197824
  50  -16702.8630611   0.200684
  51  -16702.8629301   0.200815
  52  -16702.8623633   0.201382
  53  -16702.8593503   0.204395
  54  -16702.844669   0.219076
  55  -16702.8443832   0.219362
  56  -16702.8422306   0.221515
  57  -16702.8394841   0.224261
  58  -16702.839051   0.224694
  59  -16702.835456   0.228289
  60  -16702.8341694   0.229576
  61  -16702.8338902   0.229855
  62  -16702.8152471   0.248498
  63  -16702.8086656   0.255080
  64  -16702.8071359   0.256610
  65  -16702.8056507   0.258095
  66  -16702.7998228   0.263923
  67  -16702.7994649   0.264280
  68  -16702.7984102   0.265335
  69  -16702.7973013   0.266444
  70  -16702.7929854   0.270760
  71  -16702.7928905   0.270855
  72  -16702.7903289   0.273417
  73  -16702.7837353   0.280010
  74  -16702.7835953   0.280150
  75  -16702.7754231   0.288322
  76  -16702.7746247   0.289121
  77  -16702.7703032   0.293442
  78  -16702.7668686   0.296877
  79  -16702.7604349   0.303310
  80  -16702.7589797   0.304766
  81  -16702.7562982   0.307447
  82  -16702.7513844   0.312361
  83  -16702.746576   0.317169
  84  -16702.7416731   0.322072
  85  -16702.7396742   0.324071
  86  -16702.7390922   0.324653
  87  -16702.7230907   0.340655
  88  -16702.7218264   0.341919
  89  -16702.7185482   0.345197
  90  -16702.7176293   0.346116
  91  -16702.7162655   0.347480
  92  -16702.7090831   0.354662
  93  -16702.7066948   0.357051
  94  -16702.7006539   0.363091
  95  -16702.7003776   0.363368
  96  -16702.6956824   0.368063
  97  -16702.6952375   0.368508
  98  -16702.694832   0.368913
  99  -16702.6945542   0.369191
 100  -16702.6882716   0.375474
 101  -16702.6874471   0.376298
 102  -16702.6864069   0.377338
 103  -16702.686219   0.377526
 104  -16702.6854563   0.378289
 105  -16702.678166   0.385579
 106  -16702.6764545   0.387291
 107  -16702.6727818   0.390964
 108  -16702.6706238   0.393122
 109  -16702.6667147   0.397031
 110  -16702.6636018   0.400144
 111  -16702.6632631   0.400482
 112  -16702.6628718   0.400874
 113  -16702.6546812   0.409064
 114  -16702.6539647   0.409781
 115  -16702.6525452   0.411200
 116  -16702.6476777   0.416068
 117  -16702.645899   0.417846
 118  -16702.6456971   0.418048
 119  -16702.6424909   0.421254
