# Relative energy hierarchy for Ile conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -30563.9284838   0.000000
   2  -30563.9272522   0.001232
   3  -30563.923205   0.005279
   4  -30563.9154017   0.013082
   5  -30563.9121887   0.016295
   6  -30563.9118977   0.016586
   7  -30563.8989973   0.029486
   8  -30563.8724188   0.056065
   9  -30563.8704872   0.057997
  10  -30563.8669171   0.061567
  11  -30563.8658481   0.062636
  12  -30563.8646626   0.063821
  13  -30563.8591754   0.069308
  14  -30563.8506249   0.077859
  15  -30563.8428677   0.085616
  16  -30563.8413055   0.087178
  17  -30563.758699   0.169785
  18  -30563.7203451   0.208139
  19  -30563.7185624   0.209921
  20  -30563.4204857   0.507998
  21  -30563.4071473   0.521336
  22  -30563.3960855   0.532398
  23  -30563.3930922   0.535392
  24  -30563.3734979   0.554986
  25  -30563.3676669   0.560817
  26  -30563.3249513   0.603532
  27  -30563.2849479   0.643536
  28  -30563.244578   0.683906
  29  -30563.2298571   0.698627
  30  -30563.225803   0.702681
  31  -30563.2191475   0.709336
  32  -30563.2081818   0.720302
  33  -30563.1936305   0.734853
  34  -30563.173828   0.754656
  35  -30562.1891486   1.739335
  36  -30562.1762856   1.752198
  37  -30562.1275733   1.800910
