# Relative energy hierarchy for Ile conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -166137.40746   0.000000
   2  -166137.404417   0.003043
   3  -166137.388847   0.018613
   4  -166137.387845   0.019615
   5  -166137.387575   0.019885
   6  -166137.387077   0.020383
   7  -166137.368878   0.038582
   8  -166137.366746   0.040714
   9  -166137.358472   0.048988
  10  -166137.235949   0.171511
  11  -166137.210257   0.197203
  12  -166137.196021   0.211439
  13  -166137.114096   0.293364
  14  -166137.057888   0.349572
  15  -166137.01817   0.389290
  16  -166136.990847   0.416613
  17  -166136.912021   0.495439
  18  -166136.907898   0.499562
  19  -166136.900377   0.507083
  20  -166136.872346   0.535114
  21  -166136.871169   0.536291
  22  -166136.857022   0.550438
  23  -166136.406389   1.001071
  24  -166136.349178   1.058282
  25  -166136.320679   1.086781
