# Relative energy hierarchy for Ile conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -565416.113725   0.000000
   2  -565416.093572   0.020153
   3  -565416.073275   0.040450
   4  -565416.059802   0.053923
   5  -565416.05834   0.055385
   6  -565416.049006   0.064719
   7  -565416.041754   0.071971
   8  -565416.015611   0.098114
   9  -565415.867214   0.246511
  10  -565415.733972   0.379753
  11  -565415.667245   0.446480
  12  -565415.633213   0.480512
  13  -565415.61458   0.499145
  14  -565415.596799   0.516926
  15  -565415.595094   0.518631
  16  -565415.58617   0.527555
  17  -565415.555344   0.558381
  18  -565415.536032   0.577693
  19  -565415.511042   0.602683
  20  -565415.490494   0.623231
  21  -565415.481094   0.632631
  22  -565415.475772   0.637953
  23  -565415.376073   0.737652
