# Relative energy hierarchy for Ile conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -602162.291859   0.000000
   2  -602162.290474   0.001385
   3  -602162.290239   0.001620
   4  -602162.288668   0.003191
   5  -602162.253273   0.038586
   6  -602162.245896   0.045963
   7  -602162.2423   0.049559
   8  -602162.225401   0.066458
   9  -602162.214807   0.077052
  10  -602162.165879   0.125980
  11  -602162.096999   0.194860
  12  -602161.93652   0.355339
  13  -602161.924735   0.367124
  14  -602161.910155   0.381704
  15  -602161.883465   0.408394
  16  -602161.872054   0.419805
  17  -602161.856746   0.435113
  18  -602161.783953   0.507906
  19  -602161.740037   0.551822
  20  -602161.728572   0.563287
  21  -602161.719312   0.572547
  22  -602161.707699   0.584160
  23  -602161.706286   0.585573
  24  -602161.702567   0.589292
  25  -602160.481749   1.810110
  26  -602160.464462   1.827397
  27  -602160.443217   1.848642
