# Relative energy hierarchy for Ile conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -99209.8133912   0.000000
   2  -99209.8100975   0.003294
   3  -99209.7969773   0.016414
   4  -99209.7928024   0.020589
   5  -99209.7523725   0.061019
   6  -99209.7520396   0.061352
   7  -99209.7517486   0.061643
   8  -99209.7477899   0.065601
   9  -99209.7320588   0.081332
  10  -99209.7302588   0.083132
  11  -99209.6323744   0.181017
  12  -99209.60644   0.206951
  13  -99209.6037129   0.209678
  14  -99209.2873954   0.525996
  15  -99209.2863556   0.527036
  16  -99209.2767181   0.536673
  17  -99209.2646097   0.548782
  18  -99209.2477496   0.565642
  19  -99209.2428094   0.570582
  20  -99209.1728891   0.640502
  21  -99209.1458495   0.667542
  22  -99209.1339685   0.679423
  23  -99209.1269841   0.686407
  24  -99209.1162026   0.697189
  25  -99209.1140168   0.699374
  26  -99209.103548   0.709843
  27  -99209.0814388   0.731952
  28  -99209.0761984   0.737193
  29  -99208.9698658   0.843525
  30  -99208.2416122   1.571779
