# Relative energy hierarchy for Ile conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -12020.3044375   0.000000
   2  -12020.2959759   0.008462
   3  -12020.2749655   0.029472
   4  -12020.2601069   0.044331
   5  -12020.2366178   0.067820
   6  -12020.212726   0.091712
   7  -12020.2116175   0.092820
   8  -12020.2112357   0.093202
   9  -12020.2103205   0.094117
  10  -12020.1974908   0.106947
  11  -12020.1934217   0.111016
  12  -12020.185008   0.119430
  13  -12020.1833615   0.121076
  14  -12020.180578   0.123860
  15  -12020.1784894   0.125948
  16  -12020.1761746   0.128263
  17  -12020.1703197   0.134118
  18  -12020.168862   0.135576
  19  -12020.1632819   0.141156
  20  -12020.1610282   0.143409
  21  -12020.1605611   0.143876
  22  -12020.15977   0.144668
  23  -12020.1564659   0.147972
  24  -12020.1558536   0.148584
  25  -12020.1479556   0.156482
  26  -12020.1453668   0.159071
  27  -12020.1445263   0.159911
  28  -12020.1390306   0.165407
  29  -12020.1372096   0.167228
  30  -12020.1365385   0.167899
  31  -12020.1361518   0.168286
  32  -12020.1192264   0.185211
  33  -12020.1183728   0.186065
  34  -12020.1167632   0.187674
  35  -12020.1135735   0.190864
  36  -12020.1128345   0.191603
  37  -12020.1114147   0.193023
  38  -12020.1110706   0.193367
  39  -12020.1095641   0.194873
  40  -12020.1071702   0.197267
  41  -12020.1033581   0.201079
  42  -12020.1022634   0.202174
  43  -12020.0942553   0.210182
  44  -12020.0907415   0.213696
  45  -12020.0865273   0.217910
  46  -12020.0721547   0.232283
  47  -12020.0720091   0.232428
  48  -12020.071259   0.233179
  49  -12020.0711143   0.233323
  50  -12020.0529597   0.251478
  51  -12020.0470459   0.257392
  52  -12020.0466957   0.257742
  53  -12020.0435624   0.260875
  54  -12020.0435389   0.260899
  55  -12020.0409373   0.263500
  56  -12020.0296061   0.274831
  57  -12020.0280739   0.276364
  58  -12020.027747   0.276691
  59  -12020.0268696   0.277568
  60  -12020.0181116   0.286326
  61  -12020.0145559   0.289882
  62  -12020.0143083   0.290129
  63  -12020.0039242   0.300513
  64  -12019.9910422   0.313395
  65  -12019.9883801   0.316057
  66  -12019.9853684   0.319069
  67  -12019.9769979   0.327440
  68  -12019.9759821   0.328455
  69  -12019.9698879   0.334550
  70  -12019.9619733   0.342464
  71  -12019.9562184   0.348219
  72  -12019.9546209   0.349817
  73  -12019.930668   0.373769
  74  -12019.917077   0.387361
  75  -12019.9009425   0.403495
  76  -12019.8993696   0.405068
