# Relative energy hierarchy for Ac-Leu-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -241840.86301   0.000000
   2  -241840.848691   0.014319
   3  -241840.818728   0.044282
   4  -241840.818081   0.044929
   5  -241840.816559   0.046451
   6  -241840.815563   0.047447
   7  -241840.814427   0.048583
   8  -241840.812399   0.050611
   9  -241840.802337   0.060673
  10  -241840.799905   0.063105
  11  -241840.776591   0.086419
  12  -241840.76964   0.093370
  13  -241840.768621   0.094389
  14  -241840.763332   0.099678
  15  -241840.755597   0.107413
  16  -241840.742402   0.120608
  17  -241840.741131   0.121879
  18  -241840.726528   0.136482
  19  -241840.717843   0.145167
  20  -241840.717188   0.145822
  21  -241840.716356   0.146654
  22  -241840.697248   0.165762
  23  -241840.690324   0.172686
  24  -241840.687   0.176010
  25  -241840.683468   0.179542
  26  -241840.681934   0.181076
  27  -241840.680129   0.182881
  28  -241840.672932   0.190078
  29  -241840.656264   0.206746
  30  -241840.654134   0.208876
  31  -241840.651639   0.211371
  32  -241840.628212   0.234798
  33  -241840.626615   0.236395
  34  -241840.601349   0.261661
  35  -241840.484416   0.378594
  36  -241840.459653   0.403357
  37  -241840.459494   0.403516
  38  -241840.288985   0.574025
  39  -241840.277925   0.585085
  40  -241840.277763   0.585247
  41  -241840.259835   0.603175
  42  -241840.25502   0.607990
  43  -241840.243034   0.619976
  44  -241840.235782   0.627228
  45  -241840.23569   0.627320
  46  -241840.232932   0.630078
  47  -241840.231245   0.631765
  48  -241840.22908   0.633930
  49  -241840.223819   0.639191
  50  -241840.198859   0.664151
  51  -241840.186992   0.676018
  52  -241840.182748   0.680262
  53  -241840.176778   0.686232
  54  -241840.162829   0.700181
  55  -241840.155619   0.707391
  56  -241840.135253   0.727757
  57  -241840.121199   0.741811
  58  -241840.119166   0.743844
  59  -241840.118375   0.744635
  60  -241840.116625   0.746385
  61  -241840.087105   0.775905
  62  -241840.077379   0.785631
  63  -241840.054998   0.808012
  64  -241839.987885   0.875125
  65  -241839.984208   0.878802
  66  -241839.73852   1.124490
  67  -241839.693098   1.169912
  68  -241839.675168   1.187842
  69  -241839.673424   1.189586
  70  -241839.644525   1.218485
  71  -241839.632149   1.230861
  72  -241839.600573   1.262437
  73  -241839.585458   1.277552
  74  -241839.584869   1.278141
  75  -241839.583244   1.279766
  76  -241839.569514   1.293496
  77  -241839.556249   1.306761
  78  -241839.543804   1.319206
  79  -241839.525693   1.337317
  80  -241839.514624   1.348386
  81  -241839.506483   1.356527
  82  -241839.499223   1.363787
  83  -241839.494175   1.368835
  84  -241839.462199   1.400811
  85  -241839.456831   1.406179
  86  -241839.443436   1.419574
  87  -241839.44107   1.421940
  88  -241839.420731   1.442279
  89  -241839.362731   1.500279
  90  -241839.289178   1.573832
