# Relative energy hierarchy for Ac-Leu-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -35247.9210384   0.000000
   2  -35247.9094888   0.011550
   3  -35247.9029017   0.018137
   4  -35247.9005666   0.020472
   5  -35247.8932606   0.027778
   6  -35247.8909086   0.030130
   7  -35247.8821826   0.038856
   8  -35247.8754125   0.045626
   9  -35247.872787   0.048251
  10  -35247.8677402   0.053298
  11  -35247.8509686   0.070070
  12  -35247.8458129   0.075226
  13  -35247.8445914   0.076447
  14  -35247.843202   0.077836
  15  -35247.8431854   0.077853
  16  -35247.8297575   0.091281
  17  -35247.8265241   0.094514
  18  -35247.8252905   0.095748
  19  -35247.8090788   0.111960
  20  -35247.8071372   0.113901
  21  -35247.7999533   0.121085
  22  -35247.799111   0.121927
  23  -35247.7985979   0.122441
  24  -35247.7850609   0.135978
  25  -35247.7796618   0.141377
  26  -35247.7613278   0.159711
  27  -35247.7554061   0.165632
  28  -35247.7544049   0.166634
  29  -35247.7500782   0.170960
  30  -35247.7466546   0.174384
  31  -35247.7447083   0.176330
  32  -35247.7416801   0.179358
  33  -35247.7144546   0.206584
  34  -35247.7065576   0.214481
  35  -35247.694553   0.226485
  36  -35247.6897286   0.231310
  37  -35247.684285   0.236753
  38  -35247.6654995   0.255539
  39  -35247.6580608   0.262978
  40  -35247.6490635   0.271975
  41  -35247.5832633   0.337775
  42  -35247.4701868   0.450852
  43  -35247.2604304   0.660608
  44  -35247.2349825   0.686056
  45  -35247.213968   0.707070
  46  -35247.208286   0.712752
  47  -35247.1974578   0.723581
  48  -35247.1867327   0.734306
  49  -35247.1864913   0.734547
  50  -35247.1797841   0.741254
  51  -35247.1780376   0.743001
  52  -35247.1710319   0.750007
  53  -35247.1670823   0.753956
  54  -35247.1643235   0.756715
  55  -35247.1415991   0.779439
  56  -35247.1268696   0.794169
  57  -35247.1234893   0.797549
  58  -35247.1139382   0.807100
  59  -35247.1059725   0.815066
  60  -35247.0906897   0.830349
  61  -35247.0685256   0.852513
  62  -35247.0669208   0.854118
  63  -35247.0665528   0.854486
  64  -35247.0625101   0.858528
  65  -35247.0565182   0.864520
  66  -35247.0285545   0.892484
  67  -35247.0174103   0.903628
  68  -35246.9882686   0.932770
  69  -35246.9424884   0.978550
  70  -35246.9170964   1.003942
  71  -35246.5767674   1.344271
  72  -35246.5598416   1.361197
  73  -35246.5088722   1.412166
  74  -35246.4804195   1.440619
  75  -35246.4693899   1.451649
  76  -35246.465741   1.455297
  77  -35246.4380109   1.483028
  78  -35246.4378036   1.483235
  79  -35246.4070654   1.513973
  80  -35246.3562294   1.564809
  81  -35246.3414384   1.579600
  82  -35246.3126199   1.608418
  83  -35246.2052408   1.715798
  84  -35246.2049067   1.716132
  85  -35246.1817026   1.739336
  86  -35246.1740435   1.746995
  87  -35246.1665456   1.754493
  88  -35246.144199   1.776839
  89  -35246.1186845   1.802354
  90  -35246.1116706   1.809368
  91  -35246.0810602   1.839978
  92  -35246.0741334   1.846905
  93  -35246.063017   1.858021
  94  -35246.059959   1.861079
  95  -35245.9788211   1.942217
  96  -35245.9023959   2.018643
