# Relative energy hierarchy for Ac-Leu-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -170821.32728   0.000000
   2  -170821.32333   0.003950
   3  -170821.219972   0.107308
   4  -170821.218826   0.108454
   5  -170821.216434   0.110846
   6  -170821.209231   0.118049
   7  -170821.197181   0.130099
   8  -170821.195006   0.132274
   9  -170821.185843   0.141437
  10  -170821.184452   0.142828
  11  -170821.17786   0.149420
  12  -170821.156425   0.170855
  13  -170821.15061   0.176670
  14  -170821.137973   0.189307
  15  -170821.137046   0.190234
  16  -170821.136443   0.190837
  17  -170821.135953   0.191327
  18  -170821.133297   0.193983
  19  -170821.108541   0.218739
  20  -170821.104657   0.222623
  21  -170821.094923   0.232357
  22  -170821.084659   0.242621
  23  -170821.08151   0.245770
  24  -170821.074977   0.252303
  25  -170821.069181   0.258099
  26  -170821.067961   0.259319
  27  -170821.052903   0.274377
  28  -170821.050339   0.276941
  29  -170821.031214   0.296066
  30  -170821.028718   0.298562
  31  -170821.02563   0.301650
  32  -170820.989704   0.337576
  33  -170820.989133   0.338147
  34  -170820.969071   0.358209
  35  -170820.95599   0.371290
  36  -170820.933173   0.394107
  37  -170820.919327   0.407953
  38  -170820.847044   0.480236
  39  -170820.796117   0.531163
  40  -170820.78438   0.542900
  41  -170820.750098   0.577182
  42  -170820.749332   0.577948
  43  -170820.737459   0.589821
  44  -170820.70233   0.624950
  45  -170820.687872   0.639408
  46  -170820.678443   0.648837
  47  -170820.661522   0.665758
  48  -170820.541142   0.786138
  49  -170820.535435   0.791845
  50  -170820.485904   0.841376
  51  -170820.470279   0.857001
  52  -170820.462828   0.864452
  53  -170820.45524   0.872040
  54  -170820.379586   0.947694
  55  -170820.36212   0.965160
  56  -170820.327822   0.999458
  57  -170820.312319   1.014961
  58  -170820.279377   1.047903
  59  -170820.272325   1.054955
  60  -170820.263518   1.063762
  61  -170820.197158   1.130122
  62  -170820.159856   1.167424
  63  -170820.152422   1.174858
  64  -170820.073814   1.253466
  65  -170820.071402   1.255878
  66  -170820.071309   1.255971
  67  -170820.047858   1.279422
  68  -170820.031412   1.295868
  69  -170820.029706   1.297574
  70  -170820.011931   1.315349
  71  -170819.953605   1.373675
  72  -170819.927574   1.399706
  73  -170819.906747   1.420533
  74  -170819.889781   1.437499
  75  -170819.83584   1.491440
  76  -170819.831742   1.495538
  77  -170819.785504   1.541776
  78  -170819.755723   1.571557
  79  -170819.729568   1.597712
  80  -170819.704222   1.623058
  81  -170819.693178   1.634102
  82  -170819.677531   1.649749
  83  -170819.664784   1.662496
  84  -170819.565845   1.761435
  85  -170819.560441   1.766839
  86  -170819.517592   1.809688
  87  -170819.46964   1.857640
