# Relative energy hierarchy for Ac-Leu-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -570099.696182   0.000000
   2  -570099.689271   0.006911
   3  -570099.666944   0.029238
   4  -570099.652387   0.043795
   5  -570099.638995   0.057187
   6  -570099.627328   0.068854
   7  -570099.624815   0.071367
   8  -570099.623868   0.072314
   9  -570099.621832   0.074350
  10  -570099.612699   0.083483
  11  -570099.594136   0.102046
  12  -570099.582496   0.113686
  13  -570099.582374   0.113808
  14  -570099.57924   0.116942
  15  -570099.574573   0.121609
  16  -570099.565384   0.130798
  17  -570099.55935   0.136832
  18  -570099.542268   0.153914
  19  -570099.52266   0.173522
  20  -570099.521067   0.175115
  21  -570099.508702   0.187480
  22  -570099.495284   0.200898
  23  -570099.493019   0.203163
  24  -570099.473083   0.223099
  25  -570099.470506   0.225676
  26  -570099.46796   0.228222
  27  -570099.466875   0.229307
  28  -570099.461699   0.234483
  29  -570099.455531   0.240651
  30  -570099.454638   0.241544
  31  -570099.448857   0.247325
  32  -570099.447926   0.248256
  33  -570099.44144   0.254742
  34  -570099.416934   0.279248
  35  -570099.407886   0.288296
  36  -570099.394715   0.301467
  37  -570099.390947   0.305235
  38  -570099.239896   0.456286
  39  -570099.23391   0.462272
  40  -570099.232907   0.463275
  41  -570099.214078   0.482104
  42  -570099.201809   0.494373
  43  -570099.178123   0.518059
  44  -570099.175702   0.520480
  45  -570099.157804   0.538378
  46  -570099.131734   0.564448
  47  -570099.125682   0.570500
  48  -570099.109517   0.586665
  49  -570099.096831   0.599351
  50  -570099.089391   0.606791
  51  -570099.086057   0.610125
  52  -570099.077649   0.618533
  53  -570099.075301   0.620881
  54  -570099.048331   0.647851
  55  -570099.029514   0.666668
  56  -570099.026548   0.669634
  57  -570099.025914   0.670268
  58  -570099.004215   0.691967
  59  -570098.976465   0.719717
  60  -570098.974228   0.721954
  61  -570098.940352   0.755830
  62  -570098.861297   0.834885
  63  -570098.848227   0.847955
  64  -570098.8476   0.848582
  65  -570098.83048   0.865702
  66  -570098.823494   0.872688
  67  -570098.820945   0.875237
  68  -570098.805473   0.890709
  69  -570098.804022   0.892160
  70  -570098.796705   0.899477
  71  -570098.783579   0.912603
  72  -570098.769624   0.926558
  73  -570098.747246   0.948936
  74  -570098.740432   0.955750
  75  -570098.698965   0.997217
  76  -570098.68968   1.006502
  77  -570098.682168   1.014014
  78  -570098.678555   1.017627
  79  -570098.668051   1.028131
  80  -570098.6642   1.031982
  81  -570098.657679   1.038503
  82  -570098.62653   1.069652
