# Relative energy hierarchy for Ac-Leu-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -606846.16061   0.000000
   2  -606846.141028   0.019582
   3  -606846.133444   0.027166
   4  -606846.127564   0.033046
   5  -606846.120486   0.040124
   6  -606846.117855   0.042755
   7  -606846.114163   0.046447
   8  -606846.112621   0.047989
   9  -606846.10884   0.051770
  10  -606846.09572   0.064890
  11  -606846.081705   0.078905
  12  -606846.077591   0.083019
  13  -606846.076144   0.084466
  14  -606846.07282   0.087790
  15  -606846.066392   0.094218
  16  -606846.055975   0.104635
  17  -606846.055004   0.105606
  18  -606846.048758   0.111852
  19  -606846.034803   0.125807
  20  -606846.033099   0.127511
  21  -606846.028132   0.132478
  22  -606846.020221   0.140389
  23  -606846.013444   0.147166
  24  -606846.010513   0.150097
  25  -606846.002061   0.158549
  26  -606845.998322   0.162288
  27  -606845.983902   0.176708
  28  -606845.982783   0.177827
  29  -606845.959617   0.200993
  30  -606845.957234   0.203376
  31  -606845.953141   0.207469
  32  -606845.935691   0.224919
  33  -606845.934714   0.225896
  34  -606845.93195   0.228660
  35  -606845.904333   0.256277
  36  -606845.901717   0.258893
  37  -606845.851375   0.309235
  38  -606845.812078   0.348532
  39  -606845.781678   0.378932
  40  -606845.735195   0.425415
  41  -606845.541324   0.619286
  42  -606845.481873   0.678737
  43  -606845.476452   0.684158
  44  -606845.448554   0.712056
  45  -606845.440255   0.720355
  46  -606845.439083   0.721527
  47  -606845.436281   0.724329
  48  -606845.429887   0.730723
  49  -606845.426911   0.733699
  50  -606845.424767   0.735843
  51  -606845.416545   0.744065
  52  -606845.409609   0.751001
  53  -606845.395075   0.765535
  54  -606845.382756   0.777854
  55  -606845.37931   0.781300
  56  -606845.377339   0.783271
  57  -606845.347798   0.812812
  58  -606845.338584   0.822026
  59  -606845.335159   0.825451
  60  -606845.322597   0.838013
  61  -606845.300292   0.860318
  62  -606845.294472   0.866138
  63  -606845.288398   0.872212
  64  -606845.264528   0.896082
  65  -606845.257206   0.903404
  66  -606845.249925   0.910685
  67  -606845.197778   0.962832
  68  -606845.156832   1.003778
  69  -606844.809127   1.351483
  70  -606844.754417   1.406193
  71  -606844.744403   1.416207
  72  -606844.738187   1.422423
  73  -606844.724284   1.436326
  74  -606844.711393   1.449217
  75  -606844.699005   1.461605
  76  -606844.695374   1.465236
  77  -606844.694337   1.466273
  78  -606844.660121   1.500489
  79  -606844.630066   1.530544
  80  -606844.598031   1.562579
  81  -606844.595477   1.565133
  82  -606844.564519   1.596091
  83  -606844.563677   1.596933
  84  -606844.530543   1.630067
  85  -606844.525433   1.635177
  86  -606844.511962   1.648648
  87  -606844.473625   1.686985
  88  -606844.468825   1.691785
  89  -606844.447978   1.712632
  90  -606844.424796   1.735814
  91  -606844.422177   1.738433
  92  -606844.41527   1.745340
  93  -606844.333517   1.827093
  94  -606844.264549   1.896061
