# Relative energy hierarchy for Ac-Leu-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -103893.674484   0.000000
   2  -103893.657643   0.016841
   3  -103893.65051   0.023974
   4  -103893.637884   0.036600
   5  -103893.635454   0.039030
   6  -103893.62997   0.044514
   7  -103893.627996   0.046488
   8  -103893.626467   0.048017
   9  -103893.623802   0.050682
  10  -103893.612628   0.061856
  11  -103893.608078   0.066406
  12  -103893.594703   0.079781
  13  -103893.589348   0.085136
  14  -103893.588631   0.085853
  15  -103893.577659   0.096825
  16  -103893.576185   0.098299
  17  -103893.571483   0.103001
  18  -103893.555989   0.118495
  19  -103893.555755   0.118729
  20  -103893.548453   0.126031
  21  -103893.548375   0.126109
  22  -103893.545263   0.129221
  23  -103893.534437   0.140047
  24  -103893.513678   0.160806
  25  -103893.50819   0.166294
  26  -103893.502178   0.172306
  27  -103893.498933   0.175551
  28  -103893.496901   0.177583
  29  -103893.496465   0.178019
  30  -103893.486701   0.187783
  31  -103893.474069   0.200415
  32  -103893.459095   0.215389
  33  -103893.457298   0.217186
  34  -103893.452334   0.222150
  35  -103893.42776   0.246724
  36  -103893.423304   0.251180
  37  -103893.39088   0.283604
  38  -103893.355426   0.319058
  39  -103893.312944   0.361540
  40  -103893.249069   0.425415
  41  -103893.054257   0.620227
  42  -103893.051201   0.623283
  43  -103893.039343   0.635141
  44  -103893.0237   0.650784
  45  -103893.015697   0.658787
  46  -103893.004926   0.669558
  47  -103893.000193   0.674291
  48  -103892.997335   0.677149
  49  -103892.993475   0.681009
  50  -103892.993065   0.681419
  51  -103892.992553   0.681931
  52  -103892.983597   0.690887
  53  -103892.960086   0.714398
  54  -103892.947349   0.727135
  55  -103892.945629   0.728855
  56  -103892.93862   0.735864
  57  -103892.923502   0.750982
  58  -103892.913235   0.761249
  59  -103892.894215   0.780269
  60  -103892.882883   0.791601
  61  -103892.880717   0.793767
  62  -103892.878446   0.796038
  63  -103892.877944   0.796540
  64  -103892.846808   0.827676
  65  -103892.836448   0.838036
  66  -103892.811694   0.862790
  67  -103892.749555   0.924929
  68  -103892.743244   0.931240
  69  -103892.416096   1.258388
  70  -103892.394641   1.279843
  71  -103892.35255   1.321934
  72  -103892.333696   1.340788
  73  -103892.32091   1.353574
  74  -103892.302809   1.371675
  75  -103892.296478   1.378006
  76  -103892.245716   1.428768
  77  -103892.233313   1.441171
  78  -103892.196082   1.478402
  79  -103892.163142   1.511342
  80  -103892.148825   1.525659
  81  -103892.147837   1.526647
  82  -103892.118792   1.555692
  83  -103892.107317   1.567167
  84  -103892.07987   1.594614
  85  -103892.075973   1.598511
  86  -103892.062425   1.612059
  87  -103892.056512   1.617972
  88  -103892.024722   1.649762
  89  -103892.019307   1.655177
  90  -103892.0067   1.667784
  91  -103892.003612   1.670872
  92  -103891.924652   1.749832
  93  -103891.850307   1.824177
