# Relative energy hierarchy for Leu conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -237157.117675   0.000000
   2  -237157.110438   0.007237
   3  -237157.107082   0.010593
   4  -237157.08255   0.035125
   5  -237157.07655   0.041125
   6  -237157.057927   0.059748
   7  -237157.013654   0.104021
   8  -237156.978611   0.139064
   9  -237156.975208   0.142467
  10  -237156.693827   0.423848
  11  -237156.656346   0.461329
  12  -237156.644087   0.473588
  13  -237156.549437   0.568238
  14  -237156.523148   0.594527
  15  -237156.484335   0.633340
  16  -237156.454739   0.662936
  17  -237156.448501   0.669174
  18  -237156.442502   0.675173
  19  -237156.442015   0.675660
  20  -237156.440913   0.676762
  21  -237156.440255   0.677420
  22  -237156.433393   0.684282
  23  -237156.423609   0.694066
  24  -237156.418105   0.699570
  25  -237156.415764   0.701911
  26  -237156.407422   0.710253
  27  -237156.355035   0.762640
  28  -237156.343496   0.774179
  29  -237156.340455   0.777220
