# Relative energy hierarchy for Leu conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -166137.430055   0.000000
   2  -166137.428795   0.001260
   3  -166137.42059   0.009465
   4  -166137.377658   0.052397
   5  -166137.358408   0.071647
   6  -166137.352278   0.077777
   7  -166137.346251   0.083804
   8  -166137.342487   0.087568
   9  -166137.244142   0.185913
  10  -166137.230331   0.199724
  11  -166137.186529   0.243526
  12  -166137.144464   0.285591
  13  -166137.123542   0.306513
  14  -166137.113819   0.316236
  15  -166136.927191   0.502864
  16  -166136.91869   0.511365
  17  -166136.896692   0.533363
  18  -166136.893438   0.536617
  19  -166136.891819   0.538236
  20  -166136.88821   0.541845
  21  -166136.882881   0.547174
  22  -166136.774686   0.655369
  23  -166136.767283   0.662772
  24  -166136.706013   0.724042
  25  -166136.660336   0.769719
  26  -166136.455414   0.974641
