# Relative energy hierarchy for Leu conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -565416.1493   0.000000
   2  -565416.118352   0.030948
   3  -565416.108408   0.040892
   4  -565416.093879   0.055421
   5  -565416.036972   0.112328
   6  -565415.977883   0.171417
   7  -565415.977606   0.171694
   8  -565415.896621   0.252679
   9  -565415.880198   0.269102
  10  -565415.870998   0.278302
  11  -565415.733964   0.415336
  12  -565415.672944   0.476356
  13  -565415.636005   0.513295
  14  -565415.634247   0.515053
  15  -565415.618052   0.531248
  16  -565415.615337   0.533963
  17  -565415.614358   0.534942
  18  -565415.596108   0.553192
  19  -565415.591679   0.557621
  20  -565415.583054   0.566246
  21  -565415.56165   0.587650
  22  -565415.554287   0.595013
  23  -565415.469268   0.680032
  24  -565415.453433   0.695867
  25  -565415.445506   0.703794
