# Relative energy hierarchy for Leu conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -602162.316234   0.000000
   2  -602162.311325   0.004909
   3  -602162.309047   0.007187
   4  -602162.266697   0.049537
   5  -602162.258587   0.057647
   6  -602162.24631   0.069924
   7  -602162.244776   0.071458
   8  -602162.210323   0.105911
   9  -602162.203153   0.113081
  10  -602162.19818   0.118054
  11  -602162.130589   0.185645
  12  -602162.050345   0.265889
  13  -602161.918094   0.398140
  14  -602161.916836   0.399398
  15  -602161.875831   0.440403
  16  -602161.867128   0.449106
  17  -602161.843376   0.472858
  18  -602161.833575   0.482659
  19  -602161.746612   0.569622
  20  -602161.732056   0.584178
  21  -602161.725117   0.591117
  22  -602161.724569   0.591665
  23  -602161.720186   0.596048
  24  -602161.712368   0.603866
  25  -602161.699682   0.616552
  26  -602161.693384   0.622850
  27  -602161.6148   0.701434
  28  -602161.607695   0.708539
  29  -602160.439564   1.876670
