# Relative energy hierarchy for Leu conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -99209.8239162   0.000000
   2  -99209.8194882   0.004428
   3  -99209.8156488   0.008267
   4  -99209.7880599   0.035856
   5  -99209.7832822   0.040634
   6  -99209.7658471   0.058069
   7  -99209.7173468   0.106569
   8  -99209.6982208   0.125695
   9  -99209.6855347   0.138382
  10  -99209.4391535   0.384763
  11  -99209.2961691   0.527747
  12  -99209.2814136   0.542503
  13  -99209.2710553   0.552861
  14  -99209.2564023   0.567514
  15  -99209.2382491   0.585667
  16  -99209.2121685   0.611748
  17  -99209.195269   0.628647
  18  -99209.1441466   0.679770
  19  -99209.1406616   0.683255
  20  -99209.1373436   0.686573
  21  -99209.1351415   0.688775
  22  -99209.1350977   0.688818
  23  -99209.1308589   0.693057
  24  -99209.1159947   0.707921
  25  -99209.1136137   0.710302
  26  -99209.112647   0.711269
  27  -99209.1038129   0.720103
  28  -99209.053471   0.770445
  29  -99209.0343056   0.789611
  30  -99209.0333218   0.790594
