# Relative energy hierarchy for Leu conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -12020.3172567   0.000000
   2  -12020.2972681   0.019989
   3  -12020.2901178   0.027139
   4  -12020.2743314   0.042925
   5  -12020.2664666   0.050790
   6  -12020.258863   0.058394
   7  -12020.2558867   0.061370
   8  -12020.243031   0.074226
   9  -12020.2276306   0.089626
  10  -12020.2168138   0.100443
  11  -12020.215771   0.101486
  12  -12020.2042536   0.113003
  13  -12020.2039066   0.113350
  14  -12020.201119   0.116138
  15  -12020.1970019   0.120255
  16  -12020.1958264   0.121430
  17  -12020.1956756   0.121581
  18  -12020.1910507   0.126206
  19  -12020.1904449   0.126812
  20  -12020.1902391   0.127018
  21  -12020.188526   0.128731
  22  -12020.1779202   0.139337
  23  -12020.17418   0.143077
  24  -12020.1704678   0.146789
  25  -12020.1699671   0.147290
  26  -12020.1609719   0.156285
  27  -12020.1572883   0.159968
  28  -12020.1567365   0.160520
  29  -12020.1550938   0.162163
  30  -12020.1547224   0.162534
  31  -12020.1535459   0.163711
  32  -12020.150913   0.166344
  33  -12020.1443603   0.172896
  34  -12020.1429978   0.174259
  35  -12020.1386226   0.178634
  36  -12020.1377219   0.179535
  37  -12020.134632   0.182625
  38  -12020.1319587   0.185298
  39  -12020.130163   0.187094
  40  -12020.1299104   0.187346
  41  -12020.1285238   0.188733
  42  -12020.1237892   0.193467
  43  -12020.1222976   0.194959
  44  -12020.1204926   0.196764
  45  -12020.1184574   0.198799
  46  -12020.11315   0.204107
  47  -12020.109741   0.207516
  48  -12020.1053382   0.211919
  49  -12020.1016794   0.215577
  50  -12020.0980671   0.219190
  51  -12020.096979   0.220278
  52  -12020.0912191   0.226038
  53  -12020.0855848   0.231672
  54  -12020.0846821   0.232575
  55  -12020.0837956   0.233461
  56  -12020.0799425   0.237314
  57  -12020.0790824   0.238174
  58  -12020.0770001   0.240257
  59  -12020.0713539   0.245903
  60  -12020.0710447   0.246212
  61  -12020.0693222   0.247934
  62  -12020.0654917   0.251765
  63  -12020.0637186   0.253538
  64  -12020.0582999   0.258957
  65  -12020.055105   0.262152
  66  -12020.0422603   0.274996
  67  -12020.0275335   0.289723
  68  -12020.0225371   0.294720
  69  -12020.017027   0.300230
  70  -12020.0094369   0.307820
  71  -12020.0064416   0.310815
  72  -12020.0063056   0.310951
  73  -12020.004802   0.312455
  74  -12019.9944414   0.322815
  75  -12019.9934299   0.323827
  76  -12019.9924425   0.324814
  77  -12019.9914497   0.325807
  78  -12019.9823977   0.334859
  79  -12019.9778728   0.339384
  80  -12019.9735048   0.343752
  81  -12019.9730076   0.344249
  82  -12019.9715515   0.345705
  83  -12019.9518525   0.365404
  84  -12019.9165458   0.400711
  85  -12019.8531551   0.464102
