# Relative energy hierarchy for Ac-Lys-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -172329.9952   0.000000
   2  -172329.991279   0.003921
   3  -172329.972658   0.022542
   4  -172329.971699   0.023501
   5  -172329.897443   0.097757
   6  -172329.886639   0.108561
   7  -172329.883264   0.111936
   8  -172329.874863   0.120337
   9  -172329.866259   0.128941
  10  -172329.811174   0.184026
  11  -172329.799905   0.195295
  12  -172329.780071   0.215129
  13  -172329.769973   0.225227
  14  -172329.707941   0.287259
  15  -172329.617635   0.377565
  16  -172329.545565   0.449635
  17  -172329.517153   0.478047
  18  -172329.510686   0.484514
  19  -172329.496897   0.498303
  20  -172329.429663   0.565537
  21  -172329.426972   0.568228
  22  -172329.410321   0.584879
  23  -172329.41028   0.584920
  24  -172329.405912   0.589288
  25  -172329.4045   0.590700
  26  -172329.398467   0.596733
  27  -172329.38461   0.610590
  28  -172329.358679   0.636521
  29  -172329.346589   0.648611
  30  -172329.344648   0.650552
  31  -172329.263303   0.731897
  32  -172329.25803   0.737170
  33  -172329.244808   0.750392
  34  -172329.220866   0.774334
  35  -172329.184   0.811200
  36  -172329.181095   0.814105
  37  -172329.140779   0.854421
  38  -172329.118996   0.876204
  39  -172329.094529   0.900671
  40  -172329.032512   0.962688
  41  -172329.016298   0.978902
  42  -172329.002961   0.992239
  43  -172328.873029   1.122171
  44  -172328.832386   1.162814
  45  -172328.815161   1.180039
  46  -172328.729687   1.265513
  47  -172328.729139   1.266061
  48  -172328.701333   1.293867
  49  -172328.688091   1.307109
  50  -172328.646736   1.348464
  51  -172328.631838   1.363362
  52  -172328.604925   1.390275
  53  -172328.604216   1.390984
  54  -172328.568623   1.426577
  55  -172328.522744   1.472456
  56  -172328.512583   1.482617
  57  -172328.502827   1.492373
  58  -172328.480081   1.515119
  59  -172328.479203   1.515997
  60  -172328.463959   1.531241
  61  -172328.463217   1.531983
  62  -172328.454544   1.540656
  63  -172328.450648   1.544552
  64  -172328.435433   1.559767
  65  -172328.43348   1.561720
  66  -172328.408888   1.586312
  67  -172328.391013   1.604187
  68  -172328.380193   1.615007
  69  -172328.37308   1.622120
  70  -172328.369291   1.625909
  71  -172328.363763   1.631437
  72  -172328.349786   1.645414
  73  -172328.341573   1.653627
  74  -172328.321012   1.674188
  75  -172328.314822   1.680378
