# Relative energy hierarchy for Ac-Lys-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -571608.628973   0.000000
   2  -571608.610935   0.018038
   3  -571608.60492   0.024053
   4  -571608.566116   0.062857
   5  -571608.499726   0.129247
   6  -571608.497532   0.131441
   7  -571608.491564   0.137409
   8  -571608.484006   0.144967
   9  -571608.465073   0.163900
  10  -571608.450069   0.178904
  11  -571608.417373   0.211600
  12  -571608.385332   0.243641
  13  -571608.376524   0.252449
  14  -571608.362366   0.266607
  15  -571608.34748   0.281493
  16  -571608.309696   0.319277
  17  -571608.226088   0.402885
  18  -571608.223947   0.405026
  19  -571608.137371   0.491602
  20  -571608.113421   0.515552
  21  -571608.071886   0.557087
  22  -571608.07146   0.557513
  23  -571608.069536   0.559437
  24  -571608.048891   0.580082
  25  -571608.021748   0.607225
  26  -571608.009543   0.619430
  27  -571608.005534   0.623439
  28  -571607.997524   0.631449
  29  -571607.991826   0.637147
  30  -571607.989887   0.639086
  31  -571607.947016   0.681957
  32  -571607.942656   0.686317
  33  -571607.927911   0.701062
  34  -571607.925647   0.703326
  35  -571607.911537   0.717436
  36  -571607.904642   0.724331
  37  -571607.897973   0.731000
  38  -571607.892743   0.736230
  39  -571607.88981   0.739163
  40  -571607.876187   0.752786
  41  -571607.817562   0.811411
  42  -571607.721932   0.907041
  43  -571607.659895   0.969078
  44  -571607.588603   1.040370
  45  -571607.571472   1.057501
  46  -571607.49134   1.137633
  47  -571607.463806   1.165167
  48  -571607.314756   1.314217
  49  -571607.218165   1.410808
  50  -571607.183368   1.445605
  51  -571607.116006   1.512967
  52  -571607.111629   1.517344
  53  -571607.106052   1.522921
  54  -571607.091856   1.537117
  55  -571607.090885   1.538088
  56  -571607.08949   1.539483
  57  -571607.076798   1.552175
  58  -571607.067147   1.561826
  59  -571607.063395   1.565578
  60  -571607.062576   1.566397
  61  -571607.051201   1.577772
  62  -571607.04759   1.581383
  63  -571607.043913   1.585060
  64  -571607.037467   1.591506
  65  -571607.034135   1.594838
  66  -571607.029357   1.599616
  67  -571607.025498   1.603475
  68  -571607.018807   1.610166
  69  -571607.017144   1.611829
  70  -571607.01589   1.613083
  71  -571607.014842   1.614131
  72  -571607.012795   1.616178
  73  -571607.00477   1.624203
  74  -571607.000494   1.628479
  75  -571607.000044   1.628929
  76  -571606.998418   1.630555
  77  -571606.99758   1.631393
  78  -571606.996864   1.632109
  79  -571606.993635   1.635338
  80  -571606.993036   1.635937
  81  -571606.991719   1.637254
  82  -571606.980014   1.648959
  83  -571606.97695   1.652023
  84  -571606.976243   1.652730
  85  -571606.966955   1.662018
  86  -571606.962958   1.666015
  87  -571606.95895   1.670023
  88  -571606.958016   1.670957
  89  -571606.957683   1.671290
  90  -571606.956433   1.672540
  91  -571606.956324   1.672649
  92  -571606.955304   1.673669
  93  -571606.952173   1.676800
