# Relative energy hierarchy for Ac-Lys-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -608354.011472   0.000000
   2  -608353.99347   0.018002
   3  -608353.993031   0.018441
   4  -608353.948967   0.062505
   5  -608353.923438   0.088034
   6  -608353.922836   0.088636
   7  -608353.907291   0.104181
   8  -608353.891295   0.120177
   9  -608353.868998   0.142474
  10  -608353.859614   0.151858
  11  -608353.85909   0.152382
  12  -608353.846042   0.165430
  13  -608353.836584   0.174888
  14  -608353.82845   0.183022
  15  -608353.824619   0.186853
  16  -608353.823748   0.187724
  17  -608353.817544   0.193928
  18  -608353.799781   0.211691
  19  -608353.789654   0.221818
  20  -608353.779692   0.231780
  21  -608353.769476   0.241996
  22  -608353.766159   0.245313
  23  -608353.758772   0.252700
  24  -608353.740847   0.270625
  25  -608353.739941   0.271531
  26  -608353.728582   0.282890
  27  -608353.702764   0.308708
  28  -608353.699947   0.311525
  29  -608353.694894   0.316578
  30  -608353.694519   0.316953
  31  -608353.688642   0.322830
  32  -608353.653248   0.358224
  33  -608353.626957   0.384515
  34  -608353.458238   0.553234
  35  -608353.443611   0.567861
  36  -608353.428352   0.583120
  37  -608353.402965   0.608507
  38  -608353.381292   0.630180
  39  -608353.378067   0.633405
  40  -608353.376158   0.635314
  41  -608353.365444   0.646028
  42  -608353.35999   0.651482
  43  -608353.355064   0.656408
  44  -608353.354679   0.656793
  45  -608353.345212   0.666260
  46  -608353.337024   0.674448
  47  -608353.332161   0.679311
  48  -608353.327116   0.684356
  49  -608353.314764   0.696708
  50  -608353.314612   0.696860
  51  -608353.309938   0.701534
  52  -608353.30482   0.706652
  53  -608353.297481   0.713991
  54  -608353.288499   0.722973
  55  -608353.285992   0.725480
  56  -608353.281456   0.730016
  57  -608353.280631   0.730841
  58  -608353.269509   0.741963
  59  -608353.268116   0.743356
  60  -608353.265694   0.745778
  61  -608353.26538   0.746092
  62  -608353.259379   0.752093
  63  -608353.254367   0.757105
  64  -608353.247511   0.763961
  65  -608353.233117   0.778355
  66  -608353.232495   0.778977
  67  -608353.231214   0.780258
  68  -608353.213876   0.797596
  69  -608353.211262   0.800210
  70  -608353.179776   0.831696
  71  -608353.17578   0.835692
  72  -608353.175777   0.835695
  73  -608353.170899   0.840573
  74  -608353.158766   0.852706
  75  -608353.149785   0.861687
  76  -608353.141207   0.870265
  77  -608353.13208   0.879392
  78  -608353.128088   0.883384
  79  -608353.11691   0.894562
  80  -608353.114215   0.897257
  81  -608353.112684   0.898788
  82  -608353.103812   0.907660
  83  -608353.095784   0.915688
  84  -608353.078313   0.933159
  85  -608353.075073   0.936399
  86  -608353.067935   0.943537
  87  -608353.064437   0.947035
  88  -608353.057889   0.953583
  89  -608353.054251   0.957221
  90  -608352.982231   1.029241
  91  -608352.971428   1.040044
  92  -608352.970904   1.040568
  93  -608352.969127   1.042345
  94  -608352.939555   1.071917
  95  -608352.904621   1.106851
  96  -608352.90243   1.109042
  97  -608352.893814   1.117658
  98  -608352.879779   1.131693
  99  -608352.875916   1.135556
 100  -608352.873809   1.137663
 101  -608352.870737   1.140735
 102  -608352.869699   1.141773
 103  -608352.868157   1.143315
 104  -608352.859961   1.151511
 105  -608352.858543   1.152929
 106  -608352.8484   1.163072
 107  -608352.837509   1.173963
 108  -608352.835238   1.176234
 109  -608352.830309   1.181163
 110  -608352.824198   1.187274
 111  -608352.823705   1.187767
 112  -608352.817387   1.194085
 113  -608352.814056   1.197416
 114  -608352.811328   1.200144
 115  -608352.808273   1.203199
 116  -608352.806057   1.205415
 117  -608352.805428   1.206044
 118  -608352.805401   1.206071
 119  -608352.804225   1.207247
 120  -608352.802305   1.209167
 121  -608352.800414   1.211058
 122  -608352.799648   1.211824
 123  -608352.797512   1.213960
 124  -608352.796273   1.215199
 125  -608352.794467   1.217005
 126  -608352.791155   1.220317
 127  -608352.786997   1.224475
 128  -608352.784409   1.227063
 129  -608352.780276   1.231196
 130  -608352.777686   1.233786
 131  -608352.777195   1.234277
 132  -608352.774314   1.237158
 133  -608352.769411   1.242061
 134  -608352.76691   1.244562
 135  -608352.765674   1.245798
 136  -608352.763687   1.247785
 137  -608352.762789   1.248683
 138  -608352.758162   1.253310
 139  -608352.757211   1.254261
 140  -608352.756923   1.254549
 141  -608352.756739   1.254733
 142  -608352.755181   1.256291
 143  -608352.75383   1.257642
 144  -608352.752304   1.259168
 145  -608352.749871   1.261601
 146  -608352.749743   1.261729
 147  -608352.748099   1.263373
 148  -608352.745022   1.266450
 149  -608352.743801   1.267671
 150  -608352.734381   1.277091
 151  -608352.733156   1.278316
 152  -608352.731719   1.279753
 153  -608352.730956   1.280516
 154  -608352.730652   1.280820
 155  -608352.726848   1.284624
 156  -608352.724387   1.287085
 157  -608352.722273   1.289199
 158  -608352.72198   1.289492
 159  -608352.721229   1.290243
 160  -608352.718695   1.292777
 161  -608352.713434   1.298038
 162  -608352.709959   1.301513
 163  -608352.70848   1.302992
 164  -608352.705082   1.306390
 165  -608352.70384   1.307632
 166  -608352.703633   1.307839
 167  -608352.702633   1.308839
 168  -608352.698445   1.313027
 169  -608352.69642   1.315052
 170  -608352.692909   1.318563
 171  -608352.684427   1.327045
 172  -608352.682873   1.328599
 173  -608352.678948   1.332524
 174  -608352.678256   1.333216
 175  -608352.67082   1.340652
 176  -608352.667797   1.343675
 177  -608352.665889   1.345583
 178  -608352.665262   1.346210
 179  -608352.663453   1.348019
 180  -608352.663363   1.348109
 181  -608352.662838   1.348634
 182  -608352.66217   1.349302
 183  -608352.659177   1.352295
 184  -608352.6566   1.354872
 185  -608352.65362   1.357852
 186  -608352.648617   1.362855
 187  -608352.646173   1.365299
 188  -608352.643846   1.367626
 189  -608352.639288   1.372184
 190  -608352.636092   1.375380
 191  -608352.63125   1.380222
 192  -608352.628938   1.382534
 193  -608352.617623   1.393849
 194  -608352.61509   1.396382
 195  -608352.608866   1.402606
 196  -608352.607193   1.404279
 197  -608352.605702   1.405770
 198  -608352.604893   1.406579
 199  -608352.604339   1.407133
 200  -608352.585917   1.425555
 201  -608352.574926   1.436546
 202  -608352.567542   1.443930
 203  -608352.566897   1.444575
 204  -608352.565977   1.445495
 205  -608352.564478   1.446994
 206  -608352.563875   1.447597
 207  -608352.561895   1.449577
 208  -608352.556991   1.454481
 209  -608352.556326   1.455146
 210  -608352.552069   1.459403
 211  -608352.546361   1.465111
 212  -608352.543257   1.468215
 213  -608352.533389   1.478083
 214  -608352.532525   1.478947
 215  -608352.523484   1.487988
 216  -608352.509194   1.502278
 217  -608352.49592   1.515552
 218  -608352.47476   1.536712
 219  -608352.450851   1.560621
 220  -608352.447344   1.564128
 221  -608352.44706   1.564412
 222  -608352.412445   1.599027
 223  -608352.390638   1.620834
 224  -608352.386197   1.625275
 225  -608352.379928   1.631544
 226  -608352.377359   1.634113
 227  -608352.359933   1.651539
 228  -608352.327193   1.684279
 229  -608352.31113   1.700342
 230  -608352.3021   1.709372
 231  -608352.295735   1.715737
 232  -608352.288134   1.723338
 233  -608352.265496   1.745976
 234  -608352.247172   1.764300
 235  -608352.241645   1.769827
 236  -608352.235989   1.775483
 237  -608352.229729   1.781743
 238  -608352.222174   1.789298
 239  -608352.21968   1.791792
 240  -608352.217933   1.793539
 241  -608352.21237   1.799102
 242  -608352.209478   1.801994
 243  -608352.203213   1.808259
 244  -608352.200532   1.810940
 245  -608352.200197   1.811275
 246  -608352.199994   1.811478
 247  -608352.19689   1.814582
 248  -608352.195826   1.815646
 249  -608352.185176   1.826296
 250  -608352.184753   1.826719
 251  -608352.180696   1.830776
 252  -608352.179874   1.831598
 253  -608352.179485   1.831987
 254  -608352.168466   1.843006
 255  -608352.156523   1.854949
 256  -608352.151722   1.859750
 257  -608352.149866   1.861606
 258  -608352.146529   1.864943
 259  -608352.145831   1.865641
 260  -608352.144796   1.866676
 261  -608352.141115   1.870357
 262  -608352.140619   1.870853
 263  -608352.12857   1.882902
