# Relative energy hierarchy for Ac-Lys-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -105401.404165   0.000000
   2  -105401.382215   0.021950
   3  -105401.338374   0.065791
   4  -105401.332382   0.071783
   5  -105401.294724   0.109441
   6  -105401.291072   0.113093
   7  -105401.289734   0.114431
   8  -105401.28956   0.114605
   9  -105401.286325   0.117840
  10  -105401.267369   0.136796
  11  -105401.248902   0.155263
  12  -105401.215392   0.188773
  13  -105401.194516   0.209649
  14  -105401.193139   0.211026
  15  -105401.190353   0.213812
  16  -105401.172585   0.231580
  17  -105401.169815   0.234350
  18  -105401.167794   0.236371
  19  -105401.156734   0.247431
  20  -105401.151579   0.252586
  21  -105401.125211   0.278954
  22  -105401.121695   0.282470
  23  -105401.119994   0.284171
  24  -105401.118089   0.286076
  25  -105401.102797   0.301368
  26  -105401.099481   0.304684
  27  -105401.097507   0.306658
  28  -105401.09341   0.310755
  29  -105401.046979   0.357186
  30  -105401.03518   0.368985
  31  -105401.03122   0.372945
  32  -105401.028909   0.375256
  33  -105401.013956   0.390209
  34  -105400.98494   0.419225
  35  -105400.970618   0.433547
  36  -105400.791865   0.612300
  37  -105400.791651   0.612514
  38  -105400.778975   0.625190
  39  -105400.773726   0.630439
  40  -105400.769829   0.634336
  41  -105400.76477   0.639395
  42  -105400.756299   0.647866
  43  -105400.750107   0.654058
  44  -105400.739947   0.664218
  45  -105400.739053   0.665112
  46  -105400.717316   0.686849
  47  -105400.714906   0.689259
  48  -105400.707517   0.696648
  49  -105400.699405   0.704760
  50  -105400.697589   0.706576
  51  -105400.695813   0.708352
  52  -105400.695356   0.708809
  53  -105400.685013   0.719152
  54  -105400.684958   0.719207
  55  -105400.680413   0.723752
  56  -105400.67981   0.724355
  57  -105400.675279   0.728886
  58  -105400.674119   0.730046
  59  -105400.656346   0.747819
  60  -105400.654235   0.749930
  61  -105400.652944   0.751221
  62  -105400.650419   0.753746
  63  -105400.645848   0.758317
  64  -105400.642667   0.761498
  65  -105400.620427   0.783738
  66  -105400.617698   0.786467
  67  -105400.617221   0.786944
  68  -105400.614804   0.789361
  69  -105400.606807   0.797358
  70  -105400.606582   0.797583
  71  -105400.605136   0.799029
  72  -105400.60346   0.800705
  73  -105400.594707   0.809458
  74  -105400.58309   0.821075
  75  -105400.568638   0.835527
  76  -105400.565025   0.839140
  77  -105400.530559   0.873606
  78  -105400.522551   0.881614
  79  -105400.505024   0.899141
  80  -105400.492185   0.911980
  81  -105400.491654   0.912511
  82  -105400.427261   0.976904
  83  -105400.427166   0.976999
  84  -105400.425328   0.978837
  85  -105400.420424   0.983741
  86  -105400.419547   0.984618
  87  -105400.411832   0.992333
  88  -105400.388922   1.015243
  89  -105400.387597   1.016568
  90  -105400.376859   1.027306
  91  -105400.361484   1.042681
  92  -105400.360362   1.043803
  93  -105400.350105   1.054060
  94  -105400.347097   1.057068
  95  -105400.339486   1.064679
  96  -105400.336568   1.067597
  97  -105400.332429   1.071736
  98  -105400.331365   1.072800
  99  -105400.324142   1.080023
 100  -105400.322871   1.081294
 101  -105400.317694   1.086471
 102  -105400.315291   1.088874
 103  -105400.297309   1.106856
 104  -105400.291572   1.112593
 105  -105400.290253   1.113912
 106  -105400.289276   1.114889
 107  -105400.282625   1.121540
 108  -105400.276125   1.128040
 109  -105400.268981   1.135184
 110  -105400.268424   1.135741
 111  -105400.259928   1.144237
 112  -105400.257992   1.146173
 113  -105400.256893   1.147272
 114  -105400.255483   1.148682
 115  -105400.253551   1.150614
 116  -105400.253137   1.151028
 117  -105400.250038   1.154127
 118  -105400.247415   1.156750
 119  -105400.243381   1.160784
 120  -105400.237015   1.167150
 121  -105400.228553   1.175612
 122  -105400.228202   1.175963
 123  -105400.226888   1.177277
 124  -105400.221276   1.182889
 125  -105400.220511   1.183654
 126  -105400.219388   1.184777
 127  -105400.219126   1.185039
 128  -105400.218439   1.185726
 129  -105400.217304   1.186861
 130  -105400.21554   1.188625
 131  -105400.213505   1.190660
 132  -105400.20893   1.195235
 133  -105400.207373   1.196792
 134  -105400.20523   1.198935
 135  -105400.203779   1.200386
 136  -105400.201745   1.202420
 137  -105400.199266   1.204899
 138  -105400.198929   1.205236
 139  -105400.192423   1.211742
 140  -105400.192236   1.211929
 141  -105400.191321   1.212844
 142  -105400.18209   1.222075
 143  -105400.176123   1.228042
 144  -105400.168273   1.235892
 145  -105400.168214   1.235951
 146  -105400.167586   1.236579
 147  -105400.166279   1.237886
 148  -105400.160041   1.244124
 149  -105400.15809   1.246075
 150  -105400.15309   1.251075
 151  -105400.153055   1.251110
 152  -105400.151895   1.252270
 153  -105400.149186   1.254979
 154  -105400.148845   1.255320
 155  -105400.143452   1.260713
 156  -105400.142433   1.261732
 157  -105400.141524   1.262641
 158  -105400.140089   1.264076
 159  -105400.137816   1.266349
 160  -105400.137745   1.266420
 161  -105400.129619   1.274546
 162  -105400.126945   1.277220
 163  -105400.125658   1.278507
 164  -105400.12503   1.279135
 165  -105400.1249   1.279265
 166  -105400.121909   1.282256
 167  -105400.121478   1.282687
 168  -105400.121371   1.282794
 169  -105400.121192   1.282973
 170  -105400.117412   1.286753
 171  -105400.116128   1.288037
 172  -105400.113972   1.290193
 173  -105400.113361   1.290804
 174  -105400.109415   1.294750
 175  -105400.108284   1.295881
 176  -105400.105376   1.298789
 177  -105400.10377   1.300395
 178  -105400.103626   1.300539
 179  -105400.102796   1.301369
 180  -105400.098578   1.305587
 181  -105400.096183   1.307982
 182  -105400.093277   1.310888
 183  -105400.087548   1.316617
 184  -105400.083627   1.320538
 185  -105400.079155   1.325010
 186  -105400.077608   1.326557
 187  -105400.076378   1.327787
 188  -105400.075835   1.328330
 189  -105400.075487   1.328678
 190  -105400.072804   1.331361
 191  -105400.07156   1.332605
 192  -105400.071152   1.333013
 193  -105400.065891   1.338274
 194  -105400.064679   1.339486
 195  -105400.061795   1.342370
 196  -105400.058775   1.345390
 197  -105400.05684   1.347325
 198  -105400.055317   1.348848
 199  -105400.052256   1.351909
 200  -105400.052009   1.352156
 201  -105400.043713   1.360452
 202  -105400.040431   1.363734
 203  -105400.037052   1.367113
 204  -105400.033844   1.370321
 205  -105400.032505   1.371660
 206  -105400.030224   1.373941
 207  -105400.028147   1.376018
 208  -105400.026934   1.377231
 209  -105400.024205   1.379960
 210  -105400.023975   1.380190
 211  -105400.023069   1.381096
 212  -105400.022062   1.382103
 213  -105400.020318   1.383847
 214  -105400.019786   1.384379
 215  -105400.019231   1.384934
 216  -105400.016981   1.387184
 217  -105400.003911   1.400254
 218  -105399.991401   1.412764
 219  -105399.990586   1.413579
 220  -105399.989127   1.415038
 221  -105399.985616   1.418549
 222  -105399.977406   1.426759
 223  -105399.963345   1.440820
 224  -105399.960909   1.443256
 225  -105399.95729   1.446875
 226  -105399.951275   1.452890
 227  -105399.943749   1.460416
 228  -105399.940851   1.463314
 229  -105399.933895   1.470270
 230  -105399.933717   1.470448
 231  -105399.926509   1.477656
 232  -105399.92643   1.477735
 233  -105399.924016   1.480149
 234  -105399.910227   1.493938
 235  -105399.85887   1.545295
 236  -105399.845626   1.558539
 237  -105399.835505   1.568660
 238  -105399.827121   1.577044
 239  -105399.821491   1.582674
 240  -105399.818179   1.585986
 241  -105399.81569   1.588475
 242  -105399.80553   1.598635
 243  -105399.805197   1.598968
 244  -105399.794957   1.609208
 245  -105399.784613   1.619552
 246  -105399.78168   1.622485
 247  -105399.752966   1.651199
 248  -105399.752201   1.651964
 249  -105399.741479   1.662686
 250  -105399.729682   1.674483
 251  -105399.725119   1.679046
 252  -105399.72055   1.683615
 253  -105399.70871   1.695455
 254  -105399.706144   1.698021
 255  -105399.701159   1.703006
 256  -105399.698471   1.705694
 257  -105399.69284   1.711325
 258  -105399.670509   1.733656
 259  -105399.666191   1.737974
 260  -105399.65896   1.745205
 261  -105399.642711   1.761454
 262  -105399.642674   1.761491
 263  -105399.638511   1.765654
 264  -105399.633284   1.770881
 265  -105399.630167   1.773998
 266  -105399.619331   1.784834
 267  -105399.617909   1.786256
 268  -105399.603377   1.800788
 269  -105399.598328   1.805837
 270  -105399.59741   1.806755
 271  -105399.59343   1.810735
 272  -105399.592618   1.811547
 273  -105399.592285   1.811880
 274  -105399.586736   1.817429
 275  -105399.582653   1.821512
 276  -105399.578757   1.825408
 277  -105399.572032   1.832133
 278  -105399.57146   1.832705
 279  -105399.560551   1.843614
 280  -105399.560249   1.843916
 281  -105399.558278   1.845887
 282  -105399.555583   1.848582
 283  -105399.546111   1.858054
 284  -105399.535824   1.868341
 285  -105399.516991   1.887174
 286  -105399.515713   1.888452
 287  -105399.514022   1.890143
 288  -105399.507951   1.896214
 289  -105399.504895   1.899270
 290  -105399.502487   1.901678
 291  -105399.500885   1.903280
 292  -105399.496003   1.908162
 293  -105399.49452   1.909645
 294  -105399.492165   1.912000
 295  -105399.490491   1.913674
 296  -105399.478213   1.925952
 297  -105399.475426   1.928739
 298  -105399.475031   1.929134
 299  -105399.473756   1.930409
 300  -105399.472649   1.931516
 301  -105399.465243   1.938922
 302  -105399.463441   1.940724
 303  -105399.463336   1.940829
 304  -105399.4631   1.941065
 305  -105399.462666   1.941499
 306  -105399.45375   1.950415
 307  -105399.451548   1.952617
 308  -105399.442808   1.961357
 309  -105399.442335   1.961830
 310  -105399.435953   1.968212
 311  -105399.432972   1.971193
 312  -105399.428655   1.975510
 313  -105399.426068   1.978097
 314  -105399.424284   1.979881
 315  -105399.419535   1.984630
 316  -105399.417541   1.986624
 317  -105399.416537   1.987628
 318  -105399.413978   1.990187
 319  -105399.410395   1.993770
 320  -105399.407465   1.996700
 321  -105399.379392   2.024773
 322  -105399.375956   2.028209
 323  -105399.368776   2.035389
 324  -105399.362042   2.042123
 325  -105399.361105   2.043060
 326  -105399.359272   2.044893
 327  -105399.352318   2.051847
 328  -105399.314419   2.089746
 329  -105399.311817   2.092348
 330  -105399.309344   2.094821
 331  -105399.308352   2.095813
 332  -105399.284945   2.119220
 333  -105399.282866   2.121299
 334  -105399.129755   2.274410
 335  -105399.076191   2.327974
 336  -105398.989036   2.415129
 337  -105398.97775   2.426415
 338  -105398.946484   2.457681
 339  -105398.935615   2.468550
 340  -105398.908247   2.495918
 341  -105398.90114   2.503025
 342  -105398.858506   2.545659
 343  -105398.85539   2.548775
 344  -105398.799921   2.604244
 345  -105398.78453   2.619635
 346  -105398.776922   2.627243
 347  -105398.767499   2.636666
 348  -105398.765141   2.639024
 349  -105398.745151   2.659014
 350  -105398.740632   2.663533
 351  -105398.73717   2.666995
 352  -105398.73707   2.667095
 353  -105398.731145   2.673020
 354  -105398.721955   2.682210
 355  -105398.718293   2.685872
 356  -105398.715817   2.688348
 357  -105398.713672   2.690493
 358  -105398.712357   2.691808
 359  -105398.701857   2.702308
 360  -105398.695131   2.709034
 361  -105398.694882   2.709283
 362  -105398.67892   2.725245
 363  -105398.6782   2.725965
 364  -105398.676953   2.727212
 365  -105398.67667   2.727495
 366  -105398.673671   2.730494
 367  -105398.668587   2.735578
 368  -105398.663016   2.741149
 369  -105398.660711   2.743454
 370  -105398.657532   2.746633
 371  -105398.656367   2.747798
 372  -105398.649237   2.754928
 373  -105398.649235   2.754930
 374  -105398.647136   2.757029
 375  -105398.642772   2.761393
 376  -105398.628576   2.775589
 377  -105398.622106   2.782059
