# Relative energy hierarchy for Ac-Lys-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -18209.7916318   0.000000
   2  -18209.7607314   0.030900
   3  -18209.7599151   0.031717
   4  -18209.7409885   0.050643
   5  -18209.7159693   0.075662
   6  -18209.711442   0.080190
   7  -18209.7086985   0.082933
   8  -18209.7062823   0.085349
   9  -18209.6998111   0.091821
  10  -18209.6943888   0.097243
  11  -18209.6903984   0.101233
  12  -18209.6892073   0.102424
  13  -18209.6815474   0.110084
  14  -18209.6452281   0.146404
  15  -18209.6450573   0.146574
  16  -18209.6433242   0.148308
  17  -18209.6416128   0.150019
  18  -18209.6412243   0.150407
  19  -18209.6407779   0.150854
  20  -18209.6394442   0.152188
  21  -18209.6386625   0.152969
  22  -18209.6319006   0.159731
  23  -18209.6315869   0.160045
  24  -18209.6313177   0.160314
  25  -18209.6303287   0.161303
  26  -18209.6208972   0.170735
  27  -18209.6208913   0.170740
  28  -18209.6199916   0.171640
  29  -18209.6150215   0.176610
  30  -18209.6133294   0.178302
  31  -18209.6119504   0.179681
  32  -18209.611766   0.179866
  33  -18209.6105585   0.181073
  34  -18209.6071523   0.184479
  35  -18209.603333   0.188299
  36  -18209.6015249   0.190107
  37  -18209.5988712   0.192761
  38  -18209.5986277   0.193004
  39  -18209.5957592   0.195873
  40  -18209.59433   0.197302
  41  -18209.5906666   0.200965
  42  -18209.5875143   0.204117
  43  -18209.5866634   0.204968
  44  -18209.5858936   0.205738
  45  -18209.5835049   0.208127
  46  -18209.5831663   0.208465
  47  -18209.5819934   0.209638
  48  -18209.5813214   0.210310
  49  -18209.5808782   0.210754
  50  -18209.5803428   0.211289
  51  -18209.5773654   0.214266
  52  -18209.5771631   0.214469
  53  -18209.5762016   0.215430
  54  -18209.5752054   0.216426
  55  -18209.574967   0.216665
  56  -18209.574477   0.217155
  57  -18209.5721815   0.219450
  58  -18209.5720068   0.219625
  59  -18209.5701581   0.221474
  60  -18209.5675338   0.224098
  61  -18209.5661799   0.225452
  62  -18209.5661721   0.225460
  63  -18209.5657079   0.225924
  64  -18209.5654656   0.226166
  65  -18209.5643906   0.227241
