# Relative energy hierarchy for Lys conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -238664.761451   0.000000
   2  -238664.739831   0.021620
   3  -238664.732682   0.028769
   4  -238664.725726   0.035725
   5  -238664.725451   0.036000
   6  -238664.711359   0.050092
   7  -238664.699952   0.061499
   8  -238664.694871   0.066580
   9  -238664.680972   0.080479
  10  -238664.655931   0.105520
  11  -238664.640193   0.121258
  12  -238664.636359   0.125092
  13  -238664.635403   0.126048
  14  -238664.633596   0.127855
  15  -238664.624958   0.136493
  16  -238664.621973   0.139478
  17  -238664.619858   0.141593
  18  -238664.617775   0.143676
  19  -238664.61733   0.144121
  20  -238664.612758   0.148693
  21  -238664.612461   0.148990
  22  -238664.555189   0.206262
  23  -238664.53225   0.229201
  24  -238664.511935   0.249516
  25  -238664.48763   0.273821
  26  -238664.484621   0.276830
  27  -238664.467962   0.293489
  28  -238664.459364   0.302087
  29  -238664.454179   0.307272
  30  -238664.450712   0.310739
  31  -238664.441075   0.320376
  32  -238664.430708   0.330743
  33  -238664.430205   0.331246
  34  -238664.429709   0.331742
  35  -238664.418916   0.342535
  36  -238664.418746   0.342705
  37  -238664.418481   0.342970
  38  -238664.413159   0.348292
  39  -238664.410864   0.350587
  40  -238664.40049   0.360961
  41  -238664.396307   0.365144
  42  -238664.367496   0.393955
  43  -238664.357703   0.403748
  44  -238664.347969   0.413482
  45  -238664.340917   0.420534
  46  -238664.336194   0.425257
  47  -238664.335578   0.425873
  48  -238664.329366   0.432085
  49  -238664.325421   0.436030
  50  -238664.325143   0.436308
  51  -238664.316182   0.445269
  52  -238664.313412   0.448039
  53  -238664.310079   0.451372
  54  -238664.30922   0.452231
  55  -238664.309093   0.452358
  56  -238664.302828   0.458623
  57  -238664.297606   0.463845
  58  -238664.297523   0.463928
  59  -238664.293771   0.467680
  60  -238664.291237   0.470214
  61  -238664.29035   0.471101
  62  -238664.287929   0.473522
  63  -238664.287804   0.473647
  64  -238664.283546   0.477905
  65  -238664.279403   0.482048
  66  -238664.278827   0.482624
  67  -238664.273809   0.487642
  68  -238664.272704   0.488747
  69  -238664.266267   0.495184
  70  -238664.25662   0.504831
  71  -238664.246903   0.514548
  72  -238664.242808   0.518643
  73  -238664.236149   0.525302
  74  -238664.231422   0.530029
  75  -238664.227997   0.533454
  76  -238664.226195   0.535256
  77  -238664.224613   0.536838
  78  -238664.223134   0.538317
  79  -238664.220341   0.541110
  80  -238664.212032   0.549419
  81  -238664.206736   0.554715
  82  -238664.206096   0.555355
  83  -238664.205773   0.555678
  84  -238664.199064   0.562387
  85  -238664.197137   0.564314
  86  -238664.191819   0.569632
  87  -238664.183704   0.577747
  88  -238664.183226   0.578225
  89  -238664.164707   0.596744
  90  -238664.143243   0.618208
  91  -238664.142631   0.618820
  92  -238664.139257   0.622194
  93  -238664.136527   0.624924
  94  -238664.131889   0.629562
  95  -238664.127578   0.633873
  96  -238664.104971   0.656480
  97  -238664.056774   0.704677
  98  -238663.994532   0.766919
  99  -238663.992004   0.769447
 100  -238663.731574   1.029877
 101  -238663.713022   1.048429
 102  -238663.70833   1.053121
 103  -238663.704392   1.057059
 104  -238663.700998   1.060453
 105  -238663.691487   1.069964
 106  -238663.662563   1.098888
 107  -238663.660301   1.101150
 108  -238663.638868   1.122583
 109  -238663.621493   1.139958
 110  -238663.615829   1.145622
 111  -238663.612812   1.148639
 112  -238663.568371   1.193080
 113  -238663.544503   1.216948
 114  -238663.541126   1.220325
 115  -238663.534634   1.226817
 116  -238663.525171   1.236280
 117  -238663.516308   1.245143
 118  -238663.507526   1.253925
 119  -238663.493565   1.267886
 120  -238663.485121   1.276330
 121  -238663.464625   1.296826
 122  -238663.447145   1.314306
 123  -238663.431961   1.329490
 124  -238663.429825   1.331626
 125  -238663.422995   1.338456
 126  -238663.322452   1.438999
 127  -238663.293509   1.467942
 128  -238663.2694   1.492051
 129  -238663.155027   1.606424
 130  -238663.138157   1.623294
 131  -238663.072803   1.688648
 132  -238663.0567   1.704751
 133  -238663.055284   1.706167
 134  -238663.052003   1.709448
 135  -238663.049157   1.712294
 136  -238663.039373   1.722078
 137  -238663.030016   1.731435
 138  -238663.027859   1.733592
 139  -238663.025687   1.735764
 140  -238663.024757   1.736694
 141  -238663.01316   1.748291
 142  -238663.001211   1.760240
 143  -238662.990424   1.771027
 144  -238662.989517   1.771934
 145  -238662.953736   1.807715
 146  -238662.945948   1.815503
 147  -238662.945489   1.815962
 148  -238662.942518   1.818933
 149  -238662.93464   1.826811
 150  -238662.924552   1.836899
 151  -238662.914586   1.846865
 152  -238662.90271   1.858741
 153  -238662.901811   1.859640
 154  -238662.882659   1.878792
 155  -238662.881199   1.880252
 156  -238662.876456   1.884995
 157  -238662.876399   1.885052
 158  -238662.872302   1.889149
 159  -238662.86834   1.893111
 160  -238662.867965   1.893486
 161  -238662.863806   1.897645
 162  -238662.860949   1.900502
 163  -238662.853725   1.907726
 164  -238662.844613   1.916838
 165  -238662.840001   1.921450
 166  -238662.584766   2.176685
 167  -238662.512515   2.248936
