# Relative energy hierarchy for Lys conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -167646.053156   0.000000
   2  -167646.044208   0.008948
   3  -167646.036252   0.016904
   4  -167646.018483   0.034673
   5  -167646.002702   0.050454
   6  -167645.986983   0.066173
   7  -167645.983458   0.069698
   8  -167645.962259   0.090897
   9  -167645.923362   0.129794
  10  -167645.899228   0.153928
  11  -167645.753534   0.299622
  12  -167645.732598   0.320558
  13  -167645.72596   0.327196
  14  -167645.667992   0.385164
  15  -167645.667583   0.385573
  16  -167645.661091   0.392065
  17  -167645.658081   0.395075
  18  -167645.64487   0.408286
  19  -167645.642611   0.410545
  20  -167645.642051   0.411105
  21  -167645.621254   0.431902
  22  -167645.619648   0.433508
  23  -167645.617408   0.435748
  24  -167645.599593   0.453563
  25  -167645.595706   0.457450
  26  -167645.588918   0.464238
  27  -167645.58822   0.464936
  28  -167645.582164   0.470992
  29  -167645.572037   0.481119
  30  -167645.570779   0.482377
  31  -167645.556495   0.496661
  32  -167645.556181   0.496975
  33  -167645.545488   0.507668
  34  -167645.544758   0.508398
  35  -167645.544346   0.508810
  36  -167645.537474   0.515682
  37  -167645.528567   0.524589
  38  -167645.520254   0.532902
  39  -167645.518244   0.534912
  40  -167645.516301   0.536855
  41  -167645.513919   0.539237
  42  -167645.510177   0.542979
  43  -167645.507734   0.545422
  44  -167645.500748   0.552408
  45  -167645.499424   0.553732
  46  -167645.494951   0.558205
  47  -167645.491542   0.561614
  48  -167645.489753   0.563403
  49  -167645.48584   0.567316
  50  -167645.484514   0.568642
  51  -167645.470457   0.582699
  52  -167645.469962   0.583194
  53  -167645.467723   0.585433
  54  -167645.464969   0.588187
  55  -167645.457929   0.595227
  56  -167645.452874   0.600282
  57  -167645.430456   0.622700
  58  -167645.41874   0.634416
  59  -167645.418464   0.634692
  60  -167645.417093   0.636063
  61  -167645.41614   0.637016
  62  -167645.394881   0.658275
  63  -167645.382872   0.670284
  64  -167645.380859   0.672297
  65  -167645.380427   0.672729
  66  -167645.377633   0.675523
  67  -167645.322339   0.730817
  68  -167645.318208   0.734948
  69  -167645.122897   0.930259
  70  -167644.865735   1.187421
  71  -167644.83021   1.222946
  72  -167644.791746   1.261410
  73  -167644.783543   1.269613
  74  -167644.767226   1.285930
  75  -167644.759184   1.293972
  76  -167644.75582   1.297336
  77  -167644.755507   1.297649
  78  -167644.753334   1.299822
  79  -167644.748232   1.304924
  80  -167644.742644   1.310512
  81  -167644.741799   1.311357
  82  -167644.732938   1.320218
  83  -167644.721022   1.332134
  84  -167644.716712   1.336444
  85  -167644.707802   1.345354
  86  -167644.707745   1.345411
  87  -167644.707186   1.345970
  88  -167644.70493   1.348226
  89  -167644.70229   1.350866
  90  -167644.688254   1.364902
  91  -167644.68404   1.369116
  92  -167644.679299   1.373857
  93  -167644.679289   1.373867
  94  -167644.671295   1.381861
  95  -167644.651204   1.401952
  96  -167644.619744   1.433412
  97  -167644.609664   1.443492
  98  -167644.395308   1.657848
  99  -167644.377621   1.675535
 100  -167644.369249   1.683907
 101  -167644.363048   1.690108
 102  -167644.354306   1.698850
 103  -167644.335336   1.717820
 104  -167644.328327   1.724829
 105  -167644.295886   1.757270
 106  -167644.291711   1.761445
 107  -167644.289959   1.763197
 108  -167644.288112   1.765044
 109  -167644.280172   1.772984
 110  -167644.279994   1.773162
 111  -167644.279731   1.773425
 112  -167644.278766   1.774390
 113  -167644.262731   1.790425
 114  -167644.259013   1.794143
 115  -167644.251715   1.801441
 116  -167644.244071   1.809085
 117  -167644.236991   1.816165
 118  -167644.235818   1.817338
 119  -167644.235444   1.817712
 120  -167644.228609   1.824547
 121  -167644.225748   1.827408
 122  -167644.217589   1.835567
 123  -167644.200769   1.852387
 124  -167644.193563   1.859593
 125  -167644.179504   1.873652
 126  -167643.985102   2.068054
 127  -167643.962614   2.090542
 128  -167643.960685   2.092471
 129  -167643.866369   2.186787
