# Relative energy hierarchy for Lys conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -566924.833233   0.000000
   2  -566924.820823   0.012410
   3  -566924.816401   0.016832
   4  -566924.815789   0.017444
   5  -566924.784246   0.048987
   6  -566924.768001   0.065232
   7  -566924.74012   0.093113
   8  -566924.695354   0.137879
   9  -566924.635206   0.198027
  10  -566924.61632   0.216913
  11  -566924.581756   0.251477
  12  -566924.553764   0.279469
  13  -566924.465436   0.367797
  14  -566924.344953   0.488280
  15  -566924.312527   0.520706
  16  -566924.28247   0.550763
  17  -566924.253519   0.579714
  18  -566924.251001   0.582232
  19  -566924.241989   0.591244
  20  -566924.238272   0.594961
  21  -566924.230111   0.603122
  22  -566924.219634   0.613599
  23  -566924.194211   0.639022
  24  -566924.191569   0.641664
  25  -566924.153663   0.679570
  26  -566924.14429   0.688943
  27  -566924.139318   0.693915
  28  -566924.040597   0.792636
  29  -566923.959486   0.873747
  30  -566923.941771   0.891462
  31  -566923.915535   0.917698
  32  -566923.877717   0.955516
  33  -566923.876268   0.956965
  34  -566923.816663   1.016570
  35  -566923.793726   1.039507
  36  -566923.792548   1.040685
  37  -566923.792102   1.041131
  38  -566923.79165   1.041583
  39  -566923.784446   1.048787
  40  -566923.78318   1.050053
  41  -566923.760022   1.073211
  42  -566923.75351   1.079723
  43  -566923.745754   1.087479
  44  -566923.739689   1.093544
  45  -566923.723317   1.109916
  46  -566923.71562   1.117613
  47  -566923.691289   1.141944
  48  -566923.689004   1.144229
  49  -566923.682361   1.150872
  50  -566923.680876   1.152357
  51  -566923.673132   1.160101
  52  -566923.626891   1.206342
  53  -566923.622697   1.210536
  54  -566923.61401   1.219223
  55  -566923.573498   1.259735
  56  -566923.492276   1.340957
  57  -566923.477925   1.355308
  58  -566923.475307   1.357926
  59  -566923.463353   1.369880
  60  -566923.457245   1.375988
  61  -566923.454685   1.378548
  62  -566923.454596   1.378637
  63  -566923.438351   1.394882
  64  -566923.431914   1.401319
  65  -566923.413518   1.419715
  66  -566923.403725   1.429508
  67  -566923.40291   1.430323
  68  -566923.394688   1.438545
  69  -566923.346861   1.486372
  70  -566923.345004   1.488229
  71  -566923.337091   1.496142
  72  -566923.333563   1.499670
  73  -566923.331128   1.502105
  74  -566923.328467   1.504766
  75  -566923.321959   1.511274
  76  -566923.315843   1.517390
  77  -566923.311774   1.521459
  78  -566923.30971   1.523523
  79  -566923.309533   1.523700
  80  -566923.302782   1.530451
  81  -566923.296547   1.536686
  82  -566923.278293   1.554940
  83  -566923.249134   1.584099
  84  -566923.247214   1.586019
  85  -566923.221092   1.612141
  86  -566923.215856   1.617377
  87  -566923.213113   1.620120
  88  -566923.202614   1.630619
  89  -566923.193687   1.639546
  90  -566923.185689   1.647544
  91  -566923.14685   1.686383
