# Relative energy hierarchy for Lys conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -603670.434641   0.000000
   2  -603670.421617   0.013024
   3  -603670.400989   0.033652
   4  -603670.388087   0.046554
   5  -603670.383543   0.051098
   6  -603670.381164   0.053477
   7  -603670.378937   0.055704
   8  -603670.373199   0.061442
   9  -603670.370925   0.063716
  10  -603670.359583   0.075058
  11  -603670.347889   0.086752
  12  -603670.346816   0.087825
  13  -603670.344819   0.089822
  14  -603670.311109   0.123532
  15  -603670.302319   0.132322
  16  -603670.283158   0.151483
  17  -603670.259562   0.175079
  18  -603670.255298   0.179343
  19  -603670.224535   0.210106
  20  -603670.219845   0.214796
  21  -603670.215394   0.219247
  22  -603670.206614   0.228027
  23  -603670.197077   0.237564
  24  -603670.195487   0.239154
  25  -603670.194112   0.240529
  26  -603670.191681   0.242960
  27  -603670.186134   0.248507
  28  -603670.144686   0.289955
  29  -603670.134813   0.299828
  30  -603670.131179   0.303462
  31  -603670.125057   0.309584
  32  -603670.10052   0.334121
  33  -603670.086696   0.347945
  34  -603670.083534   0.351107
  35  -603670.078593   0.356048
  36  -603670.074646   0.359995
  37  -603670.071601   0.363040
  38  -603670.068393   0.366248
  39  -603670.049323   0.385318
  40  -603670.038342   0.396299
  41  -603670.036363   0.398278
  42  -603670.035874   0.398767
  43  -603670.031942   0.402699
  44  -603670.023043   0.411598
  45  -603670.022762   0.411879
  46  -603670.021614   0.413027
  47  -603670.020122   0.414519
  48  -603670.019888   0.414753
  49  -603670.018828   0.415813
  50  -603670.007473   0.427168
  51  -603669.997474   0.437167
  52  -603669.984876   0.449765
  53  -603669.984363   0.450278
  54  -603669.977108   0.457533
  55  -603669.967351   0.467290
  56  -603669.961005   0.473636
  57  -603669.955037   0.479604
  58  -603669.953251   0.481390
  59  -603669.950779   0.483862
  60  -603669.945906   0.488735
  61  -603669.942867   0.491774
  62  -603669.938509   0.496132
  63  -603669.937364   0.497277
  64  -603669.935245   0.499396
  65  -603669.930369   0.504272
  66  -603669.92553   0.509111
  67  -603669.925115   0.509526
  68  -603669.925085   0.509556
  69  -603669.923127   0.511514
  70  -603669.918976   0.515665
  71  -603669.910633   0.524008
  72  -603669.904129   0.530512
  73  -603669.902072   0.532569
  74  -603669.882014   0.552627
  75  -603669.879809   0.554832
  76  -603669.878541   0.556100
  77  -603669.876153   0.558488
  78  -603669.872123   0.562518
  79  -603669.868432   0.566209
  80  -603669.857511   0.577130
  81  -603669.856729   0.577912
  82  -603669.851465   0.583176
  83  -603669.845726   0.588915
  84  -603669.843203   0.591438
  85  -603669.836795   0.597846
  86  -603669.83543   0.599211
  87  -603669.827531   0.607110
  88  -603669.823594   0.611047
  89  -603669.814695   0.619946
  90  -603669.807527   0.627114
  91  -603669.804074   0.630567
  92  -603669.76786   0.666781
  93  -603669.764572   0.670069
  94  -603669.757423   0.677218
  95  -603669.745072   0.689569
  96  -603669.726814   0.707827
  97  -603669.726148   0.708493
  98  -603669.715545   0.719096
  99  -603669.700588   0.734053
 100  -603669.694496   0.740145
 101  -603669.676805   0.757836
 102  -603669.343144   1.091497
 103  -603669.33353   1.101111
 104  -603669.220794   1.213847
 105  -603669.16507   1.269571
 106  -603669.160119   1.274522
 107  -603669.133171   1.301470
 108  -603669.113294   1.321347
 109  -603669.112836   1.321805
 110  -603669.107852   1.326789
 111  -603669.087711   1.346930
 112  -603669.079896   1.354745
 113  -603669.077383   1.357258
 114  -603669.070653   1.363988
 115  -603669.059702   1.374939
 116  -603669.051238   1.383403
 117  -603669.051154   1.383487
 118  -603669.035033   1.399608
 119  -603669.026327   1.408314
 120  -603669.020259   1.414382
 121  -603669.012228   1.422413
 122  -603669.007372   1.427269
 123  -603668.987835   1.446806
 124  -603668.986924   1.447717
 125  -603668.975614   1.459027
 126  -603668.968635   1.466006
 127  -603668.77288   1.661761
 128  -603668.740256   1.694385
 129  -603668.718138   1.716503
 130  -603668.648036   1.786605
 131  -603668.631947   1.802694
 132  -603668.629636   1.805005
 133  -603668.629379   1.805262
 134  -603668.616699   1.817942
 135  -603668.615674   1.818967
 136  -603668.615204   1.819437
 137  -603668.613662   1.820979
 138  -603668.612137   1.822504
 139  -603668.610647   1.823994
 140  -603668.599531   1.835110
 141  -603668.59896   1.835681
 142  -603668.591062   1.843579
 143  -603668.587997   1.846644
 144  -603668.587778   1.846863
 145  -603668.587749   1.846892
 146  -603668.574516   1.860125
 147  -603668.57132   1.863321
 148  -603668.569601   1.865040
 149  -603668.540205   1.894436
 150  -603668.538487   1.896154
 151  -603668.53828   1.896361
 152  -603668.537954   1.896687
 153  -603668.537386   1.897255
 154  -603668.533035   1.901606
 155  -603668.531371   1.903270
 156  -603668.529951   1.904690
 157  -603668.525289   1.909352
 158  -603668.518544   1.916097
 159  -603668.516275   1.918366
 160  -603668.515621   1.919020
 161  -603668.514499   1.920142
 162  -603668.513091   1.921550
 163  -603668.508909   1.925732
 164  -603668.507959   1.926682
 165  -603668.507753   1.926888
 166  -603668.494511   1.940130
 167  -603667.646433   2.788208
 168  -603667.620783   2.813858
 169  -603667.61234   2.822301
 170  -603667.612211   2.822430
 171  -603667.603846   2.830795
 172  -603667.600521   2.834120
 173  -603667.597534   2.837107
 174  -603667.593972   2.840669
 175  -603667.557866   2.876775
 176  -603667.539273   2.895368
 177  -603667.539169   2.895472
