# Relative energy hierarchy for Lys conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -100717.610479   0.000000
   2  -100717.543848   0.066631
   3  -100717.540515   0.069964
   4  -100717.534153   0.076326
   5  -100717.531712   0.078767
   6  -100717.526835   0.083644
   7  -100717.526061   0.084418
   8  -100717.525862   0.084617
   9  -100717.507245   0.103234
  10  -100717.505333   0.105146
  11  -100717.496805   0.113674
  12  -100717.490808   0.119671
  13  -100717.490179   0.120300
  14  -100717.46029   0.150189
  15  -100717.453366   0.157113
  16  -100717.434479   0.176000
  17  -100717.416009   0.194470
  18  -100717.387848   0.222631
  19  -100717.384877   0.225602
  20  -100717.370103   0.240376
  21  -100717.368489   0.241990
  22  -100717.368283   0.242196
  23  -100717.361099   0.249380
  24  -100717.311482   0.298997
  25  -100717.284026   0.326453
  26  -100717.273378   0.337101
  27  -100717.255986   0.354493
  28  -100717.254663   0.355816
  29  -100717.246014   0.364465
  30  -100717.239302   0.371177
  31  -100717.238289   0.372190
  32  -100717.23358   0.376899
  33  -100717.228271   0.382208
  34  -100717.219546   0.390933
  35  -100717.21591   0.394569
  36  -100717.213367   0.397112
  37  -100717.207958   0.402521
  38  -100717.206784   0.403695
  39  -100717.206246   0.404233
  40  -100717.198824   0.411655
  41  -100717.188314   0.422165
  42  -100717.171085   0.439394
  43  -100717.166131   0.444348
  44  -100717.162173   0.448306
  45  -100717.154876   0.455603
  46  -100717.15244   0.458039
  47  -100717.148119   0.462360
  48  -100717.141356   0.469123
  49  -100717.136741   0.473738
  50  -100717.136678   0.473801
  51  -100717.134063   0.476416
  52  -100717.132212   0.478267
  53  -100717.126525   0.483954
  54  -100717.119248   0.491231
  55  -100717.102773   0.507706
  56  -100717.101957   0.508522
  57  -100717.101164   0.509315
  58  -100717.091607   0.518872
  59  -100717.087416   0.523063
  60  -100717.085026   0.525453
  61  -100717.081332   0.529147
  62  -100717.080293   0.530186
  63  -100717.076408   0.534071
  64  -100717.075644   0.534835
  65  -100717.074778   0.535701
  66  -100717.065912   0.544567
  67  -100717.064566   0.545913
  68  -100717.064497   0.545982
  69  -100717.061365   0.549114
  70  -100717.05775   0.552729
  71  -100717.057265   0.553214
  72  -100717.054235   0.556244
  73  -100717.046089   0.564390
  74  -100717.029053   0.581426
  75  -100717.025806   0.584673
  76  -100717.020572   0.589907
  77  -100717.020228   0.590251
  78  -100717.020056   0.590423
  79  -100717.014517   0.595962
  80  -100717.01134   0.599139
  81  -100717.010604   0.599875
  82  -100717.006747   0.603732
  83  -100717.003781   0.606698
  84  -100717.000393   0.610086
  85  -100716.990676   0.619803
  86  -100716.98852   0.621959
  87  -100716.986508   0.623971
  88  -100716.984474   0.626005
  89  -100716.983833   0.626646
  90  -100716.978753   0.631726
  91  -100716.977336   0.633143
  92  -100716.976581   0.633898
  93  -100716.970233   0.640246
  94  -100716.954171   0.656308
  95  -100716.93378   0.676699
  96  -100716.930176   0.680303
  97  -100716.922539   0.687940
  98  -100716.916691   0.693788
  99  -100716.915817   0.694662
 100  -100716.911809   0.698670
 101  -100716.882348   0.728131
 102  -100716.847689   0.762790
 103  -100716.45146   1.159019
 104  -100716.426268   1.184211
 105  -100716.422067   1.188412
 106  -100716.416787   1.193692
 107  -100716.415353   1.195126
 108  -100716.403435   1.207044
 109  -100716.374721   1.235758
 110  -100716.373537   1.236942
 111  -100716.34976   1.260719
 112  -100716.328285   1.282194
 113  -100716.32796   1.282519
 114  -100716.321022   1.289457
 115  -100716.278158   1.332321
 116  -100716.26335   1.347129
 117  -100716.248609   1.361870
 118  -100716.247048   1.363431
 119  -100716.24603   1.364449
 120  -100716.238336   1.372143
 121  -100716.228948   1.381531
 122  -100716.227783   1.382696
 123  -100716.210677   1.399802
 124  -100716.20633   1.404149
 125  -100716.170007   1.440472
 126  -100716.164754   1.445725
 127  -100716.153551   1.456928
 128  -100716.137523   1.472956
 129  -100716.044395   1.566084
 130  -100716.012059   1.598420
 131  -100715.987562   1.622917
 132  -100715.864825   1.745654
 133  -100715.847235   1.763244
 134  -100715.774897   1.835582
 135  -100715.756864   1.853615
 136  -100715.754987   1.855492
 137  -100715.752761   1.857718
 138  -100715.749583   1.860896
 139  -100715.742331   1.868148
 140  -100715.735015   1.875464
 141  -100715.729917   1.880562
 142  -100715.726637   1.883842
 143  -100715.726255   1.884224
 144  -100715.709989   1.900490
 145  -100715.698319   1.912160
 146  -100715.697121   1.913358
 147  -100715.690628   1.919851
 148  -100715.650966   1.959513
 149  -100715.650841   1.959638
 150  -100715.644337   1.966142
 151  -100715.64279   1.967689
 152  -100715.636684   1.973795
 153  -100715.624572   1.985907
 154  -100715.618508   1.991971
 155  -100715.617795   1.992684
 156  -100715.612136   1.998343
 157  -100715.596188   2.014291
 158  -100715.595211   2.015268
 159  -100715.595204   2.015275
 160  -100715.583249   2.027230
 161  -100715.58315   2.027329
 162  -100715.572977   2.037502
 163  -100715.572204   2.038275
 164  -100715.571243   2.039236
 165  -100715.568338   2.042141
 166  -100715.560395   2.050084
 167  -100715.555982   2.054497
 168  -100715.553884   2.056595
 169  -100715.128367   2.482112
 170  -100715.055566   2.554913
