# Relative energy hierarchy for Lys conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -13526.877031   0.000000
   2  -13526.870382   0.006649
   3  -13526.868811   0.008220
   4  -13526.866311   0.010720
   5  -13526.865592   0.011439
   6  -13526.851601   0.025430
   7  -13526.850936   0.026095
   8  -13526.845791   0.031240
   9  -13526.845689   0.031342
  10  -13526.845319   0.031712
  11  -13526.841607   0.035424
  12  -13526.840260   0.036771
  13  -13526.825513   0.051518
  14  -13526.816236   0.060795
  15  -13526.809517   0.067514
  16  -13526.795483   0.081548
  17  -13526.793485   0.083546
  18  -13526.792277   0.084754
  19  -13526.791277   0.085754
  20  -13526.790726   0.086305
  21  -13526.790113   0.086918
  22  -13526.782112   0.094919
  23  -13526.782102   0.094929
  24  -13526.781698   0.095333
  25  -13526.781548   0.095483
  26  -13526.780421   0.096610
  27  -13526.777711   0.099320
  28  -13526.776191   0.100840
  29  -13526.775779   0.101252
  30  -13526.774499   0.102532
  31  -13526.774188   0.102843
  32  -13526.773537   0.103494
  33  -13526.772683   0.104348
  34  -13526.771995   0.105036
  35  -13526.771745   0.105286
  36  -13526.770957   0.106074
  37  -13526.770855   0.106176
  38  -13526.770244   0.106787
  39  -13526.769516   0.107515
  40  -13526.769393   0.107638
  41  -13526.768192   0.108839
  42  -13526.767976   0.109055
  43  -13526.767771   0.109260
  44  -13526.767078   0.109953
  45  -13526.766846   0.110185
  46  -13526.766606   0.110425
  47  -13526.766258   0.110773
  48  -13526.765743   0.111288
  49  -13526.765689   0.111342
  50  -13526.764780   0.112251
  51  -13526.763259   0.113772
  52  -13526.761549   0.115482
  53  -13526.761544   0.115487
  54  -13526.760288   0.116743
  55  -13526.760042   0.116989
  56  -13526.759907   0.117124
  57  -13526.758960   0.118071
  58  -13526.758922   0.118109
  59  -13526.758850   0.118181
  60  -13526.758521   0.118510
  61  -13526.758476   0.118555
  62  -13526.757830   0.119201
  63  -13526.757794   0.119237
  64  -13526.757396   0.119635
  65  -13526.757251   0.119780
  66  -13526.756942   0.120089
  67  -13526.756270   0.120761
  68  -13526.756060   0.120971
  69  -13526.755033   0.121998
  70  -13526.754529   0.122502
  71  -13526.753972   0.123059
  72  -13526.752295   0.124736
  73  -13526.751875   0.125156
  74  -13526.751242   0.125789
  75  -13526.751025   0.126006
  76  -13526.749742   0.127289
  77  -13526.749739   0.127292
  78  -13526.748996   0.128035
  79  -13526.748936   0.128095
  80  -13526.748863   0.128168
  81  -13526.748823   0.128208
  82  -13526.747467   0.129564
  83  -13526.747215   0.129816
  84  -13526.747155   0.129876
  85  -13526.747010   0.130021
  86  -13526.746872   0.130159
  87  -13526.746095   0.130936
  88  -13526.745520   0.131511
  89  -13526.745516   0.131515
  90  -13526.745162   0.131869
  91  -13526.744730   0.132301
  92  -13526.744695   0.132336
  93  -13526.744414   0.132617
  94  -13526.744011   0.133020
  95  -13526.743685   0.133346
  96  -13526.743595   0.133436
  97  -13526.743066   0.133965
  98  -13526.741737   0.135294
  99  -13526.741582   0.135449
 100  -13526.740225   0.136806
 101  -13526.740189   0.136842
 102  -13526.739328   0.137703
 103  -13526.738455   0.138576
 104  -13526.738245   0.138786
 105  -13526.737743   0.139288
 106  -13526.737238   0.139793
 107  -13526.737054   0.139977
 108  -13526.737033   0.139998
 109  -13526.736724   0.140307
