# Relative energy hierarchy for Ac-Lysh-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -243353.405300   0.000000
   2  -243353.363181   0.042119
   3  -243353.277903   0.127397
   4  -243353.262102   0.143198
   5  -243353.261751   0.143549
   6  -243353.250452   0.154848
   7  -243353.231493   0.173807
   8  -243353.223509   0.181791
   9  -243353.222798   0.182502
  10  -243353.208029   0.197271
  11  -243353.207766   0.197534
  12  -243353.198384   0.206916
  13  -243353.193161   0.212139
  14  -243353.176495   0.228805
  15  -243353.153162   0.252138
  16  -243353.142151   0.263149
  17  -243353.125404   0.279896
  18  -243353.116932   0.288368
  19  -243353.116468   0.288832
  20  -243353.115182   0.290118
  21  -243353.111468   0.293832
  22  -243353.110537   0.294763
  23  -243353.110322   0.294978
  24  -243353.099656   0.305644
  25  -243353.094622   0.310678
  26  -243353.092785   0.312515
  27  -243353.091984   0.313316
  28  -243353.082398   0.322902
  29  -243353.077469   0.327831
  30  -243353.075274   0.330026
  31  -243353.070887   0.334413
  32  -243353.069103   0.336197
  33  -243353.058776   0.346524
  34  -243353.055403   0.349897
  35  -243353.047511   0.357789
  36  -243353.038776   0.366524
  37  -243353.038682   0.366618
  38  -243353.037245   0.368055
  39  -243353.033164   0.372136
  40  -243353.030729   0.374571
  41  -243353.026059   0.379241
  42  -243353.023104   0.382196
  43  -243353.017446   0.387854
  44  -243353.010631   0.394669
  45  -243353.006568   0.398732
  46  -243353.003618   0.401682
  47  -243353.002935   0.402365
  48  -243353.002065   0.403235
  49  -243353.000544   0.404756
  50  -243352.999935   0.405365
  51  -243352.999572   0.405728
  52  -243352.992052   0.413248
  53  -243352.990291   0.415009
  54  -243352.989407   0.415893
  55  -243352.989405   0.415895
  56  -243352.987656   0.417644
  57  -243352.969160   0.436140
  58  -243352.965294   0.440006
  59  -243352.965129   0.440171
  60  -243352.956368   0.448932
  61  -243352.950795   0.454505
  62  -243352.944078   0.461222
  63  -243352.937935   0.467365
  64  -243352.931925   0.473375
  65  -243352.931315   0.473985
  66  -243352.925033   0.480267
  67  -243352.924674   0.480626
  68  -243352.914419   0.490881
  69  -243352.907920   0.497380
  70  -243352.905117   0.500183
  71  -243352.903653   0.501647
  72  -243352.901481   0.503819
  73  -243352.897635   0.507665
  74  -243352.897174   0.508126
  75  -243352.894447   0.510853
  76  -243352.892708   0.512592
  77  -243352.888554   0.516746
  78  -243352.886732   0.518568
  79  -243352.877278   0.528022
  80  -243352.873854   0.531446
  81  -243352.871810   0.533490
  82  -243352.859767   0.545533
  83  -243352.856359   0.548941
  84  -243352.852741   0.552559
  85  -243352.838661   0.566639
  86  -243352.837303   0.567997
  87  -243352.824964   0.580336
  88  -243352.823800   0.581500
  89  -243352.819026   0.586274
  90  -243352.817414   0.587886
  91  -243352.816862   0.588438
  92  -243352.816507   0.588793
  93  -243352.806690   0.598610
  94  -243352.795166   0.610134
  95  -243352.777810   0.627490
