# Relative energy hierarchy for protonated Ac-Lys-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -36760.3355664   0.000000
   2  -36760.291863   0.043703
   3  -36760.2105585   0.125008
   4  -36760.2011123   0.134454
   5  -36760.182657   0.152909
   6  -36760.1826389   0.152927
   7  -36760.1606008   0.174966
   8  -36760.1511056   0.184461
   9  -36760.1480918   0.187475
  10  -36760.1349934   0.200573
  11  -36760.1312047   0.204362
  12  -36760.1309786   0.204588
  13  -36760.1034743   0.232092
  14  -36760.1014859   0.234080
  15  -36760.1005845   0.234982
  16  -36760.0928932   0.242673
  17  -36760.067856   0.267710
  18  -36760.0622741   0.273292
  19  -36760.0520213   0.283545
  20  -36760.0502792   0.285287
  21  -36760.0498622   0.285704
  22  -36760.0488242   0.286742
  23  -36760.0410233   0.294543
  24  -36760.0357269   0.299839
  25  -36760.0248293   0.310737
  26  -36760.0238937   0.311673
  27  -36760.0064462   0.329120
  28  -36760.005777   0.329789
  29  -36760.0043612   0.331205
  30  -36760.0017222   0.333844
  31  -36759.9936937   0.341873
  32  -36759.9933882   0.342178
  33  -36759.9849474   0.350619
  34  -36759.984082   0.351484
  35  -36759.9745428   0.361024
  36  -36759.9719702   0.363596
  37  -36759.9699675   0.365599
  38  -36759.9692482   0.366318
  39  -36759.9637737   0.371793
  40  -36759.9591718   0.376395
  41  -36759.9584191   0.377147
  42  -36759.9553201   0.380246
  43  -36759.9535442   0.382022
  44  -36759.9482364   0.387330
  45  -36759.9473872   0.388179
  46  -36759.945275   0.390291
  47  -36759.9445215   0.391045
  48  -36759.940045   0.395521
  49  -36759.939358   0.396208
  50  -36759.9313807   0.404186
  51  -36759.9280751   0.407491
  52  -36759.9235833   0.411983
  53  -36759.9216335   0.413933
  54  -36759.9138554   0.421711
  55  -36759.9123519   0.423214
  56  -36759.9069726   0.428594
  57  -36759.9067397   0.428827
  58  -36759.9032766   0.432290
  59  -36759.9001816   0.435385
  60  -36759.8987177   0.436849
  61  -36759.8942619   0.441304
  62  -36759.8909632   0.444603
  63  -36759.8797608   0.455806
  64  -36759.8628902   0.472676
  65  -36759.8626813   0.472885
  66  -36759.86251   0.473056
  67  -36759.8574706   0.478096
  68  -36759.8566158   0.478951
  69  -36759.8517113   0.483855
  70  -36759.8412449   0.494321
  71  -36759.8397826   0.495784
  72  -36759.8396237   0.495943
  73  -36759.8308204   0.504746
  74  -36759.8231457   0.512421
  75  -36759.8220532   0.513513
  76  -36759.8186247   0.516942
  77  -36759.818548   0.517018
  78  -36759.807484   0.528082
  79  -36759.79944   0.536126
  80  -36759.798748   0.536818
  81  -36759.7944303   0.541136
  82  -36759.7883024   0.547264
  83  -36759.7738831   0.561683
  84  -36759.756229   0.579337
  85  -36759.7492893   0.586277
  86  -36759.7455605   0.590006
  87  -36759.7454849   0.590081
  88  -36759.7396986   0.595868
  89  -36759.7383012   0.597265
  90  -36759.7367546   0.598812
  91  -36759.7333744   0.602192
  92  -36759.7234315   0.612135
  93  -36759.718652   0.616914
  94  -36759.7181903   0.617376
  95  -36759.7075021   0.628064
  96  -36759.6375102   0.698056
  97  -36759.6337154   0.701851
  98  -36759.6321197   0.703447
  99  -36759.5827868   0.752780
 100  -36759.5743994   0.761167
 101  -36759.5692661   0.766300
 102  -36759.5576225   0.777944
 103  -36759.5476716   0.787895
 104  -36759.5423026   0.793264
 105  -36759.5401373   0.795429
 106  -36759.527173   0.808393
 107  -36759.4890041   0.846562
 108  -36759.4784536   0.857113
 109  -36759.4709884   0.864578
 110  -36759.4704802   0.865086
 111  -36759.4674709   0.868095
 112  -36759.4656512   0.869915
 113  -36759.4606471   0.874919
 114  -36759.458209   0.877357
 115  -36759.4506294   0.884937
 116  -36759.4496857   0.885881
 117  -36759.4493659   0.886200
 118  -36759.4338803   0.901686
 119  -36759.4324396   0.903127
 120  -36759.4320985   0.903468
 121  -36759.4317987   0.903768
 122  -36759.426241   0.909325
 123  -36759.4239455   0.911621
 124  -36759.4045514   0.931015
 125  -36759.4040934   0.931473
 126  -36759.3955867   0.939980
 127  -36759.3915967   0.943970
 128  -36759.3820035   0.953563
 129  -36759.3804418   0.955125
 130  -36759.3798346   0.955732
 131  -36759.378902   0.956664
 132  -36759.360515   0.975051
 133  -36759.3599017   0.975665
 134  -36759.35732   0.978246
 135  -36759.3571785   0.978388
 136  -36759.3443436   0.991223
 137  -36759.3415304   0.994036
 138  -36759.3376697   0.997897
 139  -36759.3345816   1.000985
 140  -36759.3258147   1.009752
 141  -36759.319573   1.015993
 142  -36759.3084862   1.027080
 143  -36759.3083992   1.027167
 144  -36759.3079355   1.027631
 145  -36759.306209   1.029357
 146  -36759.3052676   1.030299
 147  -36759.2894696   1.046097
 148  -36759.2823982   1.053168
 149  -36759.2804334   1.055133
 150  -36759.2744877   1.061079
 151  -36759.2742271   1.061339
 152  -36759.2734614   1.062105
 153  -36759.2712054   1.064361
 154  -36759.2690688   1.066498
 155  -36759.26756   1.068006
 156  -36759.26565   1.069916
 157  -36759.2612958   1.074271
 158  -36759.2576788   1.077888
 159  -36759.2464488   1.089118
 160  -36759.2424019   1.093164
 161  -36759.2417146   1.093852
 162  -36759.2318842   1.103682
 163  -36759.2231446   1.112422
 164  -36759.2059303   1.129636
 165  -36759.2029144   1.132652
 166  -36759.2027544   1.132812
 167  -36759.1991564   1.136410
 168  -36759.1916201   1.143946
 169  -36759.1875861   1.147980
 170  -36759.1713018   1.164265
 171  -36759.1694463   1.166120
 172  -36759.1636941   1.171872
 173  -36759.1485833   1.186983
 174  -36759.140344   1.195222
 175  -36759.1321039   1.203462
 176  -36759.1253956   1.210171
 177  -36759.1251058   1.210461
 178  -36759.1182309   1.217335
 179  -36759.1049005   1.230666
 180  -36759.0905062   1.245060
 181  -36759.0872926   1.248274
 182  -36759.0245029   1.311063
 183  -36758.9906432   1.344923
 184  -36758.9235199   1.412046
 185  -36758.8695635   1.466003
 186  -36758.861956   1.473610
 187  -36758.8449443   1.490622
 188  -36758.8401447   1.495422
 189  -36758.8315159   1.504050
 190  -36758.8294022   1.506164
 191  -36758.8285224   1.507044
 192  -36758.7988327   1.536734
 193  -36758.7970217   1.538545
 194  -36758.7756083   1.559958
 195  -36758.7753219   1.560244
 196  -36758.7711459   1.564420
 197  -36758.7672673   1.568299
 198  -36758.7645646   1.571002
 199  -36758.7604121   1.575154
 200  -36758.7459749   1.589592
 201  -36758.7428773   1.592689
 202  -36758.7406863   1.594880
 203  -36758.7373481   1.598218
 204  -36758.7343107   1.601256
 205  -36758.7244119   1.611154
 206  -36758.7170561   1.618510
 207  -36758.7168106   1.618756
 208  -36758.7166971   1.618869
 209  -36758.7158174   1.619749
 210  -36758.7141657   1.621401
 211  -36758.7061961   1.629370
 212  -36758.7061182   1.629448
 213  -36758.7046101   1.630956
 214  -36758.7007625   1.634804
 215  -36758.6997494   1.635817
 216  -36758.6987071   1.636859
 217  -36758.6982971   1.637269
 218  -36758.6870528   1.648514
 219  -36758.6859326   1.649634
 220  -36758.6844822   1.651084
 221  -36758.6821355   1.653431
 222  -36758.6769655   1.658601
 223  -36758.6724474   1.663119
 224  -36758.6649848   1.670582
 225  -36758.6642488   1.671318
 226  -36758.6631059   1.672460
 227  -36758.6619639   1.673602
 228  -36758.6597216   1.675845
 229  -36758.6568116   1.678755
 230  -36758.6536255   1.681941
 231  -36758.6524801   1.683086
 232  -36758.649703   1.685863
 233  -36758.6481347   1.687432
 234  -36758.6445202   1.691046
 235  -36758.6339671   1.701599
 236  -36758.6323605   1.703206
 237  -36758.6317202   1.703846
 238  -36758.6311959   1.704370
 239  -36758.6311005   1.704466
 240  -36758.629354   1.706212
 241  -36758.6282747   1.707292
 242  -36758.628164   1.707402
 243  -36758.6236955   1.711871
 244  -36758.6230473   1.712519
 245  -36758.6192413   1.716325
 246  -36758.6188159   1.716750
 247  -36758.618458   1.717108
 248  -36758.6147638   1.720803
 249  -36758.611729   1.723837
 250  -36758.6103283   1.725238
 251  -36758.6100248   1.725542
 252  -36758.6078757   1.727691
 253  -36758.6060094   1.729557
 254  -36758.6040734   1.731493
 255  -36758.6037149   1.731852
 256  -36758.6027336   1.732833
 257  -36758.6019249   1.733641
 258  -36758.5999794   1.735587
 259  -36758.5945648   1.741002
 260  -36758.5945027   1.741064
 261  -36758.594196   1.741370
 262  -36758.5930867   1.742480
 263  -36758.5914308   1.744136
 264  -36758.5840522   1.751514
 265  -36758.5822064   1.753360
 266  -36758.5797212   1.755845
 267  -36758.5787762   1.756790
 268  -36758.5746571   1.760909
 269  -36758.5726258   1.762941
 270  -36758.5725299   1.763037
 271  -36758.5677289   1.767837
 272  -36758.567173   1.768393
 273  -36758.5661807   1.769386
 274  -36758.5639176   1.771649
 275  -36758.5637383   1.771828
 276  -36758.5616268   1.773940
 277  -36758.560762   1.774804
 278  -36758.5597711   1.775795
 279  -36758.5593823   1.776184
 280  -36758.5550282   1.780538
 281  -36758.5542195   1.781347
 282  -36758.551557   1.784009
 283  -36758.5480557   1.787511
 284  -36758.5470432   1.788523
 285  -36758.5447899   1.790776
 286  -36758.5440264   1.791540
 287  -36758.5439184   1.791648
 288  -36758.5434757   1.792091
 289  -36758.5395886   1.795978
 290  -36758.5394791   1.796087
 291  -36758.5386223   1.796944
 292  -36758.5375405   1.798026
 293  -36758.5299942   1.805572
 294  -36758.5247366   1.810830
 295  -36758.5234553   1.812111
 296  -36758.5223416   1.813225
 297  -36758.5222469   1.813319
 298  -36758.5213774   1.814189
 299  -36758.5210645   1.814502
 300  -36758.5192507   1.816316
 301  -36758.5185462   1.817020
 302  -36758.5159307   1.819636
 303  -36758.5137733   1.821793
 304  -36758.5137257   1.821841
 305  -36758.5135913   1.821975
 306  -36758.5129077   1.822659
 307  -36758.5115602   1.824006
 308  -36758.5101782   1.825388
 309  -36758.5064719   1.829094
 310  -36758.5064067   1.829160
 311  -36758.5029956   1.832571
 312  -36758.5026307   1.832936
 313  -36758.5008004   1.834766
 314  -36758.4999426   1.835624
 315  -36758.499257   1.836309
 316  -36758.4991219   1.836444
 317  -36758.4940473   1.841519
 318  -36758.4932572   1.842309
 319  -36758.4929699   1.842596
 320  -36758.4927975   1.842769
 321  -36758.4925738   1.842993
 322  -36758.4909628   1.844604
 323  -36758.4848803   1.850686
 324  -36758.4842151   1.851351
 325  -36758.4833791   1.852187
 326  -36758.4826806   1.852886
 327  -36758.4814314   1.854135
 328  -36758.4812648   1.854302
 329  -36758.4810368   1.854530
 330  -36758.4805327   1.855034
 331  -36758.4789358   1.856631
 332  -36758.4782049   1.857361
 333  -36758.4750957   1.860471
 334  -36758.4716174   1.863949
 335  -36758.469614   1.865952
 336  -36758.46817   1.867396
 337  -36758.4657416   1.869825
 338  -36758.4645037   1.871063
 339  -36758.4644782   1.871088
 340  -36758.4631931   1.872373
 341  -36758.4600175   1.875549
 342  -36758.4579751   1.877591
 343  -36758.455953   1.879613
 344  -36758.4526923   1.882874
 345  -36758.4521694   1.883397
 346  -36758.4517793   1.883787
 347  -36758.4471251   1.888441
 348  -36758.4470628   1.888504
 349  -36758.4436677   1.891899
 350  -36758.4427512   1.892815
 351  -36758.4414061   1.894160
 352  -36758.4410695   1.894497
 353  -36758.4396775   1.895889
 354  -36758.4394651   1.896101
 355  -36758.4392948   1.896272
 356  -36758.4380336   1.897533
 357  -36758.4380191   1.897547
 358  -36758.4366171   1.898949
 359  -36758.4363407   1.899226
 360  -36758.436237   1.899329
 361  -36758.43527   1.900296
 362  -36758.4330997   1.902467
 363  -36758.4330215   1.902545
 364  -36758.431467   1.904099
 365  -36758.4311481   1.904418
 366  -36758.4304239   1.905142
 367  -36758.4272502   1.908316
 368  -36758.4259704   1.909596
 369  -36758.425221   1.910345
 370  -36758.424799   1.910767
 371  -36758.421668   1.913898
 372  -36758.4211853   1.914381
 373  -36758.4208903   1.914676
 374  -36758.4198373   1.915729
 375  -36758.4193069   1.916259
 376  -36758.4189994   1.916567
 377  -36758.4173833   1.918183
 378  -36758.4171636   1.918403
 379  -36758.4159543   1.919612
 380  -36758.4149676   1.920599
