# Relative energy hierarchy for Ac-Lysh-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -571611.7485322   0.000000
   2  -571611.7362733   0.012259
   3  -571611.6143410   0.134191
   4  -571611.6120365   0.136496
   5  -571611.6061641   0.142368
   6  -571611.6042911   0.144241
   7  -571611.6031340   0.145398
   8  -571611.6028361   0.145696
   9  -571611.6016018   0.146930
  10  -571611.6008185   0.147714
  11  -571611.6004971   0.148035
  12  -571611.5844643   0.164068
  13  -571611.5733871   0.175145
  14  -571611.5537074   0.194825
  15  -571611.5530142   0.195518
  16  -571611.5507208   0.197811
  17  -571611.5404728   0.208059
  18  -571611.5365124   0.212020
  19  -571611.5333447   0.215187
  20  -571611.5318892   0.216643
  21  -571611.5297079   0.218824
  22  -571611.5226945   0.225838
  23  -571611.4776702   0.270862
  24  -571611.4775345   0.270998
  25  -571611.4768363   0.271696
  26  -571611.4761019   0.272430
  27  -571611.4673708   0.281161
  28  -571611.4671285   0.281404
  29  -571611.4668872   0.281645
  30  -571611.4662622   0.282270
  31  -571611.4657043   0.282828
  32  -571611.4488333   0.299699
  33  -571611.4382590   0.310273
  34  -571611.4339881   0.314544
  35  -571611.4279468   0.320585
  36  -571611.4243389   0.324193
  37  -571611.4219389   0.326593
  38  -571611.4216956   0.326837
  39  -571611.4213793   0.327153
  40  -571611.4189246   0.329608
  41  -571611.4108508   0.337681
  42  -571611.4106303   0.337902
  43  -571611.4103046   0.338228
  44  -571611.4099998   0.338532
  45  -571611.4092571   0.339275
  46  -571611.4092091   0.339323
  47  -571611.3893335   0.359199
  48  -571611.3864880   0.362044
  49  -571611.3840009   0.364531
  50  -571611.3768817   0.371650
  51  -571611.3700004   0.378532
  52  -571611.3611016   0.387431
  53  -571611.3592492   0.389283
  54  -571611.3510621   0.397470
  55  -571611.3418613   0.406671
  56  -571611.3416952   0.406837
  57  -571611.3407346   0.407798
  58  -571611.3404161   0.408116
  59  -571611.3387543   0.409778
  60  -571611.3384624   0.410070
  61  -571611.3336449   0.414887
  62  -571611.3292110   0.419321
  63  -571611.3292098   0.419322
  64  -571611.3286654   0.419867
  65  -571611.3165892   0.431943
  66  -571611.3056668   0.442865
  67  -571611.2977335   0.450799
  68  -571611.2942918   0.454240
  69  -571611.2920220   0.456510
  70  -571611.2893176   0.459215
  71  -571611.2890321   0.459500
  72  -571611.2861251   0.462407
  73  -571611.2835495   0.464983
  74  -571611.2773642   0.471168
  75  -571611.2674436   0.481089
  76  -571611.2644805   0.484052
  77  -571611.2630451   0.485487
  78  -571611.2627287   0.485804
  79  -571611.2625099   0.486022
  80  -571611.2617271   0.486805
  81  -571611.2585169   0.490015
  82  -571611.2516907   0.496842
  83  -571611.2499255   0.498607
  84  -571611.2486138   0.499918
  85  -571611.2481115   0.500421
  86  -571611.2480446   0.500488
  87  -571611.2449497   0.503583
  88  -571611.2442261   0.504306
  89  -571611.2438568   0.504675
  90  -571611.2430725   0.505460
  91  -571611.2338494   0.514683
  92  -571611.2203764   0.528156
  93  -571611.2194668   0.529065
  94  -571611.2130886   0.535444
  95  -571611.2088425   0.539690
  96  -571611.2085820   0.539950
  97  -571611.2038807   0.544651
  98  -571611.1987708   0.549761
  99  -571611.1986391   0.549893
 100  -571611.1974676   0.551065
 101  -571611.1917761   0.556756
 102  -571611.1847945   0.563738
 103  -571611.1844521   0.564080
 104  -571611.1831894   0.565343
 105  -571611.1831678   0.565364
 106  -571611.1789975   0.569535
 107  -571611.1789406   0.569592
 108  -571611.1716645   0.576868
 109  -571611.1714506   0.577082
 110  -571611.1707597   0.577772
 111  -571611.1617068   0.586825
 112  -571611.1573437   0.591189
 113  -571611.1559918   0.592540
 114  -571611.1556469   0.592885
 115  -571611.1544215   0.594111
 116  -571611.1543752   0.594157
 117  -571611.1542381   0.594294
 118  -571611.1542173   0.594315
 119  -571611.1538904   0.594642
 120  -571611.1532977   0.595235
 121  -571611.1453296   0.603203
 122  -571611.1441420   0.604390
 123  -571611.1422384   0.606294
 124  -571611.1307198   0.617812
 125  -571611.1299753   0.618557
 126  -571611.1285935   0.619939
 127  -571611.1235793   0.624953
 128  -571611.1229800   0.625552
 129  -571611.1229126   0.625620
 130  -571611.1227334   0.625799
 131  -571611.1222688   0.626263
 132  -571611.1217466   0.626786
 133  -571611.1163830   0.632149
 134  -571611.1160545   0.632478
 135  -571611.1159422   0.632590
 136  -571611.1146274   0.633905
 137  -571611.1141477   0.634384
 138  -571611.1069852   0.641547
 139  -571611.1052131   0.643319
 140  -571611.1049258   0.643606
 141  -571611.1047722   0.643760
 142  -571611.1047620   0.643770
 143  -571611.1036199   0.644912
 144  -571611.1031930   0.645339
 145  -571611.0968890   0.651643
 146  -571611.0952873   0.653245
 147  -571611.0930571   0.655475
 148  -571611.0917143   0.656818
 149  -571611.0916913   0.656841
 150  -571611.0914830   0.657049
 151  -571611.0913700   0.657162
 152  -571611.0910270   0.657505
 153  -571611.0897844   0.658748
 154  -571611.0887308   0.659801
 155  -571611.0876054   0.660927
 156  -571611.0865529   0.661979
 157  -571611.0857472   0.662785
 158  -571611.0829786   0.665554
 159  -571611.0828376   0.665695
 160  -571611.0809575   0.667575
 161  -571611.0790772   0.669455
 162  -571611.0780851   0.670447
 163  -571611.0780567   0.670476
 164  -571611.0767920   0.671740
 165  -571611.0757685   0.672764
 166  -571611.0755652   0.672967
 167  -571611.0733628   0.675169
 168  -571611.0733311   0.675201
 169  -571611.0676325   0.680900
 170  -571611.0675354   0.680997
 171  -571611.0627362   0.685796
 172  -571611.0621369   0.686395
 173  -571611.0614281   0.687104
 174  -571611.0611908   0.687341
 175  -571611.0606881   0.687844
 176  -571611.0604664   0.688066
 177  -571611.0601827   0.688349
 178  -571611.0577359   0.690796
 179  -571611.0527315   0.695801
 180  -571611.0522151   0.696317
 181  -571611.0481947   0.700337
 182  -571611.0480183   0.700514
 183  -571611.0468562   0.701676
 184  -571611.0433544   0.705178
 185  -571611.0431163   0.705416
 186  -571611.0429397   0.705593
 187  -571611.0428479   0.705684
