# Relative energy hierarchy for Ac-Lysh-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -608358.459282   0.000000
   2  -608358.419446   0.039836
   3  -608358.323237   0.136045
   4  -608358.315116   0.144166
   5  -608358.304782   0.154500
   6  -608358.302137   0.157145
   7  -608358.275203   0.184079
   8  -608358.270843   0.188439
   9  -608358.269971   0.189311
  10  -608358.264908   0.194374
  11  -608358.251362   0.207920
  12  -608358.249355   0.209927
  13  -608358.233728   0.225554
  14  -608358.227496   0.231786
  15  -608358.203663   0.255619
  16  -608358.188063   0.271219
  17  -608358.171803   0.287479
  18  -608358.168183   0.291099
  19  -608358.164673   0.294609
  20  -608358.161120   0.298162
  21  -608358.159422   0.299860
  22  -608358.157798   0.301484
  23  -608358.153175   0.306107
  24  -608358.152486   0.306796
  25  -608358.143090   0.316192
  26  -608358.131371   0.327911
  27  -608358.126404   0.332878
  28  -608358.121850   0.337432
  29  -608358.120910   0.338372
  30  -608358.114517   0.344765
  31  -608358.107649   0.351633
  32  -608358.106978   0.352304
  33  -608358.099487   0.359795
  34  -608358.090386   0.368896
  35  -608358.086644   0.372638
  36  -608358.085877   0.373405
  37  -608358.082706   0.376576
  38  -608358.074815   0.384467
  39  -608358.074633   0.384649
  40  -608358.067975   0.391307
  41  -608358.067108   0.392174
  42  -608358.066070   0.393212
  43  -608358.061646   0.397636
  44  -608358.060204   0.399078
  45  -608358.057104   0.402178
  46  -608358.055910   0.403372
  47  -608358.047367   0.411915
  48  -608358.044267   0.415015
  49  -608358.042391   0.416891
  50  -608358.042150   0.417132
  51  -608358.037667   0.421615
  52  -608358.037514   0.421768
  53  -608358.020675   0.438607
  54  -608358.017691   0.441591
  55  -608358.013645   0.445637
  56  -608358.008119   0.451163
  57  -608358.002447   0.456835
  58  -608358.000120   0.459162
  59  -608357.999283   0.459999
  60  -608357.999149   0.460133
  61  -608357.987946   0.471336
  62  -608357.974623   0.484659
  63  -608357.970180   0.489102
  64  -608357.966198   0.493084
  65  -608357.962324   0.496958
  66  -608357.961934   0.497348
  67  -608357.959261   0.500021
  68  -608357.954833   0.504449
  69  -608357.954083   0.505199
  70  -608357.953088   0.506194
  71  -608357.944437   0.514845
  72  -608357.941670   0.517612
  73  -608357.928160   0.531122
  74  -608357.927973   0.531309
  75  -608357.925758   0.533524
  76  -608357.916765   0.542517
  77  -608357.912460   0.546822
  78  -608357.903542   0.555740
  79  -608357.898913   0.560369
  80  -608357.895658   0.563624
  81  -608357.880948   0.578334
  82  -608357.880419   0.578863
  83  -608357.872372   0.586910
  84  -608357.869380   0.589902
  85  -608357.864175   0.595107
  86  -608357.860416   0.598866
  87  -608357.858593   0.600689
  88  -608357.853538   0.605744
  89  -608357.848512   0.610770
