# Relative energy hierarchy for Ac-Lysh-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -105406.166170   0.000000
   2  -105406.123089   0.043081
   3  -105406.035831   0.130339
   4  -105406.021755   0.144415
   5  -105406.018906   0.147264
   6  -105406.018555   0.147615
   7  -105405.986358   0.179812
   8  -105405.982666   0.183504
   9  -105405.975262   0.190908
  10  -105405.969750   0.196420
  11  -105405.966038   0.200132
  12  -105405.965766   0.200404
  13  -105405.943216   0.222954
  14  -105405.935294   0.230876
  15  -105405.916905   0.249265
  16  -105405.913373   0.252797
  17  -105405.883874   0.282296
  18  -105405.881296   0.284874
  19  -105405.880975   0.285195
  20  -105405.874808   0.291362
  21  -105405.873182   0.292988
  22  -105405.872508   0.293662
  23  -105405.864927   0.301243
  24  -105405.863288   0.302882
  25  -105405.860838   0.305332
  26  -105405.849163   0.317007
  27  -105405.842120   0.324050
  28  -105405.840154   0.326016
  29  -105405.836508   0.329662
  30  -105405.830876   0.335294
  31  -105405.824810   0.341360
  32  -105405.823999   0.342171
  33  -105405.818215   0.347955
  34  -105405.814635   0.351535
  35  -105405.810666   0.355504
  36  -105405.804350   0.361820
  37  -105405.800334   0.365836
  38  -105405.793557   0.372613
  39  -105405.791448   0.374722
  40  -105405.788183   0.377987
  41  -105405.781035   0.385135
  42  -105405.779833   0.386337
  43  -105405.779416   0.386754
  44  -105405.775301   0.390869
  45  -105405.772359   0.393811
  46  -105405.768322   0.397848
  47  -105405.765038   0.401132
  48  -105405.763986   0.402184
  49  -105405.761638   0.404532
  50  -105405.756323   0.409847
  51  -105405.754009   0.412161
  52  -105405.751326   0.414844
  53  -105405.749980   0.416190
  54  -105405.744569   0.421601
  55  -105405.742009   0.424161
  56  -105405.733360   0.432810
  57  -105405.731312   0.434858
  58  -105405.728203   0.437967
  59  -105405.723733   0.442437
  60  -105405.718781   0.447389
  61  -105405.711775   0.454395
  62  -105405.708877   0.457293
  63  -105405.705534   0.460636
  64  -105405.691303   0.474867
  65  -105405.686694   0.479476
  66  -105405.684512   0.481658
  67  -105405.681045   0.485125
  68  -105405.673577   0.492593
  69  -105405.665918   0.500252
  70  -105405.660229   0.505941
  71  -105405.655881   0.510289
  72  -105405.654953   0.511217
  73  -105405.652357   0.513813
  74  -105405.651418   0.514752
  75  -105405.648846   0.517324
  76  -105405.643200   0.522970
  77  -105405.640930   0.525240
  78  -105405.636846   0.529324
  79  -105405.627974   0.538196
  80  -105405.620873   0.545297
  81  -105405.619657   0.546513
  82  -105405.614452   0.551718
  83  -105405.612889   0.553281
  84  -105405.602747   0.563423
  85  -105405.586742   0.579428
  86  -105405.585189   0.580981
  87  -105405.575908   0.590262
  88  -105405.575740   0.590430
  89  -105405.571997   0.594173
  90  -105405.570790   0.595380
  91  -105405.564583   0.601587
  92  -105405.558811   0.607359
  93  -105405.553457   0.612713
  94  -105405.543865   0.622305
  95  -105405.532609   0.633561
  96  -105405.505873   0.660297
  97  -105405.481786   0.684384
  98  -105405.479718   0.686452
  99  -105405.471864   0.694306
 100  -105405.453223   0.712947
 101  -105405.447478   0.718692
 102  -105405.445356   0.720814
 103  -105405.434554   0.731616
 104  -105405.430371   0.735799
 105  -105405.426076   0.740094
 106  -105405.424464   0.741706
 107  -105405.387125   0.779045
 108  -105405.377575   0.788595
 109  -105405.367943   0.798227
 110  -105405.367473   0.798697
 111  -105405.367436   0.798734
 112  -105405.362633   0.803537
 113  -105405.357784   0.808386
 114  -105405.351369   0.814801
 115  -105405.350835   0.815335
 116  -105405.346515   0.819655
 117  -105405.343486   0.822684
 118  -105405.339652   0.826518
 119  -105405.332242   0.833928
 120  -105405.329436   0.836734
 121  -105405.327555   0.838615
 122  -105405.314494   0.851676
 123  -105405.308343   0.857827
 124  -105405.306054   0.860116
 125  -105405.305065   0.861105
 126  -105405.294646   0.871524
 127  -105405.288439   0.877731
 128  -105405.286412   0.879758
 129  -105405.285506   0.880664
 130  -105405.280968   0.885202
 131  -105405.270357   0.895813
 132  -105405.261954   0.904216
 133  -105405.257151   0.909019
 134  -105405.256217   0.909953
 135  -105405.253318   0.912852
 136  -105405.244794   0.921376
 137  -105405.243625   0.922545
 138  -105405.238824   0.927346
 139  -105405.223434   0.942736
 140  -105405.223106   0.943064
 141  -105405.218771   0.947399
 142  -105405.216180   0.949990
 143  -105405.214863   0.951307
 144  -105405.212920   0.953250
 145  -105405.206204   0.959966
 146  -105405.190332   0.975838
 147  -105405.186482   0.979688
 148  -105405.184308   0.981862
 149  -105405.183887   0.982283
 150  -105405.182108   0.984062
 151  -105405.180227   0.985943
 152  -105405.177491   0.988679
 153  -105405.177460   0.988710
 154  -105405.175560   0.990610
 155  -105405.172497   0.993673
 156  -105405.171769   0.994401
 157  -105405.152543   1.013627
 158  -105405.150977   1.015193
 159  -105405.147356   1.018814
 160  -105405.146101   1.020069
 161  -105405.140926   1.025244
 162  -105405.135642   1.030528
 163  -105405.117865   1.048305
 164  -105405.114354   1.051816
 165  -105405.108149   1.058021
 166  -105405.103663   1.062507
 167  -105405.099391   1.066779
 168  -105405.095609   1.070561
 169  -105405.086404   1.079766
 170  -105405.084049   1.082121
 171  -105405.075796   1.090374
 172  -105405.054940   1.111230
 173  -105405.038042   1.128128
 174  -105405.037005   1.129165
 175  -105405.035302   1.130868
 176  -105405.034720   1.131450
 177  -105405.032634   1.133536
 178  -105405.021533   1.144637
 179  -105404.999356   1.166814
 180  -105404.998449   1.167721
 181  -105404.986070   1.180100
 182  -105404.954124   1.212046
 183  -105404.924108   1.242062
 184  -105404.900734   1.265436
 185  -105404.895794   1.270376
 186  -105404.879879   1.286291
 187  -105404.877346   1.288824
 188  -105404.867723   1.298447
 189  -105404.865418   1.300752
 190  -105404.862115   1.304055
 191  -105404.838790   1.327380
 192  -105404.830821   1.335349
 193  -105404.813565   1.352605
 194  -105404.803312   1.362858
 195  -105404.802696   1.363474
 196  -105404.801037   1.365133
 197  -105404.799521   1.366649
 198  -105404.798284   1.367886
 199  -105404.790831   1.375339
 200  -105404.784162   1.382008
 201  -105404.781185   1.384985
 202  -105404.775591   1.390579
 203  -105404.774194   1.391976
 204  -105404.773189   1.392981
 205  -105404.772768   1.393402
 206  -105404.763859   1.402311
 207  -105404.762327   1.403843
 208  -105404.759006   1.407164
 209  -105404.756750   1.409420
 210  -105404.755113   1.411057
 211  -105404.754624   1.411546
 212  -105404.754581   1.411589
 213  -105404.752273   1.413897
 214  -105404.743610   1.422560
 215  -105404.742413   1.423757
 216  -105404.741592   1.424578
 217  -105404.740935   1.425235
 218  -105404.738906   1.427264
 219  -105404.738250   1.427920
 220  -105404.732709   1.433461
 221  -105404.731075   1.435095
 222  -105404.728629   1.437541
 223  -105404.725123   1.441047
 224  -105404.723865   1.442305
 225  -105404.721245   1.444925
 226  -105404.720194   1.445976
 227  -105404.719078   1.447092
 228  -105404.701788   1.464382
 229  -105404.700466   1.465704
 230  -105404.697313   1.468857
 231  -105404.696271   1.469899
 232  -105404.693996   1.472174
 233  -105404.693288   1.472882
 234  -105404.689282   1.476888
 235  -105404.687782   1.478388
 236  -105404.682040   1.484130
 237  -105404.680420   1.485750
 238  -105404.673015   1.493155
 239  -105404.671437   1.494733
 240  -105404.670806   1.495364
 241  -105404.668918   1.497252
 242  -105404.665846   1.500324
 243  -105404.665013   1.501157
 244  -105404.665005   1.501165
 245  -105404.664639   1.501531
 246  -105404.662778   1.503392
 247  -105404.662309   1.503861
 248  -105404.661370   1.504800
 249  -105404.660958   1.505212
 250  -105404.659502   1.506668
 251  -105404.657817   1.508353
 252  -105404.657097   1.509073
 253  -105404.655575   1.510595
 254  -105404.655000   1.511170
 255  -105404.654195   1.511975
 256  -105404.653755   1.512415
 257  -105404.653069   1.513101
 258  -105404.651506   1.514664
 259  -105404.650083   1.516087
 260  -105404.648946   1.517224
 261  -105404.648199   1.517971
 262  -105404.646025   1.520145
 263  -105404.644632   1.521538
 264  -105404.644481   1.521689
 265  -105404.642574   1.523596
 266  -105404.641723   1.524447
 267  -105404.637889   1.528281
 268  -105404.636321   1.529849
 269  -105404.636152   1.530018
 270  -105404.632752   1.533418
 271  -105404.631421   1.534749
 272  -105404.631139   1.535031
 273  -105404.627081   1.539089
 274  -105404.626604   1.539566
 275  -105404.626214   1.539956
 276  -105404.621821   1.544349
 277  -105404.618672   1.547498
 278  -105404.618351   1.547819
 279  -105404.611890   1.554280
 280  -105404.609421   1.556749
 281  -105404.609042   1.557128
 282  -105404.607988   1.558182
 283  -105404.605323   1.560847
 284  -105404.605270   1.560900
 285  -105404.605028   1.561142
 286  -105404.602551   1.563619
 287  -105404.600008   1.566162
 288  -105404.599543   1.566627
 289  -105404.598844   1.567326
 290  -105404.598793   1.567377
 291  -105404.597978   1.568192
 292  -105404.596730   1.569440
 293  -105404.596688   1.569482
 294  -105404.594330   1.571840
 295  -105404.592438   1.573732
 296  -105404.591788   1.574382
 297  -105404.590535   1.575635
 298  -105404.589291   1.576879
 299  -105404.587364   1.578806
 300  -105404.586983   1.579187
 301  -105404.577525   1.588645
 302  -105404.575354   1.590816
 303  -105404.575325   1.590845
 304  -105404.571242   1.594928
 305  -105404.569969   1.596201
 306  -105404.569445   1.596725
 307  -105404.569194   1.596976
 308  -105404.568315   1.597855
 309  -105404.563560   1.602610
 310  -105404.562837   1.603333
 311  -105404.562737   1.603433
 312  -105404.560927   1.605243
 313  -105404.560496   1.605674
 314  -105404.560460   1.605710
 315  -105404.558863   1.607307
 316  -105404.558831   1.607339
 317  -105404.558177   1.607993
 318  -105404.554552   1.611618
 319  -105404.554346   1.611824
 320  -105404.551602   1.614568
 321  -105404.551416   1.614754
 322  -105404.550901   1.615269
 323  -105404.549778   1.616392
 324  -105404.548929   1.617241
 325  -105404.540318   1.625852
 326  -105404.539880   1.626290
 327  -105404.536376   1.629794
 328  -105404.535831   1.630339
 329  -105404.535473   1.630697
 330  -105404.535082   1.631088
 331  -105404.534770   1.631400
 332  -105404.534399   1.631771
 333  -105404.531009   1.635161
 334  -105404.530993   1.635177
