# Relative energy hierarchy for protonated Ac-Lys-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -18220.5242962   0.000000
   2  -18220.4931963   0.031100
   3  -18220.4776561   0.046640
   4  -18220.4580348   0.066261
   5  -18220.4545146   0.069782
   6  -18220.4539279   0.070368
   7  -18220.4527602   0.071536
   8  -18220.445913   0.078383
   9  -18220.4431232   0.081173
  10  -18220.441143   0.083153
  11  -18220.440625   0.083671
  12  -18220.4387291   0.085567
  13  -18220.4348019   0.089494
  14  -18220.4330794   0.091217
  15  -18220.4318904   0.092406
  16  -18220.4302213   0.094075
  17  -18220.4293426   0.094954
  18  -18220.4276358   0.096660
  19  -18220.4255735   0.098723
  20  -18220.4242749   0.100021
  21  -18220.4202583   0.104038
  22  -18220.4188222   0.105474
  23  -18220.4175091   0.106787
  24  -18220.4127923   0.111504
  25  -18220.4092295   0.115067
  26  -18220.4090227   0.115273
  27  -18220.4057285   0.118568
  28  -18220.4030138   0.121282
  29  -18220.3997838   0.124512
  30  -18220.3991198   0.125176
  31  -18220.3956831   0.128613
  32  -18220.3923919   0.131904
  33  -18220.3889533   0.135343
  34  -18220.3835784   0.140718
  35  -18220.3834534   0.140843
  36  -18220.3823824   0.141914
  37  -18220.366214   0.158082
  38  -18220.3653224   0.158974
  39  -18220.3639852   0.160311
  40  -18220.3590317   0.165264
  41  -18220.3526751   0.171621
  42  -18220.3521638   0.172132
  43  -18220.3518265   0.172470
  44  -18220.3475672   0.176729
  45  -18220.3474167   0.176880
  46  -18220.3463751   0.177921
  47  -18220.3450121   0.179284
  48  -18220.3438753   0.180421
  49  -18220.3428656   0.181431
  50  -18220.3406487   0.183648
  51  -18220.3351475   0.189149
  52  -18220.3349719   0.189324
  53  -18220.3339179   0.190378
  54  -18220.3332907   0.191006
  55  -18220.3327967   0.191500
  56  -18220.3250295   0.199267
  57  -18220.3237499   0.200546
  58  -18220.3220048   0.202291
  59  -18220.3192165   0.205080
  60  -18220.3183052   0.205991
  61  -18220.3169252   0.207371
  62  -18220.3167164   0.207580
  63  -18220.3146265   0.209670
  64  -18220.3139419   0.210354
  65  -18220.3136502   0.210646
  66  -18220.3128313   0.211465
  67  -18220.3121269   0.212169
  68  -18220.3114279   0.212868
  69  -18220.3110692   0.213227
  70  -18220.3094028   0.214893
  71  -18220.3072932   0.217003
  72  -18220.3067711   0.217525
  73  -18220.3027955   0.221501
  74  -18220.3021202   0.222176
  75  -18220.2978857   0.226410
  76  -18220.2940075   0.230289
  77  -18220.2939915   0.230305
  78  -18220.2923988   0.231897
  79  -18220.2920683   0.232228
  80  -18220.2908622   0.233434
  81  -18220.2899155   0.234381
  82  -18220.2877007   0.236596
  83  -18220.2791166   0.245180
  84  -18220.2778319   0.246464
  85  -18220.2769688   0.247327
  86  -18220.2760951   0.248201
  87  -18220.2756899   0.248606
  88  -18220.2719455   0.252351
  89  -18220.2660149   0.258281
  90  -18220.2632915   0.261005
  91  -18220.2612037   0.263093
  92  -18220.259248   0.265048
