# Relative energy hierarchy for Lysh conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -238669.546025   0.000000
   2  -238669.461538   0.084487
   3  -238669.400903   0.145122
   4  -238669.378638   0.167387
   5  -238669.378293   0.167732
   6  -238669.371947   0.174078
   7  -238669.358188   0.187837
   8  -238669.355877   0.190148
   9  -238669.354307   0.191718
  10  -238669.313793   0.232232
  11  -238669.298357   0.247668
  12  -238669.291769   0.254256
  13  -238669.286287   0.259738
  14  -238669.267330   0.278695
  15  -238669.260287   0.285738
  16  -238669.239507   0.306518
  17  -238669.218018   0.328007
  18  -238669.215176   0.330849
  19  -238669.204877   0.341148
  20  -238669.192940   0.353085
  21  -238669.151697   0.394328
  22  -238669.142610   0.403415
  23  -238669.117597   0.428428
  24  -238668.738910   0.807115
  25  -238668.713356   0.832669
  26  -238668.642466   0.903559
  27  -238668.569309   0.976716
  28  -238668.558917   0.987108
  29  -238668.557181   0.988844
  30  -238668.538705   1.007320
  31  -238668.538355   1.007670
  32  -238668.519146   1.026879
  33  -238668.484603   1.061422
  34  -238668.468125   1.077900
  35  -238668.425768   1.120257
  36  -238668.374588   1.171437
  37  -238668.324372   1.221653
  38  -238668.323142   1.222883
  39  -238668.294723   1.251302
  40  -238668.277335   1.268690
  41  -238668.276757   1.269268
  42  -238668.271366   1.274659
  43  -238668.257074   1.288951
  44  -238668.224852   1.321173
  45  -238668.184170   1.361855
  46  -238668.176534   1.369491
  47  -238668.174640   1.371385
  48  -238667.995795   1.550230
