# Relative energy hierarchy for protonated Lys conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -32076.1788907   0.000000
   2  -32076.1075146   0.071376
   3  -32076.0316825   0.147208
   4  -32076.0091299   0.169761
   5  -32076.0015295   0.177361
   6  -32076.0004646   0.178426
   7  -32075.995192   0.183699
   8  -32075.9884246   0.190466
   9  -32075.9758141   0.203077
  10  -32075.9503825   0.228508
  11  -32075.9343063   0.244584
  12  -32075.918412   0.260479
  13  -32075.9062952   0.272596
  14  -32075.9016065   0.277284
  15  -32075.8845021   0.294389
  16  -32075.8820784   0.296812
  17  -32075.8468888   0.332002
  18  -32075.8253326   0.353558
  19  -32075.8137518   0.365139
  20  -32075.8088896   0.370001
  21  -32075.763207   0.415684
  22  -32075.7588262   0.420065
  23  -32075.7490946   0.429796
  24  -32075.3246926   0.854198
  25  -32075.3039108   0.874980
  26  -32075.2219089   0.956982
  27  -32075.1734912   1.005400
  28  -32075.1534934   1.025397
  29  -32075.1410414   1.037849
  30  -32075.1357859   1.043105
  31  -32075.1096813   1.069209
  32  -32075.1096501   1.069241
  33  -32075.0972448   1.081646
  34  -32075.0379849   1.140906
  35  -32075.0026619   1.176229
  36  -32074.9420429   1.236848
  37  -32074.8593034   1.319587
  38  -32074.8009431   1.377948
  39  -32074.6628648   1.516026
  40  -32074.6346238   1.544267
  41  -32074.6317214   1.547169
  42  -32074.5842778   1.594613
  43  -32074.5830888   1.595802
  44  -32074.5633029   1.615588
  45  -32074.5518324   1.627058
  46  -32074.5366406   1.642250
  47  -32074.5088922   1.669999
  48  -32074.4876552   1.691236
  49  -32074.4827561   1.696135
  50  -32074.4805785   1.698312
  51  -32074.3951363   1.783754
  52  -32074.2813558   1.897535
