# Relative energy hierarchy for Lysh conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -167649.446398   0.000000
   2  -167649.402759   0.043639
   3  -167649.296523   0.149875
   4  -167649.283696   0.162702
   5  -167649.276216   0.170182
   6  -167649.273672   0.172726
   7  -167649.259958   0.186440
   8  -167649.237845   0.208553
   9  -167649.233587   0.212811
  10  -167649.222690   0.223708
  11  -167649.191715   0.254683
  12  -167649.177465   0.268933
  13  -167649.174595   0.271803
  14  -167649.161727   0.284671
  15  -167649.143543   0.302855
  16  -167649.133690   0.312708
  17  -167649.079614   0.366784
  18  -167649.064221   0.382177
  19  -167649.042983   0.403415
  20  -167649.039861   0.406537
  21  -167649.000758   0.445640
  22  -167648.687382   0.759016
  23  -167648.681580   0.764818
  24  -167648.581656   0.864742
  25  -167648.511083   0.935315
  26  -167648.489468   0.956930
  27  -167648.487328   0.959070
  28  -167648.464892   0.981506
  29  -167648.459922   0.986476
  30  -167648.453104   0.993294
  31  -167648.452378   0.994020
  32  -167648.396107   1.050291
  33  -167648.341677   1.104721
  34  -167648.305096   1.141302
  35  -167648.296654   1.149744
  36  -167648.295604   1.150794
  37  -167648.252227   1.194171
  38  -167648.222016   1.224382
  39  -167648.208451   1.237947
  40  -167648.201621   1.244777
  41  -167648.193851   1.252547
  42  -167648.172622   1.273776
  43  -167648.156365   1.290033
  44  -167648.154499   1.291899
  45  -167648.115070   1.331328
  46  -167648.110733   1.335665
  47  -167648.060248   1.386150
  48  -167647.906547   1.539851
