# Relative energy hierarchy for Lysh conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -566927.919932   0.000000
   2  -566927.900653   0.019279
   3  -566927.771830   0.148102
   4  -566927.768960   0.150972
   5  -566927.767284   0.152648
   6  -566927.751377   0.168555
   7  -566927.732054   0.187878
   8  -566927.730515   0.189417
   9  -566927.716800   0.203132
  10  -566927.704622   0.215310
  11  -566927.670912   0.249020
  12  -566927.668617   0.251315
  13  -566927.655969   0.263963
  14  -566927.629594   0.290338
  15  -566927.624546   0.295386
  16  -566927.547576   0.372356
  17  -566927.535257   0.384675
  18  -566927.535217   0.384715
  19  -566927.532147   0.387785
  20  -566927.467276   0.452656
  21  -566927.174209   0.745723
  22  -566927.172332   0.747600
  23  -566927.057585   0.862347
  24  -566926.996829   0.923103
  25  -566926.978198   0.941734
  26  -566926.958526   0.961406
  27  -566926.946914   0.973018
  28  -566926.934530   0.985402
  29  -566926.923299   0.996633
  30  -566926.875942   1.043990
  31  -566926.803031   1.116901
  32  -566926.787467   1.132465
  33  -566926.718869   1.201063
