# Relative energy hierarchy for Lysh conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -603674.447920   0.000000
   2  -603674.383856   0.064064
   3  -603674.298944   0.148976
   4  -603674.277774   0.170146
   5  -603674.275759   0.172161
   6  -603674.265262   0.182658
   7  -603674.258881   0.189039
   8  -603674.240000   0.207920
   9  -603674.223181   0.224739
  10  -603674.206726   0.241194
  11  -603674.188774   0.259146
  12  -603674.172877   0.275043
  13  -603674.166809   0.281111
  14  -603674.157534   0.290386
  15  -603674.148221   0.299699
  16  -603674.117854   0.330066
  17  -603674.083983   0.363937
  18  -603674.069117   0.378803
  19  -603674.068538   0.379382
  20  -603674.030067   0.417853
  21  -603674.022096   0.425824
  22  -603674.014820   0.433100
  23  -603673.658818   0.789102
  24  -603673.645803   0.802117
  25  -603673.558618   0.889302
  26  -603673.484818   0.963102
  27  -603673.469114   0.978806
  28  -603673.465818   0.982102
  29  -603673.440639   1.007281
  30  -603673.439363   1.008557
  31  -603673.428988   1.018932
  32  -603673.371009   1.076911
  33  -603673.327530   1.120390
  34  -603673.278373   1.169547
  35  -603673.194652   1.253268
  36  -603672.963867   1.484053
  37  -603672.813947   1.633973
  38  -603672.812213   1.635707
  39  -603672.800832   1.647088
  40  -603672.734139   1.713781
  41  -603672.730712   1.717208
  42  -603672.726886   1.721034
  43  -603672.718717   1.729203
  44  -603672.684779   1.763141
  45  -603672.679739   1.768181
  46  -603672.677018   1.770902
  47  -603672.645536   1.802384
  48  -603672.619820   1.828100
  49  -603672.555957   1.891963
  50  -603672.427797   2.020123
