# Relative energy hierarchy for Lysh conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -100722.178723   0.000000
   2  -100722.100330   0.078393
   3  -100722.033139   0.145584
   4  -100722.009903   0.168820
   5  -100722.007067   0.171656
   6  -100722.000926   0.177797
   7  -100721.994053   0.184670
   8  -100721.989144   0.189579
   9  -100721.981968   0.196755
  10  -100721.948639   0.230084
  11  -100721.933047   0.245676
  12  -100721.918321   0.260402
  13  -100721.917146   0.261577
  14  -100721.900434   0.278289
  15  -100721.889612   0.289111
  16  -100721.876647   0.302076
  17  -100721.849685   0.329038
  18  -100721.838830   0.339893
  19  -100721.827291   0.351432
  20  -100721.819224   0.359499
  21  -100721.773255   0.405468
  22  -100721.770860   0.407863
  23  -100721.750387   0.428336
  24  -100721.342870   0.835853
  25  -100721.322389   0.856334
  26  -100721.246422   0.932301
  27  -100721.174778   1.003945
  28  -100721.162636   1.016087
  29  -100721.158123   1.020600
  30  -100721.139020   1.039703
  31  -100721.138059   1.040664
  32  -100721.118196   1.060527
  33  -100721.063920   1.114803
  34  -100721.029169   1.149554
  35  -100720.968691   1.210032
  36  -100720.959108   1.219615
  37  -100720.885377   1.293346
  38  -100720.796660   1.382063
  39  -100720.794892   1.383831
  40  -100720.747387   1.431336
  41  -100720.744281   1.434442
  42  -100720.739504   1.439219
  43  -100720.722355   1.456368
  44  -100720.702064   1.476659
  45  -100720.686737   1.491986
  46  -100720.652505   1.526218
  47  -100720.646386   1.532337
  48  -100720.646151   1.532572
  49  -100720.457919   1.720804
