# Relative energy hierarchy for protonated Lys conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -13537.6749957   0.000000
   2  -13537.5559296   0.119066
   3  -13537.5229178   0.152078
   4  -13537.5183839   0.156612
   5  -13537.4846675   0.190328
   6  -13537.450067   0.224929
   7  -13537.4323307   0.242665
   8  -13537.4192555   0.255740
   9  -13537.4065497   0.268446
  10  -13537.4044244   0.270571
  11  -13537.4023912   0.272604
  12  -13537.4017823   0.273213
  13  -13537.3993189   0.275677
  14  -13537.399041   0.275955
  15  -13537.3957698   0.279226
  16  -13537.3957629   0.279233
  17  -13537.3906898   0.284306
  18  -13537.387043   0.287953
  19  -13537.3828636   0.292132
  20  -13537.3810614   0.293934
  21  -13537.3664879   0.308508
  22  -13537.364652   0.310344
  23  -13537.3644936   0.310502
  24  -13537.3571735   0.317822
  25  -13537.3539417   0.321054
  26  -13537.3444249   0.330571
  27  -13537.3435237   0.331472
  28  -13537.3429623   0.332033
  29  -13537.3420236   0.332972
  30  -13537.3363727   0.338623
  31  -13537.3301658   0.344830
  32  -13537.3152939   0.359702
  33  -13537.2997275   0.375268
  34  -13537.2987794   0.376216
  35  -13537.2981916   0.376804
  36  -13537.2904135   0.384582
  37  -13537.2822703   0.392725
  38  -13537.268851   0.406145
  39  -13537.2671978   0.407798
  40  -13537.2548995   0.420096
  41  -13537.2544533   0.420542
  42  -13537.2533617   0.421634
  43  -13537.247443   0.427553
  44  -13537.2470231   0.427973
  45  -13537.2328317   0.442164
  46  -13537.2328207   0.442175
  47  -13537.2298781   0.445118
  48  -13537.2280381   0.446958
  49  -13537.226895   0.448101
  50  -13537.2260789   0.448917
  51  -13537.2247308   0.450265
  52  -13537.2227004   0.452295
  53  -13537.2224011   0.452595
  54  -13537.2220866   0.452909
  55  -13537.2186191   0.456377
  56  -13537.2164853   0.458510
  57  -13537.2136285   0.461367
  58  -13537.2088157   0.466180
  59  -13537.2075175   0.467478
  60  -13537.2002198   0.474776
  61  -13537.1975623   0.477433
  62  -13537.1959999   0.478996
  63  -13537.1924353   0.482560
  64  -13537.1890049   0.485991
  65  -13537.1792102   0.495785
  66  -13537.1789679   0.496028
  67  -13537.1767835   0.498212
  68  -13537.1752666   0.499729
  69  -13537.1670695   0.507926
  70  -13537.1622103   0.512785
  71  -13537.1605863   0.514409
  72  -13537.1485621   0.526434
  73  -13537.1466676   0.528328
  74  -13537.1435867   0.531409
  75  -13537.1416651   0.533331
  76  -13537.1360158   0.538980
  77  -13537.1356786   0.539317
  78  -13537.1227932   0.552202
  79  -13537.1217946   0.553201
  80  -13537.119097   0.555899
  81  -13537.1144119   0.560584
  82  -13537.1116323   0.563363
  83  -13537.1013731   0.573623
  84  -13537.0993317   0.575664
  85  -13537.0945081   0.580488
  86  -13537.0937253   0.581270
  87  -13537.0877154   0.587280
  88  -13537.07794   0.597056
  89  -13537.0773796   0.597616
  90  -13537.0761669   0.598829
  91  -13537.0741628   0.600833
  92  -13537.0723816   0.602614
  93  -13537.0593989   0.615597
  94  -13537.0591309   0.615865
  95  -13537.0502975   0.624698
  96  -13537.0475317   0.627464
  97  -13537.04414   0.630856
  98  -13537.0321987   0.642797
  99  -13537.0289464   0.646049
 100  -13537.0274353   0.647560
 101  -13537.0129801   0.662016
 102  -13536.9940088   0.680987
 103  -13536.9671289   0.707867
 104  -13536.9479839   0.727012
 105  -13536.9080104   0.766985
 106  -13536.8636013   0.811394
 107  -13536.8490695   0.825926
 108  -13536.8315815   0.843414
 109  -13536.8202634   0.854732
 110  -13536.8159167   0.859079
 111  -13536.8061407   0.868855
 112  -13536.795921   0.879075
 113  -13536.7944774   0.880518
 114  -13536.7909035   0.884092
 115  -13536.7860277   0.888968
 116  -13536.7728431   0.902153
 117  -13536.7692325   0.905763
 118  -13536.7664995   0.908496
 119  -13536.7626988   0.912297
 120  -13536.7576932   0.917303
 121  -13536.7570923   0.917903
 122  -13536.7554754   0.919520
 123  -13536.7443464   0.930649
 124  -13536.7299077   0.945088
 125  -13536.7272873   0.947708
 126  -13536.7247011   0.950295
 127  -13536.7136868   0.961309
 128  -13536.7081411   0.966855
 129  -13536.7015236   0.973472
 130  -13536.6951424   0.979853
 131  -13536.6924231   0.982573
 132  -13536.6882754   0.986720
 133  -13536.6819732   0.993022
 134  -13536.6816741   0.993322
 135  -13536.6794577   0.995538
 136  -13536.6774881   0.997508
 137  -13536.6770859   0.997910
 138  -13536.6753822   0.999614
 139  -13536.6743767   1.000619
 140  -13536.6720357   1.002960
 141  -13536.6674189   1.007577
 142  -13536.6609758   1.014020
 143  -13536.6587664   1.016229
 144  -13536.6583734   1.016622
 145  -13536.6580337   1.016962
 146  -13536.6572839   1.017712
 147  -13536.656935   1.018061
 148  -13536.6487644   1.026231
 149  -13536.6485821   1.026414
 150  -13536.6446322   1.030364
 151  -13536.6443137   1.030682
 152  -13536.6426766   1.032319
 153  -13536.6414212   1.033574
 154  -13536.6406496   1.034346
 155  -13536.6404389   1.034557
 156  -13536.6401414   1.034854
 157  -13536.6379595   1.037036
 158  -13536.6376179   1.037378
 159  -13536.6366202   1.038375
 160  -13536.6331124   1.041883
