# Relative energy hierarchy for Ac-Met-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -251650.4378077   0.000000
   2  -251650.4174652   0.020342
   3  -251650.4135549   0.024253
   4  -251650.3588923   0.078915
   5  -251650.3289730   0.108835
   6  -251650.3247201   0.113088
   7  -251650.3177480   0.120060
   8  -251650.2775803   0.160227
   9  -251650.2224870   0.215321
  10  -251650.1767908   0.261017
  11  -251650.1269313   0.310876
  12  -251650.1201864   0.317621
  13  -251650.0900517   0.347756
  14  -251650.0806979   0.357110
  15  -251650.0799670   0.357841
  16  -251650.0781994   0.359608
  17  -251650.0737574   0.364050
  18  -251650.0621474   0.375660
  19  -251650.0584785   0.379329
  20  -251650.0525591   0.385249
  21  -251650.0370828   0.400725
  22  -251650.0352745   0.402533
  23  -251650.0255639   0.412244
  24  -251650.0254311   0.412377
  25  -251650.0174667   0.420341
  26  -251650.0144067   0.423401
  27  -251650.0022898   0.435518
  28  -251649.9894751   0.448333
  29  -251649.9859767   0.451831
  30  -251649.9740425   0.463765
  31  -251649.9552837   0.482524
  32  -251649.9547970   0.483011
  33  -251649.9545729   0.483235
  34  -251649.9494141   0.488394
  35  -251649.9230408   0.514767
  36  -251649.9214655   0.516342
  37  -251649.9168133   0.520994
  38  -251649.9144462   0.523361
  39  -251649.9007208   0.537087
  40  -251649.8711990   0.566609
  41  -251649.8385527   0.599255
  42  -251649.8333246   0.604483
  43  -251649.8235020   0.614306
  44  -251649.8178381   0.619970
  45  -251649.8163985   0.621409
  46  -251649.8081159   0.629692
  47  -251649.8015897   0.636218
  48  -251649.7925441   0.645264
  49  -251649.7634440   0.674364
  50  -251649.7629288   0.674879
  51  -251649.7543772   0.683430
  52  -251649.7525837   0.685224
  53  -251649.7516752   0.686132
  54  -251649.7511866   0.686621
  55  -251649.7486635   0.689144
  56  -251649.7466222   0.691185
  57  -251649.7398365   0.697971
  58  -251649.7333251   0.704483
  59  -251649.7043112   0.733496
  60  -251649.6090322   0.828775
  61  -251649.6051239   0.832684
  62  -251649.5923140   0.845494
  63  -251649.5862203   0.851587
  64  -251649.5803574   0.857450
  65  -251649.5792477   0.858560
  66  -251649.5721910   0.865617
  67  -251649.5664248   0.871383
  68  -251649.5658953   0.871912
  69  -251649.5140785   0.923729
  70  -251649.5135710   0.924237
  71  -251649.5073193   0.930488
  72  -251649.5059253   0.931882
  73  -251649.4764653   0.961342
  74  -251649.4609826   0.976825
  75  -251649.4603016   0.977506
  76  -251649.4533454   0.984462
  77  -251649.4531243   0.984683
  78  -251649.4359355   1.001872
  79  -251649.4162533   1.021554
  80  -251649.4100421   1.027766
  81  -251649.4095657   1.028242
  82  -251649.4071338   1.030674
  83  -251649.3934796   1.044328
  84  -251649.3879123   1.049895
  85  -251649.3786165   1.059191
  86  -251649.3640441   1.073764
  87  -251649.3619925   1.075815
  88  -251649.3598107   1.077997
  89  -251649.3591421   1.078666
  90  -251649.3423105   1.095497
  91  -251649.3343220   1.103486
  92  -251649.3303331   1.107475
  93  -251649.2899569   1.147851
  94  -251649.2591655   1.178642
  95  -251649.2430574   1.194750
  96  -251649.2412030   1.196605
  97  -251649.2360766   1.201731
  98  -251649.2275163   1.210291
  99  -251649.2116384   1.226169
 100  -251649.2084736   1.229334
 101  -251649.2067743   1.231033
 102  -251649.1935833   1.244224
 103  -251649.1853969   1.252411
 104  -251649.1814464   1.256361
 105  -251649.1737147   1.264093
 106  -251649.1698098   1.267998
 107  -251649.1591598   1.278648
 108  -251649.1543406   1.283467
 109  -251649.1529407   1.284867
 110  -251649.1497552   1.288052
 111  -251649.1306387   1.307169
 112  -251649.1276266   1.310181
 113  -251649.1142956   1.323512
 114  -251649.0959428   1.341865
 115  -251649.0642588   1.373549
 116  -251649.0637060   1.374102
 117  -251649.0423385   1.395469
 118  -251649.0021921   1.435616
