# Relative energy hierarchy for Ac-Met-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -45057.7824747   0.000000
   2  -45057.7820793   0.000395
   3  -45057.7747406   0.007734
   4  -45057.7723901   0.010085
   5  -45057.7463042   0.036170
   6  -45057.7460697   0.036405
   7  -45057.7449605   0.037514
   8  -45057.7439534   0.038521
   9  -45057.7412272   0.041247
  10  -45057.6811893   0.101285
  11  -45057.6807877   0.101687
  12  -45057.6623355   0.120139
  13  -45057.6617553   0.120719
  14  -45057.6479637   0.134511
  15  -45057.6479557   0.134519
  16  -45057.6372026   0.145272
  17  -45057.6362733   0.146201
  18  -45057.3497628   0.432712
  19  -45057.3490660   0.433409
  20  -45057.3423324   0.440142
  21  -45057.2994210   0.483054
  22  -45057.2982274   0.484247
  23  -45057.2622921   0.520183
  24  -45057.2622329   0.520242
  25  -45057.2284454   0.554029
  26  -45057.2275703   0.554904
  27  -45057.2131113   0.569363
  28  -45057.2128629   0.569612
  29  -45057.1887364   0.593738
  30  -45057.1772292   0.605245
  31  -45057.1765937   0.605881
  32  -45057.1692179   0.613257
  33  -45057.1690242   0.613451
  34  -45057.1612990   0.621176
  35  -45057.1606573   0.621817
  36  -45057.1576879   0.624787
  37  -45057.1567826   0.625692
  38  -45057.1408523   0.641622
  39  -45057.1406142   0.641860
  40  -45057.1396470   0.642828
  41  -45057.1382938   0.644181
  42  -45057.1349938   0.647481
  43  -45057.1328451   0.649630
  44  -45057.1325407   0.649934
  45  -45057.1286463   0.653828
  46  -45057.1272891   0.655186
  47  -45057.1265798   0.655895
  48  -45057.1257093   0.656765
  49  -45057.1255988   0.656876
  50  -45057.1246287   0.657846
  51  -45057.1126297   0.669845
  52  -45057.1123721   0.670103
  53  -45057.1101350   0.672340
  54  -45057.1093340   0.673141
  55  -45057.1014432   0.681031
  56  -45057.0991034   0.683371
  57  -45057.0990935   0.683381
  58  -45057.0934193   0.689055
  59  -45057.0931473   0.689327
  60  -45057.0650901   0.717385
  61  -45057.0491374   0.733337
  62  -45057.0467736   0.735701
  63  -45057.0462788   0.736196
  64  -45057.0442886   0.738186
  65  -45057.0429977   0.739477
  66  -45057.0389840   0.743491
  67  -45057.0234457   0.759029
  68  -45057.0226887   0.759786
  69  -45057.0205933   0.761881
  70  -45057.0205269   0.761948
  71  -45057.0045091   0.777966
  72  -45057.0004868   0.781988
  73  -45057.0002530   0.782222
  74  -45056.9880053   0.794469
  75  -45056.9835721   0.798903
  76  -45056.9696509   0.812824
  77  -45056.9580674   0.824407
  78  -45056.9123852   0.870090
  79  -45056.9100484   0.872426
  80  -45056.9091882   0.873286
  81  -45056.9086935   0.873781
  82  -45056.9071368   0.875338
  83  -45056.8808181   0.901657
  84  -45056.8296509   0.952824
  85  -45056.8241365   0.958338
  86  -45056.8170179   0.965457
  87  -45056.8167024   0.965772
  88  -45056.8166332   0.965842
  89  -45056.8136000   0.968875
  90  -45056.8134540   0.969021
  91  -45056.8134529   0.969022
  92  -45056.8075918   0.974883
  93  -45056.7958638   0.986611
  94  -45056.7951539   0.987321
  95  -45056.7951320   0.987343
  96  -45056.7940166   0.988458
  97  -45056.7740975   1.008377
  98  -45056.7719091   1.010566
  99  -45056.7567854   1.025689
 100  -45056.7250840   1.057391
 101  -45056.6415196   1.140955
 102  -45056.6226979   1.159777
 103  -45056.6141604   1.168314
 104  -45056.6039470   1.178528
 105  -45056.6005046   1.181970
 106  -45056.5434038   1.239071
 107  -45056.5338102   1.248664
 108  -45056.5322125   1.250262
 109  -45056.5080854   1.274389
 110  -45056.5060463   1.276428
 111  -45056.4889523   1.293522
 112  -45056.4882797   1.294195
 113  -45056.4705372   1.311937
 114  -45056.4541598   1.328315
 115  -45056.4479048   1.334570
 116  -45056.4473892   1.335085
 117  -45056.4419593   1.340515
 118  -45056.4305772   1.351897
 119  -45056.4016806   1.380794
 120  -45056.3982178   1.384257
 121  -45056.3839173   1.398557
 122  -45056.3835290   1.398946
 123  -45056.3761054   1.406369
 124  -45056.3617942   1.420680
 125  -45056.3606117   1.421863
 126  -45056.3580295   1.424445
 127  -45056.3537951   1.428680
 128  -45056.3467356   1.435739
 129  -45056.3278579   1.454617
 130  -45056.3250648   1.457410
 131  -45056.3228070   1.459668
 132  -45056.3144302   1.468044
 133  -45056.2991411   1.483334
 134  -45056.2716121   1.510863
 135  -45056.2485187   1.533956
 136  -45056.2430472   1.539427
 137  -45056.1922446   1.590230
 138  -45056.1886549   1.593820
 139  -45056.1817151   1.600760
 140  -45056.1736986   1.608776
 141  -45056.1729903   1.609484
 142  -45056.1531423   1.629332
 143  -45056.1455903   1.636884
 144  -45056.1334941   1.648981
 145  -45056.1290259   1.653449
 146  -45056.1279705   1.654504
 147  -45056.1176347   1.664840
 148  -45056.1133400   1.669135
 149  -45056.0965914   1.685883
 150  -45056.0865169   1.695958
 151  -45056.0864095   1.696065
 152  -45056.0643563   1.718118
 153  -45056.0639938   1.718481
 154  -45056.0590813   1.723393
 155  -45056.0536472   1.728827
 156  -45056.0463866   1.736088
 157  -45056.0414857   1.740989
 158  -45056.0126395   1.769835
 159  -45055.9951011   1.787374
 160  -45055.9692365   1.813238
 161  -45055.9430209   1.839454
