# Relative energy hierarchy for Ac-Met-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -180631.8684361   0.000000
   2  -180631.8490815   0.019355
   3  -180631.8268228   0.041613
   4  -180631.8164537   0.051982
   5  -180631.7455417   0.122894
   6  -180631.7351430   0.133293
   7  -180631.7229112   0.145525
   8  -180631.7159833   0.152453
   9  -180631.2080103   0.660426
  10  -180631.2001582   0.668278
  11  -180631.1824561   0.685980
  12  -180631.1427925   0.725644
  13  -180631.1195248   0.748911
  14  -180631.1167930   0.751643
  15  -180631.1072218   0.761214
  16  -180631.1065915   0.761845
  17  -180631.1061448   0.762291
  18  -180631.0771371   0.791299
  19  -180631.0586630   0.809773
  20  -180631.0574883   0.810948
  21  -180631.0452936   0.823142
  22  -180631.0237658   0.844670
  23  -180631.0139200   0.854516
  24  -180630.9823715   0.886065
  25  -180630.9623029   0.906133
  26  -180630.9062002   0.962236
  27  -180630.8711846   0.997251
  28  -180630.8646678   1.003768
  29  -180630.8457110   1.022725
  30  -180630.7813781   1.087058
  31  -180630.7656424   1.102794
  32  -180630.6937973   1.174639
  33  -180630.5981409   1.270295
  34  -180630.5768101   1.291626
  35  -180630.5644914   1.303945
  36  -180630.5589064   1.309530
  37  -180630.5538109   1.314625
  38  -180630.5526615   1.315775
  39  -180630.5513376   1.317099
  40  -180630.5500091   1.318427
  41  -180630.5478533   1.320583
  42  -180630.5388718   1.329564
  43  -180630.5355990   1.332837
  44  -180630.5290939   1.339342
  45  -180630.5257627   1.342673
  46  -180630.5255862   1.342850
  47  -180630.5253484   1.343088
  48  -180630.5149891   1.353447
  49  -180630.5079583   1.360478
  50  -180630.4930460   1.375390
  51  -180630.4839892   1.384447
  52  -180630.4792669   1.389169
  53  -180630.4680443   1.400392
  54  -180630.4661095   1.402327
  55  -180630.4622426   1.406193
  56  -180630.4608640   1.407572
  57  -180630.4376618   1.430774
  58  -180630.4346250   1.433811
  59  -180630.4070158   1.461420
  60  -180630.3900723   1.478364
  61  -180630.3858037   1.482632
  62  -180630.3771997   1.491236
  63  -180630.3691006   1.499336
  64  -180630.3688992   1.499537
  65  -180630.3683183   1.500118
  66  -180630.3283906   1.540045
  67  -180630.3260704   1.542366
  68  -180630.3229907   1.545445
  69  -180630.3120221   1.556414
  70  -180630.2816316   1.586804
  71  -180630.2620856   1.606350
  72  -180630.2454440   1.622992
  73  -180630.1972011   1.671235
  74  -180630.1923096   1.676126
  75  -180630.1536017   1.714834
  76  -180630.1259617   1.742474
  77  -180630.1083614   1.760075
  78  -180630.0829349   1.785501
  79  -180630.0694058   1.799030
  80  -180630.0634375   1.804999
  81  -180630.0478055   1.820631
  82  -180630.0445286   1.823907
  83  -180630.0249461   1.843490
  84  -180630.0228825   1.845554
  85  -180629.9983669   1.870069
  86  -180629.9855843   1.882852
  87  -180629.9723067   1.896129
  88  -180629.9617146   1.906721
  89  -180629.9569817   1.911454
  90  -180629.9515030   1.916933
  91  -180629.9334978   1.934938
  92  -180629.9185236   1.949912
  93  -180629.9075831   1.960853
  94  -180629.9027967   1.965639
  95  -180629.8973061   1.971130
  96  -180629.8953289   1.973107
  97  -180629.8913761   1.977060
  98  -180629.8838604   1.984576
  99  -180629.8769230   1.991513
 100  -180629.8713359   1.997100
 101  -180629.8702933   1.998143
 102  -180629.8500149   2.018421
 103  -180629.8439243   2.024512
 104  -180629.8414279   2.027008
 105  -180629.8387052   2.029731
 106  -180629.8351683   2.033268
 107  -180629.8344499   2.033986
 108  -180629.8225901   2.045846
 109  -180629.8174688   2.050967
 110  -180629.8173658   2.051070
 111  -180629.8054809   2.062955
 112  -180629.7966768   2.071759
 113  -180629.7938959   2.074540
 114  -180629.7852751   2.083161
 115  -180629.7602682   2.108168
 116  -180629.6846580   2.183778
