# Relative energy hierarchy for Ac-Met-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -579910.5694476   0.000000
   2  -579910.5627068   0.006741
   3  -579910.4536517   0.115796
   4  -579910.4529032   0.116544
   5  -579910.4460392   0.123408
   6  -579910.4442193   0.125228
   7  -579910.3551962   0.214251
   8  -579910.3453258   0.224122
   9  -579910.2201289   0.349319
  10  -579910.1082274   0.461220
  11  -579910.0959191   0.473529
  12  -579910.0549310   0.514517
  13  -579910.0023987   0.567049
  14  -579910.0014093   0.568038
  15  -579909.9549525   0.614495
  16  -579909.9312993   0.638148
  17  -579909.8886764   0.680771
  18  -579909.8568321   0.712616
  19  -579909.8303315   0.739116
  20  -579909.8207360   0.748712
  21  -579909.7983342   0.771113
  22  -579909.7979461   0.771502
  23  -579909.7901189   0.779329
  24  -579909.7846659   0.784782
  25  -579909.7547933   0.814654
  26  -579909.7439181   0.825530
  27  -579909.7191414   0.850306
  28  -579909.7163192   0.853128
  29  -579909.7097650   0.859683
  30  -579909.6932671   0.876181
  31  -579909.6834968   0.885951
  32  -579909.6567333   0.912714
  33  -579909.5856085   0.983839
  34  -579909.5828151   0.986633
  35  -579909.3584570   1.210991
  36  -579909.2990210   1.270427
  37  -579909.2904038   1.279044
  38  -579909.2820459   1.287402
  39  -579909.2778155   1.291632
  40  -579909.2558479   1.313600
  41  -579909.2550892   1.314358
  42  -579909.2548702   1.314577
  43  -579909.2539279   1.315520
  44  -579909.2504355   1.319012
  45  -579909.2426227   1.326825
  46  -579909.2359175   1.333530
  47  -579909.2239242   1.345523
  48  -579909.2198020   1.349646
  49  -579909.2195144   1.349933
  50  -579909.2071007   1.362347
  51  -579909.2058748   1.363573
  52  -579909.2012022   1.368245
  53  -579909.1933426   1.376105
  54  -579909.1833646   1.386083
  55  -579909.1734703   1.395977
  56  -579909.1693492   1.400098
  57  -579909.1528862   1.416561
  58  -579909.1496123   1.419835
  59  -579909.1448001   1.424648
  60  -579909.1418729   1.427575
  61  -579909.1392589   1.430189
  62  -579909.1331868   1.436261
  63  -579909.1296184   1.439829
  64  -579909.1073495   1.462098
  65  -579909.1033897   1.466058
  66  -579909.0952393   1.474208
  67  -579909.0920755   1.477372
  68  -579909.0842210   1.485227
  69  -579909.0775168   1.491931
  70  -579909.0756263   1.493821
  71  -579909.0586489   1.510799
  72  -579909.0582435   1.511204
  73  -579909.0133151   1.556133
  74  -579908.9915379   1.577910
  75  -579908.9866686   1.582779
  76  -579908.9823563   1.587091
  77  -579908.9533762   1.616071
  78  -579908.9497407   1.619707
  79  -579908.9379465   1.631501
  80  -579908.9183067   1.651141
  81  -579908.8973137   1.672134
  82  -579908.8923306   1.677117
  83  -579908.8914973   1.677950
  84  -579908.8836012   1.685846
  85  -579908.8753488   1.694099
  86  -579908.8742952   1.695152
  87  -579908.8604683   1.708979
  88  -579908.8544135   1.715034
  89  -579908.8511380   1.718310
  90  -579908.8476831   1.721765
  91  -579908.8445187   1.724929
  92  -579908.8415949   1.727853
  93  -579908.8362572   1.733190
  94  -579908.8297631   1.739685
  95  -579908.8224702   1.746977
  96  -579908.8134103   1.756037
  97  -579908.8107137   1.758734
  98  -579908.7991358   1.770312
  99  -579908.7915353   1.777912
 100  -579908.7822684   1.787179
 101  -579908.7799902   1.789457
 102  -579908.7574499   1.811998
 103  -579908.7431703   1.826277
 104  -579908.7336861   1.835762
 105  -579908.7335079   1.835940
 106  -579908.7170947   1.852353
 107  -579908.7039436   1.865504
 108  -579908.7011679   1.868280
 109  -579908.6977369   1.871711
 110  -579908.6828793   1.886568
 111  -579908.6551531   1.914295
 112  -579908.6541942   1.915253
 113  -579908.6459655   1.923482
 114  -579908.6206843   1.948763
